Web Search interest: lyme disease
United States Dec 2010 - Feb 2014

Interest over time
Week,lyme disease
2013-07-28 - 2013-08-03,73
2013-08-04 - 2013-08-10,71
2013-08-11 - 2013-08-17,67
2013-08-18 - 2013-08-24,100
2013-08-25 - 2013-08-31,67
2013-09-01 - 2013-09-07,59
2013-09-08 - 2013-09-14,56
2013-09-15 - 2013-09-21,51
2013-09-22 - 2013-09-28,48
2013-09-29 - 2013-10-05,47
2013-10-06 - 2013-10-12,54
2013-10-13 - 2013-10-19,52
2013-10-20 - 2013-10-26,50
2013-10-27 - 2013-11-02,46
2013-11-03 - 2013-11-09,55
2013-11-10 - 2013-11-16,66
2013-11-17 - 2013-11-23,56
2013-11-24 - 2013-11-30,38
2013-12-01 - 2013-12-07,39
2013-12-08 - 2013-12-14,36
2013-12-15 - 2013-12-21,38
2013-12-22 - 2013-12-28,34
2013-12-29 - 2014-01-04,32
2014-01-05 - 2014-01-11,31
2014-01-12 - 2014-01-18,31
2014-01-19 - 2014-01-25,30
2014-01-26 - 2014-02-01,31
2014-02-02 - 2014-02-08,30
2014-02-09 - 2014-02-15,37
2014-02-16 - 2014-02-22,37
2014-02-23 - 2014-03-01,35


Top subregions for lyme disease
Subregion,lyme disease
New Hampshire,100
Maine,94
Vermont,91
Rhode Island,78
Connecticut,68
Massachusetts,65
Pennsylvania,51
Delaware,48
Maryland,47
Virginia,45
District of Columbia,42
New Jersey,39
New York,37
West Virginia,34
Wisconsin,33
Minnesota,31
Tennessee,29
North Carolina,29
Iowa,28
North Dakota,28
Kentucky,27
Kansas,27
Arkansas,26
Indiana,25
Missouri,25
South Carolina,24
Montana,24
Mississippi,24
Alabama,24
Illinois,22
Michigan,22
Georgia,22
Ohio,22
South Dakota,22
Oklahoma,22
Louisiana,20
Nebraska,20
Florida,20
Idaho,20
New Mexico,19
Washington,18
Colorado,17
California,17
Oregon,16
Alaska,16
Utah,16
Arizona,16
Texas,15
Nevada,15
Hawaii,12
Wyoming,0


Top metros for lyme disease
Metro,lyme disease
Portland-Auburn ME,100
Burlington VT-Plattsburgh NY,87
Albany-Schenectady-Troy NY,84
Providence RI-New Bedford MA,84
Springfield-Holyoke MA,83
Hartford & New Haven CT,79
Wilkes Barre-Scranton PA,75
Johnstown-Altoona PA,73
Boston MA-Manchester NH,72
Harrisburg-Lancaster-Lebanon-York PA,66
Roanoke-Lynchburg VA,56
Syracuse NY,53
Washington DC (Hagerstown MD),47
Philadelphia PA,46
Baltimore MD,45
Richmond-Petersburg VA,44
Pittsburgh PA,44
Madison WI,37
Raleigh-Durham (Fayetteville) NC,36
New York NY,36
Norfolk-Portsmouth-Newport News VA,34
Minneapolis-St. Paul MN,34
Greensboro-High Point-Winston Salem NC,34
Nashville TN,31
Buffalo NY,30
Louisville KY,30
Milwaukee WI,29
Kansas City MO,29
Grand Rapids-Kalamazoo-Battle Creek MI,28
Indianapolis IN,25
Oklahoma City OK,24
St. Louis MO,24
Greenville-Spartanburg SC-Asheville NC-Anderson SC,23
Orlando-Daytona Beach-Melbourne FL,23
Charlotte NC,23
Atlanta GA,23
Chicago IL,23
Cleveland-Akron (Canton) OH,23
Columbus OH,22
Sacramento-Stockton-Modesto CA,22
Detroit MI,21
Tampa-St. Petersburg (Sarasota) FL,21
New Orleans LA,20
San Francisco-Oakland-San Jose CA,20
West Palm Beach-Ft. Pierce FL,19
Cincinnati OH,19
San Diego CA,19
Denver CO,18
Austin TX,18
Seattle-Tacoma WA,18
Miami-Ft. Lauderdale FL,18
Salt Lake City UT,16
San Antonio TX,16
Dallas-Ft. Worth TX,16
Phoenix AZ,15
Los Angeles CA,15
Houston TX,15
Portland OR,14
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for lyme disease
City,lyme disease
Newton,100
Boston,97
Alexandria,74
Washington,69
Baltimore,68
Pittsburgh,67
Philadelphia,63
Minneapolis,51
New York,46
St. Louis,41
Charlotte,36
Chicago,35
San Francisco,34
Atlanta,33
Seattle,29



Top searches for lyme disease
lyme disease symptoms,100
tick,25
lyme disease tick,25
lyme disease dogs,20
treatment lyme disease,20
lyme disease rash,15
lyme disease ticks,15
ticks,10
lyme disease test,10
dog lyme disease,10
lyme disease pictures,10
chronic lyme disease,5
lymes disease,5
deer tick,5
lime disease,5
lyme disease antibiotics,5
rocky mountain fever,5
lyme disease map,5
lyme disease cure,5
lyme disease vaccine,5
lyme disease contagious,5
tick bites,5
dog tick,5
deer ticks,0
lyme disease testing,0
lyme disease diagnosis,0
lyme disease bullseye,0
cdc lyme disease,0
lymes disease symptoms,0
lyme disease bacteria,0
lyme disease specialist,0
lyme disease california,0
lyme disease tests,0
lyme disease diet,0
lyme disease florida,0
yolanda lyme disease,0
lyme disease stages,0
western blot,0



Rising searches for lyme disease
yolanda foster,Breakout
yolanda lyme disease,Breakout
lyme disease contagious,+70%
lyme disease diet,+50%
bartonella,+40%
dog tick,+40%



