Web Search interest: lyme
United States Dec 2010 - Feb 2014

Interest over time
Week,lyme
Raleigh-Durham (Fayetteville) NC,10
Buffalo NY,10
Milwaukee WI,10
Nashville TN,9
Louisville KY,9
Greensboro-High Point-Winston Salem NC,9
Greenville-Spartanburg SC-Asheville NC-Anderson SC,8
Grand Rapids-Kalamazoo-Battle Creek MI,8
Kansas City MO,8
Cleveland-Akron (Canton) OH,7
Columbus OH,7
Orlando-Daytona Beach-Melbourne FL,7
Charlotte NC,7
St. Louis MO,7
Indianapolis IN,7
Chicago IL,7
San Francisco-Oakland-San Jose CA,7
Tampa-St. Petersburg (Sarasota) FL,7
West Palm Beach-Ft. Pierce FL,6
Oklahoma City OK,6
Atlanta GA,6
New Orleans LA,6
Cincinnati OH,6
Sacramento-Stockton-Modesto CA,6
Detroit MI,6
Seattle-Tacoma WA,6
Austin TX,6
Denver CO,6
Miami-Ft. Lauderdale FL,6
San Diego CA,5
Phoenix AZ,5
Salt Lake City UT,5
Portland OR,5
Houston TX,5
Dallas-Ft. Worth TX,5
San Antonio TX,5
Los Angeles CA,4
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for lyme
City,lyme
Old Lyme,100
East Lyme,88
New London,22
Hartford,2
New Haven,2
Newton,1
Boston,1
Alexandria,0
Washington,0
Philadelphia,0
New York,0
Minneapolis,0
St. Louis,0
Charlotte,0
San Francisco,0



Top searches for lyme
lyme disease,100
lyme symptoms,25
symptoms,25
symptoms lyme disease,25
lyme ct,10
lyme tick,5
old lyme,5
tick,5
tick lyme disease,5
east lyme,5
lyme treatment,5
dogs lyme disease,5
lyme disease treatment,5
lyme rash,5
old lyme ct,5
lyme disease rash,5
ticks,5
lyme disease ticks,5
east lyme ct,5
lyme disease test,5
dog lyme disease,0
chronic lyme,0
lyme disease pictures,0
chronic lyme disease,0
lymes disease,0
deer tick,0
doxycycline,0
lime disease,0
lyme vaccine,0
lyme connecticut,0
lyme nh,0
lyme arthritis,0
lyme disease antibiotics,0
rocky mountain fever,0
lyme disease map,0
tick bites,0
lyme disease vaccine,0
lyme disease cure,0
lyme disease contagious,0
deer ticks,0
lyme park,0
lyme inn,0
lyme disease testing,0
western blot,0
lyme disease diagnosis,0
lyme disease cdc,0
lyme disease bullseye,0
lyme meningitis,0
old lyme beach,0
lymes disease symptoms,0



Rising searches for lyme
yolanda foster,Breakout
lyme disease contagious,+80%
lyme disease stages,+40%



