Web Search interest: poison oak
United States Dec 2010 - Feb 2014

Interest over time
Week,poison oak
2013-02-10 - 2013-02-16,14
2013-02-17 - 2013-02-23,16
2013-02-24 - 2013-03-02,15
2013-03-03 - 2013-03-09,17
2013-03-10 - 2013-03-16,22
2013-03-17 - 2013-03-23,24
2013-03-24 - 2013-03-30,25
2013-03-31 - 2013-04-06,31
2013-04-07 - 2013-04-13,37
2013-04-14 - 2013-04-20,44
2013-04-21 - 2013-04-27,54
2013-04-28 - 2013-05-04,59
2013-05-05 - 2013-05-11,66
2013-05-12 - 2013-05-18,73
2013-05-19 - 2013-05-25,81
2013-05-26 - 2013-06-01,100
2013-06-02 - 2013-06-08,92
2013-06-09 - 2013-06-15,87
2013-06-16 - 2013-06-22,89
2013-06-23 - 2013-06-29,87
2013-06-30 - 2013-07-06,93
2013-07-07 - 2013-07-13,89
2013-07-14 - 2013-07-20,78
2013-07-21 - 2013-07-27,72
2013-07-28 - 2013-08-03,71
2013-08-04 - 2013-08-10,70
2013-08-11 - 2013-08-17,66
2013-08-18 - 2013-08-24,60
2013-08-25 - 2013-08-31,53
2013-09-01 - 2013-09-07,52
2013-09-08 - 2013-09-14,43
2013-09-15 - 2013-09-21,37
2013-09-22 - 2013-09-28,34
2013-09-29 - 2013-10-05,36
2013-10-06 - 2013-10-12,32
2013-10-13 - 2013-10-19,27
2013-10-20 - 2013-10-26,23
2013-10-27 - 2013-11-02,21
2013-11-03 - 2013-11-09,19
2013-11-10 - 2013-11-16,16
2013-11-17 - 2013-11-23,16
2013-11-24 - 2013-11-30,14
2013-12-01 - 2013-12-07,12
2013-12-08 - 2013-12-14,8
2013-12-15 - 2013-12-21,9
2013-12-22 - 2013-12-28,12
2013-12-29 - 2014-01-04,12
2014-01-05 - 2014-01-11,13
2014-01-12 - 2014-01-18,11
2014-01-19 - 2014-01-25,13
2014-01-26 - 2014-02-01,12
2014-02-02 - 2014-02-08,10
2014-02-09 - 2014-02-15,10
2014-02-16 - 2014-02-22,15
2014-02-23 - 2014-03-01,16


Top subregions for poison oak
Subregion,poison oak
Oregon,100
California,80
Alabama,77
Tennessee,75
West Virginia,75
North Carolina,71
South Carolina,67
Kentucky,63
Arkansas,61
Missouri,60
Mississippi,57
Georgia,56
Indiana,56
Ohio,56
Oklahoma,55
Louisiana,54
Virginia,49
Kansas,48
Pennsylvania,48
District of Columbia,45
Michigan,45
Iowa,42
Washington,42
New Hampshire,42
Massachusetts,39
Texas,39
Connecticut,38
Maine,38
Minnesota,37
Illinois,37
Maryland,35
Wisconsin,35
New Jersey,32
Nebraska,31
New York,27
Florida,24
Utah,20
Colorado,19
Nevada,17
Arizona,13
Alaska,0
Delaware,0
Hawaii,0
Idaho,0
Montana,0
North Dakota,0
New Mexico,0
Rhode Island,0
South Dakota,0
Vermont,0
Wyoming,0


Top metros for poison oak
Metro,poison oak
San Francisco-Oakland-San Jose CA,100
Sacramento-Stockton-Modesto CA,87
Nashville TN,69
Charlotte NC,65
Portland OR,59
Cleveland-Akron (Canton) OH,50
St. Louis MO,49
Atlanta GA,45
San Diego CA,44
Dallas-Ft. Worth TX,38
Seattle-Tacoma WA,35
Detroit MI,34
Philadelphia PA,33
Los Angeles CA,32
Minneapolis-St. Paul MN,32
Boston MA-Manchester NH,31
Washington DC (Hagerstown MD),31
Houston TX,30
Chicago IL,29
New York NY,21
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Miami-Ft. Lauderdale FL,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Orlando-Daytona Beach-Melbourne FL,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Tampa-St. Petersburg (Sarasota) FL,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Raleigh-Durham (Fayetteville) NC,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Kansas City MO,0
Milwaukee WI,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Denver CO,0
Colorado Springs-Pueblo CO,0
Phoenix AZ,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for poison oak
City,poison oak
Eugene,100
Santa Barbara,96
San Francisco,58
Oakland,56
Sacramento,43
San Jose,36
Portland,32
Charlotte,28
St. Louis,26
Nashville,25
Seattle,24
Atlanta,24
Columbus,23
Indianapolis,21
San Diego,20



Top searches for poison oak
poison ivy oak,100
poison ivy,100
poison oak rash,50
poison oak pictures,50
poison sumac,30
sumac,30
poison oak treatment,20
poison ivy rash,20
poison ivy pictures,20
poison sumac pictures,10
poison oak remedies,10
poison oak contagious,10
poison sumac rash,10
sumac rash,5
poison oak plant,5
poison ivy treatment,5
poison plants,5
poison oak leaves,5
treat poison oak,5
poison oak symptoms,5
poison oak images,5
poison oak lyrics,5
poison oak tree,5
poison oak picture,5
poison oak spread,5
poison oak cure,5
poison oak rashes,5
poison oak remedy,5
poison oak vine,5
poison oak leaf,5
posion oak,5
poison ivy leaves,5
virginia creeper,5
poison ivy plant,5
poison oak blisters,5
poison oak pics,5
poison oak photos,5
poison ivy remedies,0
poison ivy images,0
poison oak reaction,0
prednisone poison oak,0
poison oak oil,0
poision oak,0
california poison oak,0
posion ivy,0
poison ivy picture,0
treating poison oak,0
poisonous plants,0
poison oak spreading,0
poison ivy symptoms,0



Rising searches for poison oak
poison ivy images,+150%
poison oak images,+120%
poison oak image,+50%
poison ivy leaves,+40%
poison oak leaves,+40%
poison oak shot,+40%



