Web Search interest: lyme symptoms
United States Dec 2010 - Feb 2014

Interest over time
Week,lyme symptoms
2013-09-29 - 2013-10-05,41
2013-10-06 - 2013-10-12,45
2013-10-13 - 2013-10-19,40
2013-10-20 - 2013-10-26,39
2013-10-27 - 2013-11-02,38
2013-11-03 - 2013-11-09,43
2013-11-10 - 2013-11-16,49
2013-11-17 - 2013-11-23,42
2013-11-24 - 2013-11-30,28
2013-12-01 - 2013-12-07,31
2013-12-08 - 2013-12-14,26
2013-12-15 - 2013-12-21,28
2013-12-22 - 2013-12-28,25
2013-12-29 - 2014-01-04,26
2014-01-05 - 2014-01-11,26
2014-01-12 - 2014-01-18,25
2014-01-19 - 2014-01-25,23
2014-01-26 - 2014-02-01,23
2014-02-02 - 2014-02-08,23
2014-02-09 - 2014-02-15,27
2014-02-16 - 2014-02-22,29
2014-02-23 - 2014-03-01,27


Top subregions for lyme symptoms
Subregion,lyme symptoms
Maine,100
New Hampshire,99
Rhode Island,78
Vermont,76
Connecticut,68
Massachusetts,66
Pennsylvania,49
Delaware,45
Maryland,43
Virginia,42
District of Columbia,38
New Jersey,37
New York,32
Wisconsin,29
West Virginia,29
North Carolina,28
Minnesota,27
Tennessee,27
Kentucky,27
Kansas,25
Arkansas,25
Iowa,24
Missouri,24
Mississippi,24
Indiana,22
South Carolina,22
Alabama,22
Georgia,20
Illinois,19
Oklahoma,19
Ohio,19
Michigan,19
Nebraska,17
Louisiana,17
Florida,16
Colorado,13
Washington,13
Texas,12
California,12
Utah,12
Oregon,11
Arizona,11
Nevada,11
Alaska,0
Hawaii,0
Idaho,0
Montana,0
North Dakota,0
New Mexico,0
South Dakota,0
Wyoming,0


Top metros for lyme symptoms
Metro,lyme symptoms
Providence RI-New Bedford MA,100
Hartford & New Haven CT,86
Boston MA-Manchester NH,83
Baltimore MD,53
Philadelphia PA,52
Washington DC (Hagerstown MD),50
Raleigh-Durham (Fayetteville) NC,44
New York NY,36
Minneapolis-St. Paul MN,30
Atlanta GA,23
Chicago IL,23
San Francisco-Oakland-San Jose CA,17
Dallas-Ft. Worth TX,16
Los Angeles CA,12
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Detroit MI,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Cleveland-Akron (Canton) OH,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charlotte NC,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Miami-Ft. Lauderdale FL,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Orlando-Daytona Beach-Melbourne FL,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Tampa-St. Petersburg (Sarasota) FL,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
St. Louis MO,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Kansas City MO,0
Milwaukee WI,0
Houston TX,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Denver CO,0
Colorado Springs-Pueblo CO,0
Phoenix AZ,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Seattle-Tacoma WA,0
Portland OR,0
Bend OR,0
San Diego CA,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Sacramento-Stockton-Modesto CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for lyme symptoms
City,lyme symptoms
Boston,100
Newton,99
Alexandria,70
Washington,66
Philadelphia,62
Raleigh,58
Minneapolis,48
St. Louis,43
New York,40
Charlotte,37
Atlanta,34
Chicago,31
San Francisco,26
Austin,23
Dallas,23



Top searches for lyme symptoms
lyme disease,100
symptoms lyme disease,100
symptoms of lyme,35
lyme disease dogs,5
lyme disease treatment,5
lyme disease rash,5
dog symptoms,5
dog lyme disease,5
lyme disease test,0
chronic lyme symptoms,0
lymes disease symptoms,0
lymes symptoms,0
lyme disease pictures,0
lymes disease,0
west nile symptoms,0
chronic lyme disease,0
lyme diseases symptoms,0
lyme arthritis symptoms,0
lyme arthritis,0
deer tick,0
lymphoma symptoms,0
fibromyalgia symptoms,0
lyme meningitis symptoms,0
lime disease,0
lime disease symptoms,0
symptoms of lupus,0
tick bites,0
lyme disease diagnosis,0
symptoms of lymphoma,0
rheumatoid arthritis symptoms,0
spider bite symptoms,0
lyme disease map,0
bartonella,0
deer ticks,0



Rising searches for lyme symptoms
symptoms of lymphoma,+170%
lyme disease map,+60%
lymphoma symptoms,+60%
bartonella,+50%
bartonella symptoms,+50%



