Q_fever,Fever,Zoonosis,Infection,Echocardiography#Transesophageal_echocardiogram,Alanine_transaminase,Hepatitis,Hepatomegaly,Coxiella_burnetii,Inhalation
469,5171,898,2299,1692,926,4462,696,179,355
554,5344,891,2351,1801,942,4357,650,177,330
453,4747,854,2286,1587,831,4175,661,168,279
382,4399,675,2081,1426,825,3649,598,112,256
256,3671,571,1624,938,545,2900,463,91,189
320,4090,627,1858,830,510,2989,413,112,240
451,5420,1039,2391,1635,835,4044,692,210,317
538,5076,860,2355,1714,916,4193,598,206,334
529,4927,843,2376,1631,937,4095,721,218,295
565,4973,974,2304,1733,871,4123,716,195,301
445,4195,785,1865,1324,784,3593,536,160,265
292,3658,558,1564,769,527,2684,398,105,167
313,4112,647,1777,886,581,2836,370,126,255
405,4807,800,2087,1563,893,3924,572,143,305
496,4913,884,2271,1682,973,4052,613,190,296
441,4768,877,2388,1655,1004,4161,650,147,334
417,4403,782,2043,1579,941,3945,654,159,293
388,3909,608,1829,1222,830,3337,571,150,214
248,3295,484,1408,788,484,2613,401,109,154
287,3672,519,1556,755,437,2620,367,117,201
448,4881,786,2088,1569,879,3880,564,190,272
447,4537,806,2239,1605,1026,4130,657,170,309
491,4718,878,2151,1702,948,4225,630,136,277
514,4575,836,1935,1786,917,4090,613,165,277
368,3736,684,1868,1447,798,3451,530,152,231
267,3189,490,1383,785,484,2767,445,112,162
343,3375,570,1393,775,460,2848,394,114,194
496,4601,874,2270,1679,876,4150,701,187,305
573,4508,803,2184,1614,922,4053,651,177,321
583,4592,897,2234,1594,934,4180,643,172,304
492,4244,841,2090,1640,836,4112,666,194,290
413,3509,716,1681,1297,712,3448,497,157,226
294,2952,419,1349,740,437,2604,386,113,164
332,3688,562,1575,753,480,2812,397,143,166
454,4482,897,2099,1485,854,4203,555,175,273
461,4343,863,2255,1710,974,4259,645,162,305
485,4245,903,2134,1551,978,3930,631,174,287
461,4027,850,2061,1469,821,4258,684,205,276
414,3608,702,1879,1396,835,4282,601,177,266
260,2961,497,1239,765,480,2626,387,84,165
336,3400,532,1447,769,515,2811,464,108,194
452,4469,973,2037,1564,857,4120,662,181,321
1944,4566,833,2258,1541,1023,4195,601,220,272
1059,4572,891,2356,1549,924,4168,599,212,288
858,4310,924,2255,1653,981,4027,661,189,323
616,3491,637,1770,1246,740,3436,525,143,188
456,2925,493,1462,747,553,2931,398,112,163
541,3211,580,1585,770,486,2819,404,135,201
683,4185,797,2201,1466,850,3965,530,195,250
693,4144,765,2062,1537,827,3971,624,213,237
670,4013,860,2040,1503,905,3944,624,231,251
557,3823,795,1998,1497,800,3618,525,181,230
524,3127,638,1609,1189,619,3083,436,191,190
464,2927,514,1484,730,566,2582,401,118,153
415,2967,603,1474,658,474,2526,391,119,138
479,3842,795,2790,1210,715,3701,531,188,238
644,4232,938,2149,1578,897,4598,650,194,237
595,3988,859,2063,1472,888,4041,585,208,280
564,3920,975,2125,1492,871,4344,632,160,261
403,2975,614,1652,1126,687,3216,521,138,204
371,2685,448,1383,693,504,2490,369,117,152
411,3182,591,1531,761,523,2655,375,124,176
658,3629,825,1928,1272,805,3580,596,178,228
607,3790,897,2236,1429,923,4095,591,176,317
535,3901,908,2244,1667,924,3994,567,222,297
525,3633,871,2203,1505,824,3972,642,186,261
509,3341,788,1953,1308,735,3669,551,162,224
393,2775,592,1422,781,516,2683,433,126,166
491,3039,648,1536,753,505,2958,382,166,183
525,3700,906,2297,1575,891,4219,584,171,301
636,3733,929,2432,1561,965,4196,617,166,302
570,3761,870,2206,1690,963,3978,650,182,312
523,3698,970,2296,1504,860,3732,563,181,245
459,3062,696,1817,1394,802,3298,522,146,221
370,2712,519,1473,747,537,2547,431,111,158
453,3350,524,1596,815,591,2765,383,137,199
578,3783,703,2398,1539,950,3859,617,178,274
586,3669,769,2292,1549,965,4067,669,186,278
539,3670,747,2250,1584,889,4123,643,183,269
551,3682,726,2131,1535,886,4025,600,164,228
477,3168,625,1924,1290,849,3431,595,164,219
350,2509,618,1436,721,558,2514,396,123,136
384,3063,592,1679,743,608,2711,392,134,197
629,3764,808,2302,1392,841,3889,602,177,268
595,3602,846,2168,1532,895,4011,558,232,282
529,3556,834,2041,1607,898,3785,583,218,244
525,3363,772,1893,1410,810,5837,588,156,267
435,2839,597,1680,1206,742,3152,504,105,229
359,2573,382,1344,668,527,2329,373,88,135
368,3492,492,2001,732,441,2607,357,120,160
535,4049,703,2505,996,591,3090,537,140,183
506,4533,821,2824,1388,784,3904,635,158,208
476,4354,801,2558,1407,753,3569,631,187,201
442,4042,816,2468,1441,754,3741,548,176,181
463,3299,706,1723,1312,727,3543,585,156,195
375,2731,585,1393,754,590,2525,405,156,133
376,2898,671,1461,698,455,2479,390,131,169
558,3679,915,1837,1356,748,3305,559,184,201
570,3523,721,1943,1510,794,3491,575,209,231
528,3839,692,2182,1438,912,3400,615,182,356
488,3197,742,1876,1440,856,3637,527,184,277
470,3000,624,1618,1260,733,3158,484,171,158
372,2649,403,1312,717,510,2402,366,135,129
410,2992,470,1425,733,454,2447,345,156,146
529,3730,641,1970,1486,701,3462,544,178,215
473,3312,564,1782,1311,705,3195,482,120,171
535,3868,615,2113,1487,842,3812,573,178,220
462,3457,647,1870,1444,793,3531,556,141,211
420,3170,511,1665,1289,726,3276,457,126,175
359,2560,425,1306,726,500,2425,425,112,104
384,3409,497,1594,720,426,2755,303,108,150
541,3797,644,2027,1348,774,3396,574,160,218
528,3903,649,2142,1646,849,3546,566,148,248
517,4099,626,2102,1619,811,3842,640,166,234
664,3892,661,2071,1404,879,3635,530,152,242
787,3385,596,1871,1245,768,3075,490,154,209
478,2779,364,1278,637,441,2349,306,95,135
441,3102,453,1433,671,470,2490,363,88,157
580,3852,637,1804,1397,759,3282,545,146,247
522,3864,648,1998,1596,869,3622,617,143,227
503,3712,695,1817,1595,872,3491,621,131,191
444,3343,558,1693,1303,761,3121,540,114,184
404,3152,609,1522,1089,710,2895,540,115,148
276,2899,428,1237,630,487,2286,313,74,120
281,2928,398,1277,600,356,2189,312,92,150
408,3571,586,1715,980,570,2932,495,123,185
419,3755,689,1810,1389,797,3072,516,152,257
438,3835,721,1950,1503,822,3302,576,128,207
409,3696,610,1852,1533,762,3232,524,102,201
371,3314,466,1637,1273,825,3067,488,111,169
317,2791,356,1325,716,478,2338,402,103,136
305,2994,342,1300,719,407,2205,372,81,161
422,3820,602,1905,1384,748,3250,546,122,225
468,3982,587,1985,1672,836,4028,598,136,247
436,3477,575,1820,1413,695,3117,524,103,203
396,3453,556,1748,1462,790,3252,528,110,234
389,3048,494,1578,1274,747,2873,479,86,143
272,2626,361,1263,745,492,2486,335,87,125
329,3003,401,1429,700,506,2469,376,120,142
469,4012,622,2013,1497,874,3455,578,122,175
417,3734,599,1852,1503,855,3377,579,135,271
459,3828,590,1942,1566,853,3763,609,131,166
409,3545,580,1726,1414,768,3288,491,139,187
368,3163,508,1511,1268,784,3143,541,108,154
293,2653,338,1372,838,474,2556,378,92,155
294,2788,385,1371,681,457,2437,352,94,169
346,3632,544,1865,1317,791,3721,580,114,225
426,3952,658,2051,1653,896,4098,598,151,197
496,3899,598,2128,1596,873,4468,603,130,215
403,3884,639,1950,1488,927,6062,587,115,219
392,3410,548,1637,1231,816,3928,489,111,201
292,2825,435,1428,714,548,2874,383,85,162
276,3119,456,1534,637,457,2612,364,87,159
430,3499,508,1827,1143,789,3456,492,127,148
459,3856,576,2041,1462,894,3538,564,139,211
428,3893,618,2056,1519,843,3495,595,137,203
406,3880,585,2125,1469,876,3559,562,146,197
375,3754,528,1810,1270,799,3222,517,124,200
349,2841,348,1456,735,542,2576,411,73,132
320,3022,403,1497,732,515,2567,390,100,179
422,3579,566,1883,1327,835,3379,603,141,217
460,3680,626,1784,1433,859,3366,558,167,187
468,3425,667,1876,1506,827,3581,601,147,191
395,3183,587,1869,1465,835,3440,579,123,197
363,2988,513,1502,1177,779,2868,491,104,206
283,2736,429,1270,725,514,2452,359,69,169
280,2995,473,1400,702,450,2394,340,97,146
347,3274,555,1717,1257,722,2833,479,104,208
431,3606,556,1914,1434,806,3263,633,126,206
375,3374,568,1815,1356,788,3175,565,108,248
345,2948,461,1530,1183,695,2710,511,90,181
347,3077,493,1813,1233,747,2926,504,113,151
270,2793,368,1397,756,544,2299,393,87,139
334,3048,401,1447,769,506,2199,351,91,159
407,3419,562,1833,1221,771,2880,540,99,224
422,3388,540,1788,1345,808,2973,552,120,191
361,3279,670,1676,1295,806,3017,538,123,196
467,3302,576,1691,1325,837,2827,511,230,184
377,3087,531,1614,1190,767,2873,488,154,152
265,3259,399,1362,657,511,2332,391,76,161
290,2934,420,1364,597,473,2037,355,106,156
353,3080,543,1513,1098,693,2525,453,99,175
353,3091,626,1659,1424,735,2903,502,140,166
452,3149,562,1727,1452,737,2779,550,126,213
394,3136,591,1741,1319,687,2805,541,132,198
0,0,0,0,0,0,0,0,0,0
247,2540,426,1261,690,479,2029,315,89,121
262,2819,460,1222,626,409,2193,335,112,157
299,3003,897,1389,822,611,2365,368,104,172
402,3401,652,1677,1240,703,2574,460,113,184
320,3201,580,1803,1269,791,2606,516,105,189
371,3626,622,1740,1438,812,2842,568,141,228
341,3415,667,1659,1281,747,2894,497,120,163
291,3019,507,1463,767,518,2459,393,101,169
289,2965,546,1365,689,446,2227,356,94,177
389,3591,666,1608,1247,613,2652,443,152,239
345,3337,713,1798,1337,763,2871,489,162,202
414,3517,749,1874,1415,779,2935,503,129,234
425,3504,1256,1892,1486,760,3018,565,163,259
387,3274,583,1859,1272,711,2807,474,148,203
294,3072,485,1434,808,616,2363,380,99,175
323,3032,503,1535,708,457,2665,343,129,202
365,3734,710,2116,1397,756,2823,471,133,243
356,4165,775,2345,1493,837,3140,519,153,287
385,4537,641,1968,1487,722,3068,560,137,235
390,3928,718,1973,1504,827,3000,560,111,260
370,3442,608,1804,1358,753,2661,514,130,194
267,3269,433,1602,802,612,2637,420,67,178
285,3335,527,1513,816,491,2695,345,111,189
406,3892,693,2045,1498,790,2713,511,131,237
393,3868,659,1942,1546,834,2868,546,141,247
347,3820,685,2023,1468,850,2790,632,132,258
399,4332,734,2301,1668,983,3086,689,146,301
378,4047,648,2025,1486,893,2901,585,126,216
278,3559,524,1683,891,688,2526,462,96,196
289,3769,627,1848,903,563,2545,393,116,212
455,4439,834,2523,1611,875,3262,598,185,335
446,4379,817,2527,1811,884,3333,650,152,299
403,4318,798,2553,1768,904,3933,657,160,309
417,3847,796,2371,1599,919,3338,676,173,283
389,3698,726,2224,1498,861,3060,626,159,246
275,3161,532,1685,921,613,2529,505,96,182
334,3697,577,1768,927,598,2543,466,151,224
442,4149,689,2194,1535,842,2969,532,180,278
429,4246,870,2477,1659,883,3406,627,186,344
483,4453,891,2486,1776,946,3358,738,195,317
424,4270,991,2589,1838,998,3401,697,168,391
418,4066,764,2262,1628,942,3302,720,173,245
312,3014,542,1538,815,566,2295,475,130,177
322,3261,557,1728,873,540,2372,382,130,225
440,4489,956,2448,1693,941,3173,695,187,298
532,4503,937,2689,1958,985,3708,822,193,295
551,4267,1555,2522,1856,989,3390,744,156,264
0,4216,0,0,1839,1031,0,0,161,0
424,3585,656,2202,1593,884,2976,662,161,210
306,2765,416,1372,844,533,2159,428,83,150
313,3388,0,1609,837,560,2191,397,102,203
449,4064,898,2491,1634,878,2994,583,195,254
498,4169,785,2231,1661,887,3105,635,183,257
479,4662,1031,2496,2059,1083,3583,775,163,288
539,4624,979,2587,2003,1088,3527,792,173,293
402,3814,773,2118,1672,822,3285,625,141,235
258,3248,636,1527,947,631,2469,460,99,204
304,3374,763,1685,905,629,2496,433,102,197
452,4579,943,2544,1827,993,3505,677,163,270
498,4904,979,2626,1899,1060,3931,701,172,461
555,5137,1002,2813,2111,1160,3944,794,201,332
480,4657,957,2638,1959,1049,3745,722,160,287
370,4216,767,2251,1722,908,3110,692,154,260
317,3344,553,1662,958,613,2483,464,129,204
322,3856,685,2083,982,603,2760,523,142,264
499,4534,1060,2648,1753,941,3823,706,191,316
506,4844,979,2795,2023,1067,3668,879,228,336
539,5148,939,2908,2122,985,4054,872,196,353
498,4780,1026,2623,2050,1083,4176,795,220,389
433,3921,870,2136,1611,855,3223,598,183,256
353,3274,600,1793,951,642,2521,464,116,241
381,3983,793,2071,963,665,2861,560,161,290
470,5102,1149,2911,1971,1104,3885,808,173,425
544,5243,1150,2765,2051,1107,3882,804,182,724
519,5282,953,2727,1999,1065,3800,771,209,421
624,4862,1072,2821,1995,1114,4083,724,215,422
446,3882,786,2241,1651,915,3057,670,159,311
375,3427,613,1790,1040,718,2640,469,129,223
342,3675,608,1964,947,565,2566,465,140,283
511,4464,930,2628,1859,1074,3517,692,173,352
535,4867,930,2700,1919,1124,3748,732,228,366
511,4166,768,2430,1651,990,3652,623,213,332
420,3991,666,2203,1245,814,3314,548,174,298
319,3392,575,1799,976,732,2721,514,124,257
289,3193,517,1734,881,653,2483,496,142,189
329,3603,644,1869,926,579,2720,432,147,284
566,4904,1023,2688,1903,1069,3791,741,195,411
560,4726,1092,2587,1914,1095,3905,764,205,319
498,4420,1106,2401,2020,1060,4160,701,177,340
516,4490,1187,2576,1990,1075,4066,793,210,359
473,3938,893,2176,1651,996,3521,660,147,266
303,3478,618,1656,930,693,2669,526,137,194
377,3923,757,1945,1013,660,2796,459,152,280
470,4610,1033,2472,1781,994,3687,688,226,337
478,4869,1048,2822,1989,946,3621,712,187,398
520,4667,995,2694,1986,991,3914,741,252,374
484,4405,1025,2361,1973,1029,3608,686,233,329
409,4688,788,2123,1585,926,3279,606,149,307
317,3539,625,1737,891,804,2353,471,147,222
359,4154,767,1793,907,621,2783,433,167,244
502,4777,1044,2708,1601,969,3390,631,229,309
515,4986,1173,2603,1845,1030,3751,631,252,379
462,4408,1023,2303,1690,1079,3544,691,216,341
477,4252,923,2117,1665,1010,4969,666,216,323
400,3510,614,1892,1472,887,3892,566,160,227
257,3020,473,1414,846,512,2345,416,84,164
261,3409,431,1513,773,542,2255,385,111,165
358,4304,602,1984,1530,823,3052,556,143,215
398,3977,732,1924,1701,825,2865,529,127,215
367,3791,628,1967,1428,797,2732,474,122,224
300,3450,475,1718,1327,722,2588,472,115,155
17,194,30,94,59,28,205,26,5,5
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
70,1248,132,563,330,240,781,124,41,45
317,3976,446,1814,1213,701,2530,427,101,183
308,4113,502,1820,1410,779,2717,481,82,146
318,3950,420,1958,1332,812,2614,528,115,175
289,3684,385,1777,1176,714,2465,470,111,167
239,3244,394,1427,636,530,1964,351,85,115
199,3030,368,1319,531,418,1828,262,67,121
271,4176,518,1917,935,616,2943,504,109,180
359,4674,576,2295,1599,842,3104,551,136,242
400,4805,606,2482,1841,974,3335,693,156,278
382,4723,687,2467,1942,1003,3535,678,144,329
383,4330,604,2231,1762,903,3280,528,145,240
276,3675,512,1798,1018,618,2818,460,97,211
281,3933,587,1934,990,590,2911,462,125,223
490,5070,790,2566,1957,995,3745,671,157,328
456,4824,1249,2641,2017,1059,3585,700,148,355
483,4879,1040,2786,2146,1038,3829,748,175,332
491,5034,834,2714,2113,1175,3641,654,197,335
482,4158,759,2310,1841,1015,3373,689,161,257
320,3510,563,1761,1028,722,2560,487,91,172
343,3932,563,1964,977,701,2723,463,122,241
420,4505,801,2382,1719,922,3298,697,149,432
469,4896,882,2560,2080,1005,3732,712,155,290
377,4920,584,2348,2342,980,3437,624,143,235
390,4582,806,2423,1904,1013,3432,630,145,272
394,4131,690,2483,1881,1034,3244,585,178,209
349,3650,561,1913,1126,685,2816,489,125,218
313,3954,576,1913,1001,609,2562,454,148,242
478,4875,771,2555,1765,1036,3464,722,202,322
458,4970,835,2795,1896,1140,3600,735,151,318
492,4996,910,2731,1887,1109,3671,800,178,351
490,4802,920,2629,1882,1117,3448,732,163,301
392,4464,796,2384,1731,1050,3381,636,181,272
272,3579,520,1749,1066,722,2546,491,129,213
322,4144,601,2061,1095,661,2784,482,129,251
506,5297,1021,3008,2036,1089,3711,691,201,290
456,5156,823,2664,2088,1111,3446,754,166,337
438,5083,842,2668,2111,1062,3371,748,186,305
446,5958,987,2740,2176,1172,3614,719,197,313
420,4431,727,2278,1894,1082,3074,631,166,246
332,3730,536,1752,1066,800,2535,460,145,248
336,4249,603,1886,1056,658,2653,476,135,252
494,5317,918,2599,2011,1114,3425,699,176,346
522,5301,961,2764,2209,1164,3604,757,207,294
447,5294,935,2619,2081,1080,3583,765,190,318
492,5030,935,2621,2040,1167,3684,711,196,318
389,4531,720,2334,1932,952,3241,614,123,252
302,4190,580,1791,1166,774,2567,538,120,205
365,4365,632,2039,1055,690,2578,484,142,224
494,5257,957,2538,1920,1061,3429,698,212,329
435,5151,836,2593,2027,1132,3329,702,192,273
489,5392,887,2850,2124,1135,3638,708,189,333
462,5311,805,2793,2106,1015,3577,714,191,312
410,6001,798,2540,1813,1016,3387,640,178,303
400,4180,600,1916,1088,705,2340,542,118,205
321,4508,692,2138,1084,684,2742,531,139,226
486,5242,838,2688,1887,1044,3310,812,159,292
499,5721,960,2884,2210,1093,4169,801,189,330
550,5668,980,2775,2342,1155,4200,815,237,353
481,5735,957,2780,2283,1291,4196,830,207,333
418,5016,792,2535,1894,1051,3528,666,176,268
291,4227,655,1937,1119,775,2757,513,108,184
345,4529,707,2148,1117,650,2806,493,154,255
577,5898,1079,2972,2051,1086,3648,806,165,361
589,5864,1070,2952,2210,1177,4036,738,192,351
624,5331,957,2614,2169,1132,3805,779,210,330
601,5189,883,2541,2100,1156,3689,716,203,357
481,4634,789,2339,1801,1043,3648,617,144,273
363,3971,593,1830,1112,755,2697,504,134,196
483,4650,653,2048,1104,699,3176,525,151,306
515,5498,1053,2687,1901,1079,4688,675,182,369
620,5814,868,2525,2152,1167,4160,747,217,310
586,5784,980,2680,2200,1187,4165,761,218,359
505,5454,939,2479,2062,1028,3674,617,163,300
506,5192,754,2341,1828,1074,3546,372,78,275
291,4044,532,1605,1057,695,2865,394,98,196
345,4563,685,1899,1077,690,2920,510,131,213
480,5543,864,2665,2070,1072,3727,737,162,299
430,5787,917,2474,2150,1177,3780,773,202,299
443,4932,881,2457,1908,1004,3444,748,205,317
488,4023,797,2345,1875,1132,3502,772,184,259
423,3451,711,1844,1634,1020,3047,602,147,223
306,3126,518,1479,941,691,2586,508,143,214
348,3176,576,1586,878,688,2394,398,117,215
478,4180,843,2230,1823,1164,3311,638,195,317
480,4498,921,2194,1923,1107,3202,673,210,288
546,4055,820,1972,1802,1091,3428,645,195,288
399,3888,748,1736,1689,954,3349,543,160,259
424,3047,574,1490,1388,788,2628,516,139,180
292,2475,445,1140,731,575,1871,318,96,136
361,3040,636,1372,876,624,2275,421,138,405
521,3971,909,1851,1822,1096,3179,681,191,320
432,3764,897,1939,1941,1031,3109,682,165,287
457,3668,845,1880,2432,1009,3063,613,205,252
504,3330,774,1814,1644,1020,3080,625,179,241
431,5492,610,1644,1632,846,2703,538,147,212
280,7918,497,1357,913,644,2289,373,99,154
268,2831,529,1336,900,507,2334,376,115,163
443,3620,819,1751,1726,902,3005,572,162,252
544,3699,773,1825,2042,1105,3448,573,195,275
536,3421,771,1742,1798,1063,2971,612,158,252
501,3065,679,1650,1629,968,2599,524,153,228
362,2806,574,1479,1184,803,2520,458,133,166
275,2281,455,1237,751,595,1916,376,102,149
327,2770,564,1190,780,553,2272,370,104,146
487,3400,729,1673,1727,928,2807,575,195,227
514,3762,832,1869,1957,1120,3159,605,207,252
455,3525,788,1811,1818,1061,2796,588,176,242
495,3434,786,1749,1702,1051,2826,582,165,244
424,2931,679,1549,1544,849,2498,517,161,208
368,2725,506,1261,988,659,2224,437,146,186
341,2946,622,1385,973,633,2109,436,143,197
537,3733,932,2023,1835,1089,3107,552,193,337
579,3845,832,1996,1936,1129,3228,607,198,298
549,4164,888,2041,1998,1161,3088,621,207,312
480,4124,817,1934,1856,1196,3213,627,221,305
440,3816,706,1816,1681,998,2846,619,183,255
315,2906,517,1371,889,719,2235,456,133,207
398,3465,708,1581,939,649,2314,473,142,240
558,4515,1065,2294,1912,1176,3187,775,244,337
582,4193,937,2282,1829,1136,3406,729,245,327
515,4218,1011,2280,1765,1112,3320,670,230,288
471,4136,965,2291,1808,1024,3395,704,206,291
492,3731,1098,1972,1549,1116,3171,743,179,234
304,2956,693,1455,868,705,2333,468,130,177
386,3501,805,1541,913,674,2528,499,163,242
0,0,0,0,0,0,0,0,0,0
636,4212,949,2197,1944,1001,3286,728,225,317
593,4242,1094,2223,1868,1165,3704,755,207,310
519,4166,991,2223,1862,1173,3716,733,222,274
494,3534,821,2048,1504,980,2974,562,158,275
325,3227,572,1402,783,742,2298,452,130,153
418,3287,672,1397,938,679,2464,461,171,165
635,4349,970,2048,1984,1123,3550,652,247,289
608,4449,949,2207,2329,1194,3512,683,215,327
630,4435,971,2279,2306,1254,3839,795,201,332
611,3776,909,2178,2079,1128,3459,661,207,298
488,3549,752,1985,1747,1063,3241,582,177,271
349,2842,540,1285,1007,714,2300,464,162,148
388,3174,610,1448,911,622,2333,409,159,174
608,4150,918,2127,2058,1120,3365,657,197,289
545,4182,858,2337,2284,1176,3557,716,217,289
599,3861,814,1995,1999,1204,3367,701,192,255
565,4833,799,2082,1851,1128,3266,651,237,236
470,3356,617,1720,1693,951,3151,596,142,198
330,2832,521,1337,858,778,2537,436,110,157
387,3054,599,1446,921,712,2577,502,158,192
492,3934,754,2051,1963,1076,3408,709,228,207
540,3891,869,2118,1988,1153,3569,753,202,250
574,4115,798,2106,2162,1168,3626,721,202,255
472,4007,780,1952,2101,1147,3380,742,173,251
490,3598,680,1783,1682,907,3064,676,187,234
314,3325,464,1413,974,633,2287,514,130,143
362,3763,555,1491,1142,627,2454,488,160,190
433,4344,605,1718,1264,853,3014,625,167,204
467,4714,842,2109,2040,1097,3485,756,190,302
451,4707,753,1983,2138,1163,3635,654,174,255
551,4467,789,1965,1993,1141,3460,673,179,248
491,4025,688,1732,1734,978,2911,608,157,169
362,3494,503,1543,1095,749,2560,490,140,194
402,3928,517,1543,1051,673,2600,427,184,186
482,4189,756,1819,1829,949,2932,723,182,261
581,4957,748,2199,2356,1150,3369,748,210,254
495,4411,723,1896,2192,1040,3215,687,188,235
470,4385,742,1923,2051,1118,3961,700,203,225
454,4045,641,1874,1882,1038,3029,621,172,192
321,3430,484,1474,1069,743,2490,491,128,169
384,3612,483,1471,992,659,2387,528,159,157
491,4447,823,2141,1974,1112,3333,690,234,245
493,4478,950,2288,2259,1237,3442,721,244,289
529,4531,869,2057,2244,1201,3389,737,236,290
505,4555,819,2188,2168,1172,3530,710,208,265
437,4060,702,1817,1745,992,2951,574,165,201
334,3753,502,1583,1035,795,2293,444,146,189
394,3883,520,1612,1059,630,2477,443,173,205
588,4606,797,2180,2149,1087,3256,711,208,253
583,4747,766,2261,2340,1214,3445,761,207,219
492,4400,785,2239,2086,1143,3488,695,183,224
517,4279,805,2128,2071,1043,3210,712,204,231
425,3895,688,1687,1806,929,2857,562,163,186
320,3546,588,1572,1073,676,2350,452,118,167
346,3720,607,1639,1003,638,2265,420,142,214
480,4539,813,2015,2110,1005,3017,667,177,268
488,4715,884,2034,2225,1111,3084,722,207,284
426,4468,702,2151,2112,1024,3034,703,159,267
382,4489,756,1886,2023,993,2861,666,183,286
352,3950,659,1617,1715,987,2662,577,157,178
290,3548,542,1324,996,666,2190,462,128,146
299,3797,577,1479,999,617,2391,387,145,164
425,4342,710,1978,1751,927,2961,598,184,281
468,4473,802,1883,1979,986,2853,619,146,277
361,4323,808,1814,1486,936,2779,607,149,250
426,4470,964,1873,1902,996,2865,566,174,259
400,4204,883,1651,1625,940,2596,508,133,188
262,3864,769,1459,987,632,2214,383,104,152
314,3845,679,1506,902,570,2226,411,94,190
