Web Search interest: symptoms of whooping cough
United States Dec 2010 - Feb 2014

Interest over time
Week,symptoms of whooping cough
2011-12-11 - 2011-12-17,29
2011-12-18 - 2011-12-24,33
2011-12-25 - 2011-12-31,23
2012-01-01 - 2012-01-07,26
2012-01-08 - 2012-01-14,25
2012-01-15 - 2012-01-21,26
2012-01-22 - 2012-01-28,29
2012-01-29 - 2012-02-04,36
2012-02-05 - 2012-02-11,39
2012-02-12 - 2012-02-18,34
2012-02-19 - 2012-02-25,34
2012-02-26 - 2012-03-03,30
2012-03-04 - 2012-03-10,28
2012-03-11 - 2012-03-17,27
2012-03-18 - 2012-03-24,22
2012-03-25 - 2012-03-31,28
2012-04-01 - 2012-04-07,36
2012-04-08 - 2012-04-14,32
2012-04-15 - 2012-04-21,50
2012-04-22 - 2012-04-28,60
2012-04-29 - 2012-05-05,59
2012-05-06 - 2012-05-12,100
2012-05-13 - 2012-05-19,87
2012-05-20 - 2012-05-26,60
2012-05-27 - 2012-06-02,46
2012-06-03 - 2012-06-09,49
2012-06-10 - 2012-06-16,48
2012-06-17 - 2012-06-23,44
2012-06-24 - 2012-06-30,34
2012-07-01 - 2012-07-07,32
2012-07-08 - 2012-07-14,39
2012-07-15 - 2012-07-21,93
2012-07-22 - 2012-07-28,96
2012-07-29 - 2012-08-04,70
2012-08-05 - 2012-08-11,58
2012-08-12 - 2012-08-18,50
2012-08-19 - 2012-08-25,53
2012-08-26 - 2012-09-01,54
2012-09-02 - 2012-09-08,55
2012-09-09 - 2012-09-15,64
2012-09-16 - 2012-09-22,70
2012-09-23 - 2012-09-29,51
2012-09-30 - 2012-10-06,53
2012-10-07 - 2012-10-13,47
2012-10-14 - 2012-10-20,50
2012-10-21 - 2012-10-27,43
2012-10-28 - 2012-11-03,44
2012-11-04 - 2012-11-10,42
2012-11-11 - 2012-11-17,39
2012-11-18 - 2012-11-24,38
2012-11-25 - 2012-12-01,38
2012-12-02 - 2012-12-08,47
2012-12-09 - 2012-12-15,37
2012-12-16 - 2012-12-22,48
2012-12-23 - 2012-12-29,50
2012-12-30 - 2013-01-05,50
2013-01-06 - 2013-01-12,58
2013-01-13 - 2013-01-19,35
2013-01-20 - 2013-01-26,35
2013-01-27 - 2013-02-02,36
2013-02-03 - 2013-02-09,40
2013-02-10 - 2013-02-16,35
2013-02-17 - 2013-02-23,31
2013-02-24 - 2013-03-02,35
2013-03-03 - 2013-03-09,27
2013-03-10 - 2013-03-16,30
2013-03-17 - 2013-03-23,26
2013-03-24 - 2013-03-30,18
2013-03-31 - 2013-04-06,25
2013-04-07 - 2013-04-13,18
2013-04-14 - 2013-04-20,17
2013-04-21 - 2013-04-27,22
2013-04-28 - 2013-05-04,23
2013-05-05 - 2013-05-11,20
2013-05-12 - 2013-05-18,19
2013-05-19 - 2013-05-25,21
2013-05-26 - 2013-06-01,19
2013-06-02 - 2013-06-08,19
2013-06-09 - 2013-06-15,16
2013-06-16 - 2013-06-22,16
2013-06-23 - 2013-06-29,18
2013-06-30 - 2013-07-06,19
2013-07-07 - 2013-07-13,15
2013-07-14 - 2013-07-20,15
2013-07-21 - 2013-07-27,20
2013-07-28 - 2013-08-03,20
2013-08-04 - 2013-08-10,17
2013-08-11 - 2013-08-17,22
2013-08-18 - 2013-08-24,16
2013-08-25 - 2013-08-31,19
2013-09-01 - 2013-09-07,41
2013-09-08 - 2013-09-14,37
2013-09-15 - 2013-09-21,29
2013-09-22 - 2013-09-28,28
2013-09-29 - 2013-10-05,27
2013-10-06 - 2013-10-12,34
2013-10-13 - 2013-10-19,23
2013-10-20 - 2013-10-26,27
2013-10-27 - 2013-11-02,36
2013-11-03 - 2013-11-09,41
2013-11-10 - 2013-11-16,41
2013-11-17 - 2013-11-23,42
2013-11-24 - 2013-11-30,50
2013-12-01 - 2013-12-07,36
2013-12-08 - 2013-12-14,31
2013-12-15 - 2013-12-21,30
2013-12-22 - 2013-12-28,34
2013-12-29 - 2014-01-04,31
2014-01-05 - 2014-01-11,30
2014-01-12 - 2014-01-18,21
2014-01-19 - 2014-01-25,24
2014-01-26 - 2014-02-01,26
2014-02-02 - 2014-02-08,19
2014-02-09 - 2014-02-15,23
2014-02-16 - 2014-02-22,19
2014-02-23 - 2014-03-01,22


Top subregions for symptoms of whooping cough
Subregion,symptoms of whooping cough
Washington,100
Wisconsin,93
Colorado,63
Minnesota,58
Illinois,39
North Carolina,37
Ohio,35
Texas,33
California,30
Pennsylvania,28
New York,21
Florida,17
Alaska,0
Alabama,0
Arkansas,0
Arizona,0
Connecticut,0
District of Columbia,0
Delaware,0
Georgia,0
Hawaii,0
Iowa,0
Idaho,0
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Massachusetts,0
Maryland,0
Maine,0
Michigan,0
Missouri,0
Mississippi,0
Montana,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Jersey,0
New Mexico,0
Nevada,0
Oklahoma,0
Oregon,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Utah,0
Virginia,0
Vermont,0
West Virginia,0
Wyoming,0




Top cities for symptoms of whooping cough
City,symptoms of whooping cough
Seattle,100
Chicago,45
Dallas,44
San Francisco,41
Los Angeles,30
New York,20



Top searches for symptoms of whooping cough
symptoms of pertussis,100
pertussis symptoms,100
whooping cough sound,75
whooping cough treatment,75
whooping cough vaccine,65
symptoms of croup,65



Rising searches for symptoms of whooping cough
symptoms of croup,Breakout
whooping cough sound,Breakout
pertussis symptoms,+40%
symptoms of pertussis,+40%



