Web Search interest: whooping
United States Dec 2010 - Feb 2014

Interest over time
Week,whooping
2013-01-13 - 2013-01-19,41
2013-01-20 - 2013-01-26,38
2013-01-27 - 2013-02-02,40
2013-02-03 - 2013-02-09,44
2013-02-10 - 2013-02-16,42
2013-02-17 - 2013-02-23,31
2013-02-24 - 2013-03-02,32
2013-03-03 - 2013-03-09,30
2013-03-10 - 2013-03-16,29
2013-03-17 - 2013-03-23,28
2013-03-24 - 2013-03-30,25
2013-03-31 - 2013-04-06,29
2013-04-07 - 2013-04-13,26
2013-04-14 - 2013-04-20,23
2013-04-21 - 2013-04-27,27
2013-04-28 - 2013-05-04,25
2013-05-05 - 2013-05-11,24
2013-05-12 - 2013-05-18,25
2013-05-19 - 2013-05-25,24
2013-05-26 - 2013-06-01,23
2013-06-02 - 2013-06-08,24
2013-06-09 - 2013-06-15,22
2013-06-16 - 2013-06-22,21
2013-06-23 - 2013-06-29,21
2013-06-30 - 2013-07-06,18
2013-07-07 - 2013-07-13,18
2013-07-14 - 2013-07-20,19
2013-07-21 - 2013-07-27,20
2013-07-28 - 2013-08-03,21
2013-08-04 - 2013-08-10,22
2013-08-11 - 2013-08-17,21
2013-08-18 - 2013-08-24,23
2013-08-25 - 2013-08-31,25
2013-09-01 - 2013-09-07,41
2013-09-08 - 2013-09-14,44
2013-09-15 - 2013-09-21,33
2013-09-22 - 2013-09-28,32
2013-09-29 - 2013-10-05,37
2013-10-06 - 2013-10-12,33
2013-10-13 - 2013-10-19,32
2013-10-20 - 2013-10-26,31
2013-10-27 - 2013-11-02,41
2013-11-03 - 2013-11-09,41
2013-11-10 - 2013-11-16,49
2013-11-17 - 2013-11-23,43
2013-11-24 - 2013-11-30,48
2013-12-01 - 2013-12-07,38
2013-12-08 - 2013-12-14,37
2013-12-15 - 2013-12-21,35
2013-12-22 - 2013-12-28,33
2013-12-29 - 2014-01-04,36
2014-01-05 - 2014-01-11,34
2014-01-12 - 2014-01-18,32
2014-01-19 - 2014-01-25,40
2014-01-26 - 2014-02-01,36
2014-02-02 - 2014-02-08,32
2014-02-09 - 2014-02-15,30
2014-02-16 - 2014-02-22,28
2014-02-23 - 2014-03-01,27


Top subregions for whooping
Subregion,whooping
Montana,100
Washington,93
Wisconsin,83
Vermont,74
Utah,71
Minnesota,65
Alaska,65
New Mexico,64
Oklahoma,62
Idaho,61
Colorado,61
Maine,60
Iowa,58
North Dakota,57
Nebraska,56
Kansas,55
South Dakota,52
West Virginia,52
Arkansas,52
Kentucky,49
Illinois,49
Oregon,49
Missouri,49
Texas,47
Rhode Island,46
Indiana,46
Arizona,46
California,45
Ohio,42
Louisiana,42
North Carolina,42
New Hampshire,41
Michigan,41
Pennsylvania,40
Alabama,40
South Carolina,38
Tennessee,38
District of Columbia,38
Georgia,36
Mississippi,36
Delaware,36
Virginia,35
Massachusetts,35
Nevada,35
New York,35
Connecticut,34
New Jersey,34
Hawaii,33
Maryland,33
Florida,32
Wyoming,0


Top metros for whooping
Metro,whooping
Seattle-Tacoma WA,100
Milwaukee WI,82
Salt Lake City UT,75
Denver CO,69
Minneapolis-St. Paul MN,68
Cincinnati OH,64
Indianapolis IN,59
Columbus OH,57
Austin TX,55
Kansas City MO,54
Portland OR,54
Dallas-Ft. Worth TX,54
San Diego CA,54
Chicago IL,53
St. Louis MO,53
Sacramento-Stockton-Modesto CA,52
San Antonio TX,47
San Francisco-Oakland-San Jose CA,47
Philadelphia PA,46
Los Angeles CA,46
Phoenix AZ,44
Raleigh-Durham (Fayetteville) NC,43
Detroit MI,43
Houston TX,42
Charlotte NC,41
Cleveland-Akron (Canton) OH,40
Boston MA-Manchester NH,38
Atlanta GA,38
Orlando-Daytona Beach-Melbourne FL,37
Tampa-St. Petersburg (Sarasota) FL,37
Washington DC (Hagerstown MD),35
New York NY,35
Miami-Ft. Lauderdale FL,27
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Erie PA,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for whooping
City,whooping
Seattle,100
Madison,74
Salt Lake City,70
Portland,68
Milwaukee,68
Albuquerque,67
Minneapolis,65
Denver,64
Indianapolis,51
San Diego,51
Dallas,51
St. Louis,51
Austin,51
Chicago,50
San Francisco,50



Top searches for whooping
whooping cough,100
cough,100
whooping cough symptoms,20
whooping cough vaccine,10
the whooping cough,5
whooping cough adults,5
whooping crane,5
whooping cough sound,5
pertussis,5
whooping cough pertussis,5
whooping cough treatment,5
croup,0
croup whooping cough,0
croup cough,0
baby whooping cough,0
baby cough,0
whooping cough shot,0
whooping cough signs,0
whooping cranes,0
whoopi goldberg,0
whooping cough infants,0
whooping cough contagious,0
tdap,0
whooping cough outbreak,0
whooping cough vaccination,0
whopping,0
pertussis vaccine,0
whooping cough pregnancy,0
dry cough,0
whooping cough test,0
whopping cough,0
tdap vaccine,0
whooping cough california,0
cdc whooping cough,0
whooping cough antibiotics,0
dtap,0
whooping cough remedies,0
pertussis symptoms,0
whooping cough booster,0
croup symptoms,0
whooping cough washington,0
youtube whooping cough,0
whooping cough cure,0
whooping caugh,0
whooping definition,0



Rising searches for whooping
whoopi goldberg,+300%
whooping cough sound,+150%
tdap,+130%
whooping cough shot,+100%
whooping cough vaccine,+100%
baby cough,+90%
baby whooping cough,+90%
whooping cough signs,+90%
whooping cough test,+60%
the whooping cough,+50%



