Web Search interest: whooping cough
United States Dec 2010 - Feb 2014

Interest over time
Week,whooping cough
2013-03-03 - 2013-03-09,28
2013-03-10 - 2013-03-16,26
2013-03-17 - 2013-03-23,25
2013-03-24 - 2013-03-30,21
2013-03-31 - 2013-04-06,23
2013-04-07 - 2013-04-13,21
2013-04-14 - 2013-04-20,19
2013-04-21 - 2013-04-27,22
2013-04-28 - 2013-05-04,22
2013-05-05 - 2013-05-11,22
2013-05-12 - 2013-05-18,21
2013-05-19 - 2013-05-25,21
2013-05-26 - 2013-06-01,21
2013-06-02 - 2013-06-08,20
2013-06-09 - 2013-06-15,20
2013-06-16 - 2013-06-22,18
2013-06-23 - 2013-06-29,17
2013-06-30 - 2013-07-06,16
2013-07-07 - 2013-07-13,16
2013-07-14 - 2013-07-20,17
2013-07-21 - 2013-07-27,19
2013-07-28 - 2013-08-03,19
2013-08-04 - 2013-08-10,19
2013-08-11 - 2013-08-17,18
2013-08-18 - 2013-08-24,21
2013-08-25 - 2013-08-31,21
2013-09-01 - 2013-09-07,39
2013-09-08 - 2013-09-14,41
2013-09-15 - 2013-09-21,30
2013-09-22 - 2013-09-28,29
2013-09-29 - 2013-10-05,34
2013-10-06 - 2013-10-12,30
2013-10-13 - 2013-10-19,29
2013-10-20 - 2013-10-26,29
2013-10-27 - 2013-11-02,36
2013-11-03 - 2013-11-09,37
2013-11-10 - 2013-11-16,45
2013-11-17 - 2013-11-23,39
2013-11-24 - 2013-11-30,43
2013-12-01 - 2013-12-07,35
2013-12-08 - 2013-12-14,34
2013-12-15 - 2013-12-21,33
2013-12-22 - 2013-12-28,30
2013-12-29 - 2014-01-04,30
2014-01-05 - 2014-01-11,31
2014-01-12 - 2014-01-18,28
2014-01-19 - 2014-01-25,36
2014-01-26 - 2014-02-01,32
2014-02-02 - 2014-02-08,27
2014-02-09 - 2014-02-15,25
2014-02-16 - 2014-02-22,23
2014-02-23 - 2014-03-01,23


Top subregions for whooping cough
Subregion,whooping cough
Montana,100
Washington,95
Wisconsin,78
Utah,70
Vermont,68
Alaska,63
Minnesota,62
Colorado,60
Maine,60
New Mexico,58
Oklahoma,57
Idaho,57
Iowa,57
Kansas,53
West Virginia,49
Nebraska,48
Arkansas,48
Oregon,48
North Dakota,48
Kentucky,48
Missouri,47
Illinois,47
South Dakota,45
Rhode Island,45
California,45
Arizona,44
Indiana,42
Texas,41
Ohio,41
New Hampshire,40
North Carolina,40
Pennsylvania,39
Michigan,38
South Carolina,36
Tennessee,35
Alabama,35
Louisiana,34
Nevada,34
Delaware,34
District of Columbia,33
New York,33
Massachusetts,33
Virginia,33
Hawaii,33
Connecticut,32
New Jersey,32
Georgia,32
Mississippi,31
Maryland,30
Florida,27
Wyoming,0


Top metros for whooping cough
Metro,whooping cough
Seattle-Tacoma WA,100
Milwaukee WI,80
Salt Lake City UT,72
Minneapolis-St. Paul MN,67
Denver CO,62
Portland OR,52
Columbus OH,52
San Diego CA,52
Chicago IL,51
Sacramento-Stockton-Modesto CA,50
Dallas-Ft. Worth TX,50
Austin TX,48
St. Louis MO,48
Kansas City MO,47
San Francisco-Oakland-San Jose CA,46
Phoenix AZ,46
San Antonio TX,44
Los Angeles CA,43
Detroit MI,42
Philadelphia PA,41
Raleigh-Durham (Fayetteville) NC,39
Charlotte NC,37
Atlanta GA,35
Houston TX,35
Boston MA-Manchester NH,34
New York NY,32
Orlando-Daytona Beach-Melbourne FL,32
Washington DC (Hagerstown MD),31
Miami-Ft. Lauderdale FL,22
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Cleveland-Akron (Canton) OH,0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Tampa-St. Petersburg (Sarasota) FL,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for whooping cough
City,whooping cough
Seattle,100
Salt Lake City,70
Portland,69
Denver,64
Minneapolis,63
San Diego,52
St. Louis,51
San Francisco,50
Dallas,49
Chicago,49
Phoenix,44
Columbus,43
Los Angeles,41
Austin,41
Boston,40



Top searches for whooping cough
symptoms whooping cough,100
whooping cough vaccine,55
the whooping cough,30
whooping cough adults,25
whooping cough sound,25
whooping cough pertussis,15
pertussis,15
whooping cough treatment,15
croup,15
croup cough,15
croup whooping cough,15
whooping cough shot,10
baby whooping cough,10
baby cough,10
whooping cough signs,10
whoopi goldberg,5
whooping cough contagious,5
whooping cough infants,5
whooping cough outbreak,5
tdap,5
whooping cough 2012,5
whooping cough vaccination,5
pertussis vaccine,5
infant whooping cough,5
whooping cough pregnancy,5
dry cough,5
whopping,5
whopping cough,5
whooping cough test,5
tdap vaccine,5
whooping cough sounds,5
whooping cough california,5
whooping cough cdc,5
whooping cough remedies,5
whooping cough toddler,5
whooping cough vaccines,5
dtap,5
cough remedies,5
pertussis symptoms,5
whooping cough washington,5
croup symptoms,5
whooping cough booster,0
whooping cough shots,0
youtube whooping cough,0
whooping cough cure,0
croup cough sound,0



Rising searches for whooping cough
whooping cough 2012,Breakout
whoopi goldberg,+300%
whooping cough sound,+130%
tdap,+120%
baby cough,+90%
whooping cough shot,+90%
whooping cough signs,+90%
whooping cough vaccine,+90%
baby whooping cough,+80%
the whooping cough,+40%



