Week,whooping cough,whooping,symptoms of whooping cough,pertussis vaccine
2011-11-20 - 2011-11-26,25,29,30,26
2011-11-27 - 2011-12-03,39,41,32,35
2011-12-04 - 2011-12-10,30,33,26,27
2011-12-11 - 2011-12-17,30,34,29,27
2011-12-18 - 2011-12-24,31,34,33,27
2011-12-25 - 2011-12-31,27,30,23,20
2012-01-01 - 2012-01-07,26,32,26,21
2012-01-08 - 2012-01-14,32,38,25,35
2012-01-15 - 2012-01-21,27,32,26,25
2012-01-22 - 2012-01-28,31,36,29,32
2012-01-29 - 2012-02-04,37,40,36,33
2012-02-05 - 2012-02-11,36,40,39,32
2012-02-12 - 2012-02-18,35,37,34,35
2012-02-19 - 2012-02-25,39,43,34,32
2012-02-26 - 2012-03-03,32,35,30,27
2012-03-04 - 2012-03-10,32,34,28,34
2012-03-11 - 2012-03-17,25,28,27,24
2012-03-18 - 2012-03-24,25,27,22,25
2012-03-25 - 2012-03-31,25,29,28,26
2012-04-01 - 2012-04-07,43,46,36,42
2012-04-08 - 2012-04-14,34,38,32,35
2012-04-15 - 2012-04-21,47,50,50,64
2012-04-22 - 2012-04-28,45,50,60,47
2012-04-29 - 2012-05-05,55,58,59,53
2012-05-06 - 2012-05-12,79,82,100,65
2012-05-13 - 2012-05-19,70,73,87,59
2012-05-20 - 2012-05-26,54,55,60,49
2012-05-27 - 2012-06-02,39,42,46,42
2012-06-03 - 2012-06-09,40,41,49,42
2012-06-10 - 2012-06-16,41,43,48,43
2012-06-17 - 2012-06-23,36,38,44,43
2012-06-24 - 2012-06-30,31,34,34,38
2012-07-01 - 2012-07-07,25,27,32,34
2012-07-08 - 2012-07-14,33,35,39,42
2012-07-15 - 2012-07-21,100,100,93,100
2012-07-22 - 2012-07-28,92,96,96,92
2012-07-29 - 2012-08-04,66,68,70,85
2012-08-05 - 2012-08-11,51,52,58,62
2012-08-12 - 2012-08-18,47,49,50,58
2012-08-19 - 2012-08-25,54,56,53,72
2012-08-26 - 2012-09-01,47,48,54,57
2012-09-02 - 2012-09-08,46,49,55,49
2012-09-09 - 2012-09-15,56,58,64,61
2012-09-16 - 2012-09-22,51,53,70,58
2012-09-23 - 2012-09-29,49,51,51,64
2012-09-30 - 2012-10-06,51,54,53,58
2012-10-07 - 2012-10-13,43,47,47,51
2012-10-14 - 2012-10-20,41,44,50,49
2012-10-21 - 2012-10-27,42,46,43,51
2012-10-28 - 2012-11-03,37,40,44,46
2012-11-04 - 2012-11-10,36,39,42,47
2012-11-11 - 2012-11-17,42,45,39,42
2012-11-18 - 2012-11-24,36,39,38,34
2012-11-25 - 2012-12-01,40,42,38,40
2012-12-02 - 2012-12-08,40,45,47,43
2012-12-09 - 2012-12-15,37,42,37,39
2012-12-16 - 2012-12-22,41,43,48,37
2012-12-23 - 2012-12-29,41,43,50,26
2012-12-30 - 2013-01-05,42,44,50,30
2013-01-06 - 2013-01-12,53,56,58,40
2013-01-13 - 2013-01-19,39,41,35,34
2013-01-20 - 2013-01-26,34,38,35,27
2013-01-27 - 2013-02-02,37,40,36,39
2013-02-03 - 2013-02-09,40,44,40,32
2013-02-10 - 2013-02-16,37,42,35,30
2013-02-17 - 2013-02-23,28,31,31,29
2013-02-24 - 2013-03-02,29,32,35,30
2013-03-03 - 2013-03-09,28,30,27,29
2013-03-10 - 2013-03-16,26,29,30,29
2013-03-17 - 2013-03-23,25,28,26,32
2013-03-24 - 2013-03-30,21,25,18,28
2013-03-31 - 2013-04-06,23,29,25,27
2013-04-07 - 2013-04-13,21,26,18,24
2013-04-14 - 2013-04-20,19,23,17,25
2013-04-21 - 2013-04-27,22,27,22,36
2013-04-28 - 2013-05-04,22,25,23,34
2013-05-05 - 2013-05-11,22,24,20,27
2013-05-12 - 2013-05-18,21,25,19,28
2013-05-19 - 2013-05-25,21,24,21,22
2013-05-26 - 2013-06-01,21,23,19,26
2013-06-02 - 2013-06-08,20,24,19,26
2013-06-09 - 2013-06-15,20,22,16,32
2013-06-16 - 2013-06-22,18,21,16,29
2013-06-23 - 2013-06-29,17,21,18,29
2013-06-30 - 2013-07-06,16,18,19,27
2013-07-07 - 2013-07-13,16,18,15,32
2013-07-14 - 2013-07-20,17,19,15,33
2013-07-21 - 2013-07-27,19,20,20,32
2013-07-28 - 2013-08-03,19,21,20,31
2013-08-04 - 2013-08-10,19,22,17,36
2013-08-11 - 2013-08-17,18,21,22,32
2013-08-18 - 2013-08-24,21,23,16,33
2013-08-25 - 2013-08-31,21,25,19,33
2013-09-01 - 2013-09-07,39,41,41,48
2013-09-08 - 2013-09-14,41,44,37,51
2013-09-15 - 2013-09-21,30,33,29,41
2013-09-22 - 2013-09-28,29,32,28,42
2013-09-29 - 2013-10-05,34,37,27,52
2013-10-06 - 2013-10-12,30,33,34,45
2013-10-13 - 2013-10-19,29,32,23,41
2013-10-20 - 2013-10-26,29,31,27,38
2013-10-27 - 2013-11-02,36,41,36,43
2013-11-03 - 2013-11-09,37,41,41,40
2013-11-10 - 2013-11-16,45,49,41,55
2013-11-17 - 2013-11-23,39,43,42,45
2013-11-24 - 2013-11-30,43,48,50,47
2013-12-01 - 2013-12-07,35,38,36,39
2013-12-08 - 2013-12-14,34,37,31,41
2013-12-15 - 2013-12-21,33,35,30,35
2013-12-22 - 2013-12-28,30,33,34,26
2013-12-29 - 2014-01-04,30,36,31,31
2014-01-05 - 2014-01-11,31,34,30,37
2014-01-12 - 2014-01-18,28,32,21,39
2014-01-19 - 2014-01-25,36,40,24,49
2014-01-26 - 2014-02-01,32,36,26,43
2014-02-02 - 2014-02-08,27,32,19,35
2014-02-09 - 2014-02-15,25,30,23,27
2014-02-16 - 2014-02-22,23,28,19,27
2014-02-23 - 2014-03-01,23,27,22,29
,,,,
,,,,
Top subregions for whooping cough,,,,
Subregion,whooping cough,whooping,symptoms of whooping cough,pertussis vaccine
Montana,100,100,100,100
Washington,95,93,93,75
Wisconsin,78,83,63,74
Utah,70,74,58,72
Vermont,68,71,39,70
Alaska,63,65,37,64
Minnesota,62,65,35,61
Colorado,60,64,33,60
Maine,60,62,30,58
New Mexico,58,61,28,57
Oklahoma,57,61,21,56
Idaho,57,60,17,56
Iowa,57,58,0,56
Kansas,53,57,0,55
West Virginia,49,56,0,55
Nebraska,48,55,0,55
Arkansas,48,52,0,54
Oregon,48,52,0,52
North Dakota,48,52,0,48
Kentucky,48,49,0,45
Missouri,47,49,0,45
Illinois,47,49,0,41
South Dakota,45,49,0,0
Rhode Island,45,47,0,0
California,45,46,0,0
Arizona,44,46,0,0
Indiana,42,46,0,0
Texas,41,45,0,0
Ohio,41,42,0,0
New Hampshire,40,42,0,0
North Carolina,40,42,0,0
Pennsylvania,39,41,0,0
Michigan,38,41,0,0
South Carolina,36,40,0,0
Tennessee,35,40,0,0
Alabama,35,38,0,0
Louisiana,34,38,0,0
Nevada,34,38,0,0
Delaware,34,36,0,0
District of Columbia,33,36,0,0
New York,33,36,0,0
Massachusetts,33,35,0,0
Virginia,33,35,0,0
Hawaii,33,35,0,0
Connecticut,32,35,0,0
New Jersey,32,34,0,0
Georgia,32,34,0,0
Mississippi,31,33,0,0
Maryland,30,33,0,0
Florida,27,32,0,0
Wyoming,0,0,0,0
,,,,
,,,,
Top metros for whooping cough,,,,
Metro,whooping cough,whooping,,
Seattle-Tacoma WA,100,100,,
Milwaukee WI,80,82,symptoms of whooping cough,pertussis vaccine
Salt Lake City UT,72,75,100,100
Minneapolis-St. Paul MN,67,69,45,64
Denver CO,62,68,44,51
Portland OR,52,64,41,50
Columbus OH,52,59,30,43
San Diego CA,52,57,20,43
Chicago IL,51,55,,42
Sacramento-Stockton-Modesto CA,50,54,,36
Dallas-Ft. Worth TX,50,54,,34
Austin TX,48,54,,
St. Louis MO,48,54,100,
Kansas City MO,47,53,100,
San Francisco-Oakland-San Jose CA,46,53,75,
Phoenix AZ,46,52,75,100
San Antonio TX,44,47,65,70
Los Angeles CA,43,47,65,70
Detroit MI,42,46,,70
Philadelphia PA,41,46,,60
Raleigh-Durham (Fayetteville) NC,39,44,,60
Charlotte NC,37,43,,55
Atlanta GA,35,43,Breakout,35
Houston TX,35,42,Breakout,35
Boston MA-Manchester NH,34,41,+40%,35
New York NY,32,40,+40%,35
Orlando-Daytona Beach-Melbourne FL,32,38,,35
Washington DC (Hagerstown MD),31,38,,25
Miami-Ft. Lauderdale FL,22,37,,25
Portland-Auburn ME,0,37,,25
Binghamton NY,0,35,,25
Macon GA,0,35,,20
Savannah GA,0,27,,20
Pittsburgh PA,0,0,,20
Ft. Wayne IN,0,0,,15
Cleveland-Akron (Canton) OH,0,0,,15
Baltimore MD,0,0,,15
Flint-Saginaw-Bay City MI,0,0,,15
Buffalo NY,0,0,,15
Cincinnati OH,0,0,,15
Erie PA,0,0,,15
Greensboro-High Point-Winston Salem NC,0,0,,15
Charleston SC,0,0,,10
Augusta GA,0,0,,10
Providence RI-New Bedford MA,0,0,,10
Columbus GA,0,0,,10
Burlington VT-Plattsburgh NY,0,0,,10
Albany GA,0,0,,
Utica NY,0,0,,
Indianapolis IN,0,0,,
Louisville KY,0,0,,
Tallahassee FL-Thomasville GA,0,0,,Breakout
Tri-Cities TN-VA,0,0,,+130%
Albany-Schenectady-Troy NY,0,0,,+100%
Hartford & New Haven CT,0,0,,+60%
Youngstown OH,0,0,,+60%
Bangor ME,0,0,,+60%
Rochester NY,0,0,,+60%
Tampa-St. Petersburg (Sarasota) FL,0,0,,+50%
Traverse City-Cadillac MI,0,0,,+50%
Lexington KY,0,0,,+40%
Dayton OH,0,0,,
Springfield-Holyoke MA,0,0,,
Norfolk-Portsmouth-Newport News VA,0,0,,
Greenville-New Bern-Washington NC,0,0,,
Columbia SC,0,0,,
Toledo OH,0,0,,
West Palm Beach-Ft. Pierce FL,0,0,,
Watertown NY,0,0,,
Wilmington NC,0,0,,
Lansing MI,0,0,,
Presque Isle ME,0,0,,
Marquette MI,0,0,,
Wheeling WV-Steubenville OH,0,0,,
Syracuse NY,0,0,,
Richmond-Petersburg VA,0,0,,
Knoxville TN,0,0,,
Lima OH,0,0,,
Bluefield-Beckley-Oak Hill WV,0,0,,
Jacksonville FL,0,0,,
Grand Rapids-Kalamazoo-Battle Creek MI,0,0,,
Charleston-Huntington WV,0,0,,
Elmira NY,0,0,,
Harrisburg-Lancaster-Lebanon-York PA,0,0,,
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0,0,,
Harrisonburg VA,0,0,,
Florence-Myrtle Beach SC,0,0,,
Ft. Myers-Naples FL,0,0,,
Roanoke-Lynchburg VA,0,0,,
Johnstown-Altoona PA,0,0,,
Chattanooga TN,0,0,,
Salisbury MD,0,0,,
Wilkes Barre-Scranton PA,0,0,,
Terre Haute IN,0,0,,
Lafayette IN,0,0,,
Alpena MI,0,0,,
Charlottesville VA,0,0,,
South Bend-Elkhart IN,0,0,,
Gainesville FL,0,0,,
Zanesville OH,0,0,,
Parkersburg WV,0,0,,
Clarksburg-Weston WV,0,0,,
Corpus Christi TX,0,0,,
Joplin MO-Pittsburg KS,0,0,,
Columbia-Jefferson City MO,0,0,,
Topeka KS,0,0,,
Dothan AL,0,0,,
Rockford IL,0,0,,
Rochester MN-Mason City IA-Austin MN,0,0,,
Shreveport LA,0,0,,
Springfield MO,0,0,,
New Orleans LA,0,0,,
Sioux City IA,0,0,,
Waco-Temple-Bryan TX,0,0,,
Victoria TX,0,0,,
Wichita Falls TX & Lawton OK,0,0,,
Monroe LA-El Dorado AR,0,0,,
Birmingham AL,0,0,,
Ottumwa IA-Kirksville MO,0,0,,
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0,0,,
Odessa-Midland TX,0,0,,
Amarillo TX,0,0,,
Harlingen-Weslaco-Brownsville-McAllen TX,0,0,,
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0,0,,
St. Joseph MO,0,0,,
Jackson TN,0,0,,
Memphis TN,0,0,,
Lafayette LA,0,0,,
Lake Charles LA,0,0,,
Alexandria LA,0,0,,
Greenwood-Greenville MS,0,0,,
Champaign & Springfield-Decatur IL,0,0,,
Evansville IN,0,0,,
Oklahoma City OK,0,0,,
Lubbock TX,0,0,,
Omaha NE,0,0,,
Panama City FL,0,0,,
Sherman TX-Ada OK,0,0,,
Green Bay-Appleton WI,0,0,,
Nashville TN,0,0,,
San Angelo TX,0,0,,
Abilene-Sweetwater TX,0,0,,
Madison WI,0,0,,
Ft. Smith-Fayetteville-Springdale-Rogers AR,0,0,,
Tulsa OK,0,0,,
Columbus-Tupelo-West Point MS,0,0,,
Peoria-Bloomington IL,0,0,,
Duluth MN-Superior WI,0,0,,
Wichita-Hutchinson KS,0,0,,
Des Moines-Ames IA,0,0,,
Davenport IA-Rock Island-Moline IL,0,0,,
Mobile AL-Pensacola (Ft. Walton Beach) FL,0,0,,
Minot-Bismarck-Dickinson(Williston) ND,0,0,,
Huntsville-Decatur (Florence) AL,0,0,,
Beaumont-Port Arthur TX,0,0,,
Little Rock-Pine Bluff AR,0,0,,
Montgomery (Selma) AL,0,0,,
La Crosse-Eau Claire WI,0,0,,
Wausau-Rhinelander WI,0,0,,
Tyler-Longview(Lufkin & Nacogdoches) TX,0,0,,
Hattiesburg-Laurel MS,0,0,,
Meridian MS,0,0,,
Baton Rouge LA,0,0,,
Quincy IL-Hannibal MO-Keokuk IA,0,0,,
Jackson MS,0,0,,
Lincoln & Hastings-Kearney NE,0,0,,
Fargo-Valley City ND,0,0,,
Sioux Falls(Mitchell) SD,0,0,,
Jonesboro AR,0,0,,
Bowling Green KY,0,0,,
Mankato MN,0,0,,
North Platte NE,0,0,,
Anchorage AK,0,0,,
Honolulu HI,0,0,,
Fairbanks AK,0,0,,
Biloxi-Gulfport MS,0,0,,
Juneau AK,0,0,,
Laredo TX,0,0,,
Colorado Springs-Pueblo CO,0,0,,
Butte-Bozeman MT,0,0,,
Great Falls MT,0,0,,
Billings MT,0,0,,
Boise ID,0,0,,
Idaho Falls-Pocatello ID,0,0,,
Cheyenne WY-Scottsbluff NE,0,0,,
Twin Falls ID,0,0,,
Missoula MT,0,0,,
Rapid City SD,0,0,,
El Paso TX,0,0,,
Helena MT,0,0,,
Casper-Riverton WY,0,0,,
Yuma AZ-El Centro CA,0,0,,
Grand Junction-Montrose CO,0,0,,
Tucson (Sierra Vista) AZ,0,0,,
Albuquerque-Santa Fe NM,0,0,,
Glendive MT,0,0,,
Bakersfield CA,0,0,,
Eugene OR,0,0,,
Eureka CA,0,0,,
Palm Springs CA,0,0,,
Yakima-Pasco-Richland-Kennewick WA,0,0,,
Reno NV,0,0,,
Medford-Klamath Falls OR,0,0,,
Bend OR,0,0,,
Monterey-Salinas CA,0,0,,
Las Vegas NV,0,0,,
Santa Barbara-Santa Maria-San Luis Obispo CA,0,0,,
Fresno-Visalia CA,0,0,,
Chico-Redding CA,0,0,,
Spokane WA,0,0,,
,,,,
,,,,
Top cities for whooping cough,,,,
City,whooping cough,whooping,,
Seattle,100,100,,
Salt Lake City,70,74,,
Portland,69,70,,
Denver,64,68,,
Minneapolis,63,68,,
San Diego,52,67,,
St. Louis,51,65,,
San Francisco,50,64,,
Dallas,49,51,,
Chicago,49,51,,
Phoenix,44,51,,
Columbus,43,51,,
Los Angeles,41,51,,
Austin,41,50,,
Boston,40,50,,
,,,,
,,,,
,,,,
Top searches for whooping cough,,,,
symptoms whooping cough,100,100,,
whooping cough vaccine,55,100,,
the whooping cough,30,20,,
whooping cough adults,25,10,,
whooping cough sound,25,5,,
whooping cough pertussis,15,5,,
pertussis,15,5,,
whooping cough treatment,15,5,,
croup,15,5,,
croup cough,15,5,,
croup whooping cough,15,5,,
whooping cough shot,10,0,,
baby whooping cough,10,0,,
baby cough,10,0,,
whooping cough signs,10,0,,
whoopi goldberg,5,0,,
whooping cough contagious,5,0,,
whooping cough infants,5,0,,
whooping cough outbreak,5,0,,
tdap,5,0,,
whooping cough 2012,5,0,,
whooping cough vaccination,5,0,,
pertussis vaccine,5,0,,
infant whooping cough,5,0,,
whooping cough pregnancy,5,0,,
dry cough,5,0,,
whopping,5,0,,
whopping cough,5,0,,
whooping cough test,5,0,,
tdap vaccine,5,0,,
whooping cough sounds,5,0,,
whooping cough california,5,0,,
whooping cough cdc,5,0,,
whooping cough remedies,5,0,,
whooping cough toddler,5,0,,
whooping cough vaccines,5,0,,
dtap,5,0,,
cough remedies,5,0,,
pertussis symptoms,5,0,,
whooping cough washington,5,0,,
croup symptoms,5,0,,
whooping cough booster,0,0,,
whooping cough shots,0,0,,
youtube whooping cough,0,0,,
whooping cough cure,0,0,,
croup cough sound,0,,,
,,,,
,,,,
,,,,
Rising searches for whooping cough,,+300%,,
whooping cough 2012,Breakout,+150%,,
whoopi goldberg,+300%,+130%,,
whooping cough sound,+130%,+100%,,
tdap,+120%,+100%,,
baby cough,+90%,+90%,,
whooping cough shot,+90%,+90%,,
whooping cough signs,+90%,+90%,,
whooping cough vaccine,+90%,+60%,,
baby whooping cough,+80%,+50%,,
the whooping cough,+40%,,,
