Web Search interest: water pollution
United States Dec 2010 - Feb 2014

Interest over time
Week,water pollution
2013-01-13 - 2013-01-19,51
2013-01-20 - 2013-01-26,45
2013-01-27 - 2013-02-02,57
2013-02-03 - 2013-02-09,62
2013-02-10 - 2013-02-16,60
2013-02-17 - 2013-02-23,54
2013-02-24 - 2013-03-02,71
2013-03-03 - 2013-03-09,67
2013-03-10 - 2013-03-16,63
2013-03-17 - 2013-03-23,68
2013-03-24 - 2013-03-30,61
2013-03-31 - 2013-04-06,59
2013-04-07 - 2013-04-13,76
2013-04-14 - 2013-04-20,87
2013-04-21 - 2013-04-27,100
2013-04-28 - 2013-05-04,92
2013-05-05 - 2013-05-11,87
2013-05-12 - 2013-05-18,82
2013-05-19 - 2013-05-25,70
2013-05-26 - 2013-06-01,57
2013-06-02 - 2013-06-08,47
2013-06-09 - 2013-06-15,28
2013-06-16 - 2013-06-22,22
2013-06-23 - 2013-06-29,20
2013-06-30 - 2013-07-06,18
2013-07-07 - 2013-07-13,19
2013-07-14 - 2013-07-20,21
2013-07-21 - 2013-07-27,21
2013-07-28 - 2013-08-03,19
2013-08-04 - 2013-08-10,17
2013-08-11 - 2013-08-17,22
2013-08-18 - 2013-08-24,24
2013-08-25 - 2013-08-31,29
2013-09-01 - 2013-09-07,32
2013-09-08 - 2013-09-14,39
2013-09-15 - 2013-09-21,47
2013-09-22 - 2013-09-28,55
2013-09-29 - 2013-10-05,52
2013-10-06 - 2013-10-12,62
2013-10-13 - 2013-10-19,57
2013-10-20 - 2013-10-26,66
2013-10-27 - 2013-11-02,64
2013-11-03 - 2013-11-09,68
2013-11-10 - 2013-11-16,73
2013-11-17 - 2013-11-23,78
2013-11-24 - 2013-11-30,40
2013-12-01 - 2013-12-07,71
2013-12-08 - 2013-12-14,66
2013-12-15 - 2013-12-21,51
2013-12-22 - 2013-12-28,10
2013-12-29 - 2014-01-04,17
2014-01-05 - 2014-01-11,51
2014-01-12 - 2014-01-18,66
2014-01-19 - 2014-01-25,56
2014-01-26 - 2014-02-01,53
2014-02-02 - 2014-02-08,61
2014-02-09 - 2014-02-15,60
2014-02-16 - 2014-02-22,59
2014-02-23 - 2014-03-01,70


Top subregions for water pollution
Subregion,water pollution
Connecticut,100
Iowa,91
Hawaii,90
North Carolina,85
West Virginia,81
Maine,80
Wisconsin,79
Maryland,78
Idaho,75
Michigan,74
Indiana,74
New Hampshire,74
Georgia,74
Pennsylvania,67
South Carolina,66
Ohio,66
Kentucky,66
New Mexico,66
Virginia,62
New Jersey,62
Florida,59
Arizona,59
Alabama,58
Arkansas,58
Louisiana,56
Colorado,55
Mississippi,54
Minnesota,53
Kansas,52
Oregon,51
Washington,49
Utah,49
Tennessee,49
Texas,48
Illinois,46
California,46
New York,46
Missouri,45
Massachusetts,44
Oklahoma,44
District of Columbia,44
Nevada,42
Alaska,0
Delaware,0
Montana,0
North Dakota,0
Nebraska,0
Rhode Island,0
South Dakota,0
Vermont,0
Wyoming,0


Top metros for water pollution
Metro,water pollution
Atlanta GA,100
Philadelphia PA,96
Washington DC (Hagerstown MD),79
New York NY,75
Boston MA-Manchester NH,74
Chicago IL,67
San Francisco-Oakland-San Jose CA,65
Los Angeles CA,63
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Detroit MI,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Cleveland-Akron (Canton) OH,0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charlotte NC,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Miami-Ft. Lauderdale FL,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Orlando-Daytona Beach-Melbourne FL,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Tampa-St. Petersburg (Sarasota) FL,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Raleigh-Durham (Fayetteville) NC,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
St. Louis MO,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Minneapolis-St. Paul MN,0
Kansas City MO,0
Milwaukee WI,0
Houston TX,0
Springfield MO,0
New Orleans LA,0
Dallas-Ft. Worth TX,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Denver CO,0
Colorado Springs-Pueblo CO,0
Phoenix AZ,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Seattle-Tacoma WA,0
Portland OR,0
Bend OR,0
San Diego CA,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Sacramento-Stockton-Modesto CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for water pollution
City,water pollution
Honolulu,100
San Jose,68
Charlotte,50
Philadelphia,49
San Diego,47
Portland,46
Washington,43
Miami,41
San Antonio,39
Houston,39
Phoenix,39
Austin,36
Denver,35
Los Angeles,33
New York,32



Top searches for water pollution
pollution of water,100
pollution in water,85
what is pollution,35
air pollution,35
water pollution control,20
water pollution facts,20
pollution facts,20
water pollution effects,15
water pollution causes,15
water quality,10
water pollution definition,10
water pollution sources,10
pollution definition,10
ocean pollution,10
water pollution problems,10
clean water act,5
land pollution,5
point source pollution,5
types of pollution,5
water pollution articles,5
soil pollution,5
polluted water,5
nonpoint water pollution,5
water pollutants,5
definition of pollution,5
prevent water pollution,5
water pollution solutions,5
groundwater,5
water pollution china,5
groundwater pollution,5
water resources,5
nonpoint source pollution,5
water polution,5
water pollution prevention,5
surface water pollution,5
stop water pollution,5
polution,5
water conservation,5
water contamination,5
ground water pollution,5
chemical pollution,5
chemical water pollution,5
fresh water pollution,5
storm water pollution,5
thermal pollution,5
water pollution statistics,5
pollution in china,5
industrial water pollution,5
define water pollution,5
water pollution pictures,5



Rising searches for water pollution
nonpoint water pollution,+170%
definition of pollution,+130%
pollution definition,+120%
water pollution definition,+120%
what is pollution,+100%
point source pollution,+90%
water pollutants,+60%
water pollution sources,+60%
groundwater,+50%
pollution in water,+40%



