Web Search interest: influenza
United States Dec 2010 - Feb 2014

Interest over time
Week,influenza
2012-10-28 - 2012-11-03,17
2012-11-04 - 2012-11-10,18
2012-11-11 - 2012-11-17,21
2012-11-18 - 2012-11-24,17
2012-11-25 - 2012-12-01,24
2012-12-02 - 2012-12-08,33
2012-12-09 - 2012-12-15,33
2012-12-16 - 2012-12-22,40
2012-12-23 - 2012-12-29,43
2012-12-30 - 2013-01-05,54
2013-01-06 - 2013-01-12,100
2013-01-13 - 2013-01-19,81
2013-01-20 - 2013-01-26,59
2013-01-27 - 2013-02-02,47
2013-02-03 - 2013-02-09,38
2013-02-10 - 2013-02-16,32
2013-02-17 - 2013-02-23,28
2013-02-24 - 2013-03-02,27
2013-03-03 - 2013-03-09,25
2013-03-10 - 2013-03-16,23
2013-03-17 - 2013-03-23,20
2013-03-24 - 2013-03-30,20
2013-03-31 - 2013-04-06,20
2013-04-07 - 2013-04-13,18
2013-04-14 - 2013-04-20,17
2013-04-21 - 2013-04-27,17
2013-04-28 - 2013-05-04,15
2013-05-05 - 2013-05-11,13
2013-05-12 - 2013-05-18,11
2013-05-19 - 2013-05-25,10
2013-05-26 - 2013-06-01,10
2013-06-02 - 2013-06-08,9
2013-06-09 - 2013-06-15,9
2013-06-16 - 2013-06-22,8
2013-06-23 - 2013-06-29,7
2013-06-30 - 2013-07-06,7
2013-07-07 - 2013-07-13,7
2013-07-14 - 2013-07-20,8
2013-07-21 - 2013-07-27,7
2013-07-28 - 2013-08-03,7
2013-08-04 - 2013-08-10,7
2013-08-11 - 2013-08-17,8
2013-08-18 - 2013-08-24,10
2013-08-25 - 2013-08-31,12
2013-09-01 - 2013-09-07,14
2013-09-08 - 2013-09-14,16
2013-09-15 - 2013-09-21,18
2013-09-22 - 2013-09-28,20
2013-09-29 - 2013-10-05,21
2013-10-06 - 2013-10-12,20
2013-10-13 - 2013-10-19,22
2013-10-20 - 2013-10-26,22
2013-10-27 - 2013-11-02,20
2013-11-03 - 2013-11-09,20
2013-11-10 - 2013-11-16,21
2013-11-17 - 2013-11-23,20
2013-11-24 - 2013-11-30,15
2013-12-01 - 2013-12-07,21
2013-12-08 - 2013-12-14,23
2013-12-15 - 2013-12-21,28
2013-12-22 - 2013-12-28,32
2013-12-29 - 2014-01-04,42
2014-01-05 - 2014-01-11,50
2014-01-12 - 2014-01-18,51
2014-01-19 - 2014-01-25,44
2014-01-26 - 2014-02-01,39
2014-02-02 - 2014-02-08,32
2014-02-09 - 2014-02-15,28
2014-02-16 - 2014-02-22,25
2014-02-23 - 2014-03-01,24


Top subregions for influenza
Subregion,influenza
South Dakota,100
North Dakota,70
Nebraska,61
Iowa,55
Montana,49
Minnesota,46
Wyoming,45
Wisconsin,38
Kansas,37
Alaska,32
Idaho,31
Missouri,31
Maine,30
West Virginia,30
Indiana,28
Hawaii,27
Maryland,26
Utah,26
New Mexico,25
Michigan,25
Colorado,24
Arkansas,24
Vermont,23
Ohio,23
Illinois,23
Tennessee,23
Oklahoma,22
Arizona,21
Kentucky,21
Connecticut,21
Mississippi,21
Pennsylvania,20
Washington,20
Delaware,20
North Carolina,20
New Hampshire,20
Oregon,20
Louisiana,20
Rhode Island,20
Alabama,20
Florida,19
Virginia,19
Georgia,19
Texas,19
Massachusetts,19
District of Columbia,19
South Carolina,18
California,17
Nevada,17
New York,16
New Jersey,16


Top metros for influenza
Metro,influenza
Minneapolis-St. Paul MN,100
Milwaukee WI,79
Kansas City MO,73
St. Louis MO,66
Salt Lake City UT,64
Indianapolis IN,59
Denver CO,56
Baltimore MD,54
Columbus OH,54
Detroit MI,54
Raleigh-Durham (Fayetteville) NC,53
Pittsburgh PA,52
San Diego CA,50
Sacramento-Stockton-Modesto CA,50
Cleveland-Akron (Canton) OH,48
Nashville TN,48
Miami-Ft. Lauderdale FL,48
Phoenix AZ,47
Washington DC (Hagerstown MD),47
San Antonio TX,47
Chicago IL,46
Boston MA-Manchester NH,44
Portland OR,44
Tampa-St. Petersburg (Sarasota) FL,44
Atlanta GA,43
Seattle-Tacoma WA,43
Austin TX,42
Houston TX,41
Philadelphia PA,41
Orlando-Daytona Beach-Melbourne FL,40
Charlotte NC,39
Dallas-Ft. Worth TX,37
San Francisco-Oakland-San Jose CA,36
New York NY,35
Los Angeles CA,35
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for influenza
City,influenza
Omaha,100
Saint Paul,87
Madison,81
Baltimore,63
Minneapolis,58
St. Louis,56
Nashville,54
Pittsburgh,50
Miami,44
Denver,42
Columbus,42
San Diego,42
Phoenix,41
Portland,39
Atlanta,38



Top searches for influenza
influenza a,100
flu,60
influenza flu,55
influenza vaccine,50
influenza symptoms,50
influenza b,45
influenza virus,40
what is influenza,30
influenza cdc,20
symptoms of influenza,15
influenza 1918,15
influenza 2013,15
spanish influenza,15
influenza a symptoms,15
pandemic influenza,15
pandemic,10
influenza treatment,10
influenza a virus,10
influenza type a,10
flu vaccine,10
influenza 2012,10
h1n1,10
h1n1 influenza,10
influenza pneumonia,10
influenza shot,10
avian influenza,10
influenza vaccination,10
influenza epidemic,10
influenza test,10
influenza of 1918,5
influenza contagious,5
tamiflu,5
sintomas influenza,5
influenza b symptoms,5
canine influenza,5
influenza definition,5
type b influenza,5
influenza deaths,5
influenza incubation period,5
symptoms for influenza,5
sintomas de influenza,5
influenza outbreak,5
cdc influenza vaccine,5
treatment for influenza,5
influenza in children,5
1918 influenza pandemic,5
vis influenza,5
icd 9 influenza,5
influenza map,5
cdc flu,5



Rising searches for influenza
influenza 2012,Breakout
influenza 2013,Breakout
influenza a symptoms,+180%
influenza contagious,+180%
influenza b,+120%
what is influenza,+120%
influenza symptoms,+90%
symptoms of influenza,+90%
influenza pneumonia,+70%
influenza shot,+70%



