Web Search interest: malaria
United States Dec 2010 - Feb 2014

Interest over time
Week,malaria
2013-02-24 - 2013-03-02,53
2013-03-03 - 2013-03-09,55
2013-03-10 - 2013-03-16,56
2013-03-17 - 2013-03-23,56
2013-03-24 - 2013-03-30,47
2013-03-31 - 2013-04-06,53
2013-04-07 - 2013-04-13,56
2013-04-14 - 2013-04-20,57
2013-04-21 - 2013-04-27,93
2013-04-28 - 2013-05-04,71
2013-05-05 - 2013-05-11,67
2013-05-12 - 2013-05-18,60
2013-05-19 - 2013-05-25,58
2013-05-26 - 2013-06-01,52
2013-06-02 - 2013-06-08,49
2013-06-09 - 2013-06-15,46
2013-06-16 - 2013-06-22,44
2013-06-23 - 2013-06-29,46
2013-06-30 - 2013-07-06,40
2013-07-07 - 2013-07-13,44
2013-07-14 - 2013-07-20,45
2013-07-21 - 2013-07-27,43
2013-07-28 - 2013-08-03,48
2013-08-04 - 2013-08-10,58
2013-08-11 - 2013-08-17,45
2013-08-18 - 2013-08-24,42
2013-08-25 - 2013-08-31,43
2013-09-01 - 2013-09-07,45
2013-09-08 - 2013-09-14,48
2013-09-15 - 2013-09-21,48
2013-09-22 - 2013-09-28,50
2013-09-29 - 2013-10-05,50
2013-10-06 - 2013-10-12,53
2013-10-13 - 2013-10-19,51
2013-10-20 - 2013-10-26,52
2013-10-27 - 2013-11-02,54
2013-11-03 - 2013-11-09,54
2013-11-10 - 2013-11-16,52
2013-11-17 - 2013-11-23,54
2013-11-24 - 2013-11-30,40
2013-12-01 - 2013-12-07,54
2013-12-08 - 2013-12-14,52
2013-12-15 - 2013-12-21,44
2013-12-22 - 2013-12-28,31
2013-12-29 - 2014-01-04,31
2014-01-05 - 2014-01-11,41
2014-01-12 - 2014-01-18,47
2014-01-19 - 2014-01-25,44
2014-01-26 - 2014-02-01,48
2014-02-02 - 2014-02-08,48
2014-02-09 - 2014-02-15,53
2014-02-16 - 2014-02-22,50
2014-02-23 - 2014-03-01,57


Top subregions for malaria
Subregion,malaria
District of Columbia,100
Maryland,88
Vermont,82
Montana,71
North Carolina,67
Washington,67
Oregon,66
Alaska,66
Massachusetts,66
North Dakota,65
South Dakota,64
Hawaii,63
New Mexico,63
Iowa,62
Connecticut,62
Maine,62
Idaho,61
Virginia,61
Colorado,59
Indiana,59
Minnesota,59
Rhode Island,59
Pennsylvania,58
New York,58
Wisconsin,57
New Hampshire,57
Utah,57
West Virginia,56
Tennessee,56
Delaware,56
Georgia,56
New Jersey,55
South Carolina,54
Missouri,54
Arkansas,52
Arizona,52
Nebraska,52
Kansas,52
Michigan,51
Louisiana,51
Ohio,51
California,51
Alabama,50
Mississippi,50
Oklahoma,50
Illinois,49
Kentucky,49
Florida,48
Texas,48
Nevada,44
Wyoming,0


Top metros for malaria
Metro,malaria
Raleigh-Durham (Fayetteville) NC,100
Washington DC (Hagerstown MD),98
Baltimore MD,88
Seattle-Tacoma WA,80
Boston MA-Manchester NH,75
Portland OR,75
Hartford & New Haven CT,71
Philadelphia PA,69
Denver CO,69
Minneapolis-St. Paul MN,69
New York NY,67
San Francisco-Oakland-San Jose CA,67
Sacramento-Stockton-Modesto CA,66
San Diego CA,65
Atlanta GA,64
Charlotte NC,63
Houston TX,59
St. Louis MO,58
Miami-Ft. Lauderdale FL,58
Phoenix AZ,58
Cleveland-Akron (Canton) OH,57
Chicago IL,56
Detroit MI,55
Tampa-St. Petersburg (Sarasota) FL,54
Austin TX,54
Orlando-Daytona Beach-Melbourne FL,52
Los Angeles CA,51
Dallas-Ft. Worth TX,50
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Kansas City MO,0
Milwaukee WI,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for malaria
City,malaria
Cambridge,100
Baltimore,99
Arlington,83
Washington,75
Sheridan,60
Seattle,57
Boston,54
Nashville,50
Portland,47
Philadelphia,46
San Diego,46
Minneapolis,45
New York,44
Columbus,44
San Jose,43



Top searches for malaria
symptoms malaria,100
what is malaria,70
malaria disease,40
malaria treatment,40
malaria vaccine,35
symptoms of malaria,35
cdc malaria,30
malaria pills,30
malaria in africa,25
malaria prophylaxis,25
malaria mosquito,25
sickle cell malaria,25
sickle cell,25
malaria map,25
who malaria,20
malaria prevention,20
malaria virus,15
malaria medication,15
plasmodium,15
yellow fever,15
malaria parasite,15
doxycycline malaria,15
what causes malaria,15
causes of malaria,15
sickle cell anemia,15
malarone,15
malaria cycle,15
dengue,15
malaria definition,10
typhoid,10
malaria medicine,10
malaria cure,10
malaria drugs,10
treatment for malaria,10
anti malaria,10
treatment of malaria,10
malaria drug,10
malaria life cycle,10
malaria history,10
cause of malaria,10
falciparum malaria,10
effects of malaria,10
malaria no more,10
dengue fever,10
malaria facts,10
malaria deaths,10
malaria contagious,10
ddt,10
malaria nets,10
malaria research,5



Rising searches for malaria
what is malaria,+90%
malaria definition,+80%
what causes malaria,+70%
malaria parasite,+50%
symptoms of malaria,+50%
causes of malaria,+40%
malaria cure,+40%
malaria pills,+40%
malaria vaccine,+40%
malaria virus,+40%



