Web Search interest: malaria vaccine
United States Dec 2010 - Feb 2014

Interest over time
Week,malaria vaccine
2013-12-22 - 2013-12-28,16
2013-12-29 - 2014-01-04,18
2014-01-05 - 2014-01-11,14
2014-01-12 - 2014-01-18,21
2014-01-19 - 2014-01-25,21
2014-01-26 - 2014-02-01,19
2014-02-02 - 2014-02-08,17
2014-02-09 - 2014-02-15,21
2014-02-16 - 2014-02-22,21
2014-02-23 - 2014-03-01,24


Top subregions for malaria vaccine
Subregion,malaria vaccine
Maryland,100
Pennsylvania,46
New York,37
California,35
Florida,29
Texas,28
Alaska,0
Alabama,0
Arkansas,0
Arizona,0
Colorado,0
Connecticut,0
District of Columbia,0
Delaware,0
Georgia,0
Hawaii,0
Iowa,0
Idaho,0
Illinois,0
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Massachusetts,0
Maine,0
Michigan,0
Minnesota,0
Missouri,0
Mississippi,0
Montana,0
North Carolina,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Jersey,0
New Mexico,0
Nevada,0
Ohio,0
Oklahoma,0
Oregon,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Utah,0
Virginia,0
Vermont,0
Washington,0
Wisconsin,0
West Virginia,0
Wyoming,0




Top cities for malaria vaccine
City,malaria vaccine
New York,100



Top searches for malaria vaccine
vaccine for malaria,100
typhoid vaccine,45
yellow fever vaccine,35
malaria vaccine cdc,30
what is malaria,25
malaria pills,25
malaria symptoms,25
malaria vaccine cost,20



Rising searches for malaria vaccine
malaria symptoms,+100%
malaria vaccine cdc,+80%
malaria pills,+70%
what is malaria,+70%
vaccine for malaria,+50%
yellow fever vaccine,+50%
malaria vaccine cost,+40%



