Web Search interest: MMR vaccine
United States Nov 2010 - Mar 2014

Interest over time
Week,MMR vaccine
2012-11-04 - 2012-11-10,39
2012-11-11 - 2012-11-17,45
2012-11-18 - 2012-11-24,34
2012-11-25 - 2012-12-01,43
2012-12-02 - 2012-12-08,50
2012-12-09 - 2012-12-15,41
2012-12-16 - 2012-12-22,37
2012-12-23 - 2012-12-29,26
2012-12-30 - 2013-01-05,32
2013-01-06 - 2013-01-12,46
2013-01-13 - 2013-01-19,53
2013-01-20 - 2013-01-26,45
2013-01-27 - 2013-02-02,45
2013-02-03 - 2013-02-09,43
2013-02-10 - 2013-02-16,41
2013-02-17 - 2013-02-23,43
2013-02-24 - 2013-03-02,43
2013-03-03 - 2013-03-09,42
2013-03-10 - 2013-03-16,45
2013-03-17 - 2013-03-23,44
2013-03-24 - 2013-03-30,42
2013-03-31 - 2013-04-06,51
2013-04-07 - 2013-04-13,51
2013-04-14 - 2013-04-20,47
2013-04-21 - 2013-04-27,52
2013-04-28 - 2013-05-04,56
2013-05-05 - 2013-05-11,54
2013-05-12 - 2013-05-18,53
2013-05-19 - 2013-05-25,54
2013-05-26 - 2013-06-01,50
2013-06-02 - 2013-06-08,58
2013-06-09 - 2013-06-15,61
2013-06-16 - 2013-06-22,54
2013-06-23 - 2013-06-29,56
2013-06-30 - 2013-07-06,52
2013-07-07 - 2013-07-13,59
2013-07-14 - 2013-07-20,59
2013-07-21 - 2013-07-27,58
2013-07-28 - 2013-08-03,100
2013-08-04 - 2013-08-10,97
2013-08-11 - 2013-08-17,87
2013-08-18 - 2013-08-24,78
2013-08-25 - 2013-08-31,72
2013-09-01 - 2013-09-07,70
2013-09-08 - 2013-09-14,69
2013-09-15 - 2013-09-21,67
2013-09-22 - 2013-09-28,63
2013-09-29 - 2013-10-05,59
2013-10-06 - 2013-10-12,55
2013-10-13 - 2013-10-19,61
2013-10-20 - 2013-10-26,58
2013-10-27 - 2013-11-02,60
2013-11-03 - 2013-11-09,70
2013-11-10 - 2013-11-16,78
2013-11-17 - 2013-11-23,77
2013-11-24 - 2013-11-30,54
2013-12-01 - 2013-12-07,55
2013-12-08 - 2013-12-14,53
2013-12-15 - 2013-12-21,53
2013-12-22 - 2013-12-28,44
2013-12-29 - 2014-01-04,52
2014-01-05 - 2014-01-11,61
2014-01-12 - 2014-01-18,67
2014-01-19 - 2014-01-25,65
2014-01-26 - 2014-02-01,61
2014-02-02 - 2014-02-08,54
2014-02-09 - 2014-02-15,54
2014-02-16 - 2014-02-22,56
2014-02-23 - 2014-03-01,63
2014-03-02 - 2014-03-08,59
2014-03-09 - 2014-03-15,71
2014-03-16 - 2014-03-22,65
2014-03-23 - 2014-03-29,78
2014-03-30 - 2014-04-05,71


Top subregions for MMR vaccine
Subregion,MMR vaccine
Hawaii,100
New Jersey,81
Louisiana,80
Arizona,79
Pennsylvania,78
Arkansas,73
Maine,71
Massachusetts,71
Rhode Island,70
New York,69
Tennessee,68
West Virginia,68
Oklahoma,67
Maryland,66
Connecticut,66
Indiana,66
Idaho,65
Utah,63
Kentucky,63
Michigan,63
Nevada,63
Minnesota,62
Washington,62
Iowa,61
Ohio,60
California,60
New Mexico,59
Nebraska,59
New Hampshire,59
Texas,59
Wisconsin,58
Virginia,58
Kansas,57
Florida,57
Colorado,57
Alabama,57
District of Columbia,57
Oregon,56
Missouri,56
Mississippi,55
North Carolina,54
South Carolina,54
Illinois,54
Georgia,51
Alaska,0
Delaware,0
Montana,0
North Dakota,0
South Dakota,0
Vermont,0
Wyoming,0


Top metros for MMR vaccine
Metro,MMR vaccine
Philadelphia PA,100
Phoenix AZ,81
Orlando-Daytona Beach-Melbourne FL,81
Boston MA-Manchester NH,80
New York NY,78
Minneapolis-St. Paul MN,75
Houston TX,73
Detroit MI,72
Denver CO,68
Seattle-Tacoma WA,66
Dallas-Ft. Worth TX,66
Los Angeles CA,65
Washington DC (Hagerstown MD),65
Miami-Ft. Lauderdale FL,64
San Francisco-Oakland-San Jose CA,64
Chicago IL,58
Atlanta GA,53
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Cleveland-Akron (Canton) OH,0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charlotte NC,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Tampa-St. Petersburg (Sarasota) FL,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Raleigh-Durham (Fayetteville) NC,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
St. Louis MO,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Kansas City MO,0
Milwaukee WI,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Portland OR,0
Bend OR,0
San Diego CA,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Sacramento-Stockton-Modesto CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for MMR vaccine
City,MMR vaccine
Philadelphia,100
San Jose,90
Phoenix,88
Portland,88
Columbus,88
Boston,87
New York,85
San Diego,85
Austin,81
Minneapolis,77
Houston,76
Seattle,74
Washington,71
San Francisco,69
Miami,68



Top searches for MMR vaccine
mmr,100
mmr vaccine,35
what is mmr,5
mmr shot,5
mmr side effects,5
varicella,5
mmr schedule,5
mmr vaccines,5
measles,5
mmr vaccination,5
mmr immunization,5
mmr vaccine schedule,5
vaccine schedule,5
mmr vaccine autism,5
mmr shots,0
mmr test,0
mmr rash,0
titer,0
mmr titer,0
varicella vaccine,0
measles vaccine,0
dtap,0
rubella,0
tdap,0
mmr fever,0
hib,0
mmr and autism,0
mumps,0
mmr reaction,0
cdc mmr,0
lol mmr,0
mmr vaccine rash,0
mmr booster,0
dtap vaccine,0
hib vaccine,0
tdap vaccine,0
mmr manheim,0
ipv,0
rubella vaccine,0
mmr pregnancy,0
mmr symptoms,0
mmr vaccine fever,0
wow mmr,0
mmr vaccine adults,0
mumps vaccine,0
chicken pox vaccine,0
polio vaccine,0
mmr immunizations,0
mmr vaccine reaction,0
ipv vaccine,0



Rising searches for MMR vaccine
lol mmr,Breakout
tdap vaccine,+180%
tdap,+150%
wow mmr,+150%
what is mmr,+100%
mmr vaccine adults,+80%
mmr live vaccine,+70%
dtap vaccine,+50%
ipv vaccine,+50%
mmr titer,+50%



