Web Search interest: q fever
United States Dec 2010 - Feb 2014

Interest over time
Week,q fever
2013-05-12 - 2013-05-18,47
2013-05-19 - 2013-05-25,41
2013-05-26 - 2013-06-01,50
2013-06-02 - 2013-06-08,35
2013-06-09 - 2013-06-15,54
2013-06-16 - 2013-06-22,47
2013-06-23 - 2013-06-29,43
2013-06-30 - 2013-07-06,41
2013-07-07 - 2013-07-13,48
2013-07-14 - 2013-07-20,32
2013-07-21 - 2013-07-27,45
2013-07-28 - 2013-08-03,46
2013-08-04 - 2013-08-10,38
2013-08-11 - 2013-08-17,43
2013-08-18 - 2013-08-24,48
2013-08-25 - 2013-08-31,37
2013-09-01 - 2013-09-07,38
2013-09-08 - 2013-09-14,37
2013-09-15 - 2013-09-21,35
2013-09-22 - 2013-09-28,54
2013-09-29 - 2013-10-05,39
2013-10-06 - 2013-10-12,28
2013-10-13 - 2013-10-19,40
2013-10-20 - 2013-10-26,48
2013-10-27 - 2013-11-02,39
2013-11-03 - 2013-11-09,42
2013-11-10 - 2013-11-16,51
2013-11-17 - 2013-11-23,54
2013-11-24 - 2013-11-30,32
2013-12-01 - 2013-12-07,41
2013-12-08 - 2013-12-14,46
2013-12-15 - 2013-12-21,47
2013-12-22 - 2013-12-28,33
2013-12-29 - 2014-01-04,34
2014-01-05 - 2014-01-11,35
2014-01-12 - 2014-01-18,37
2014-01-19 - 2014-01-25,30
2014-01-26 - 2014-02-01,35
2014-02-02 - 2014-02-08,35
2014-02-09 - 2014-02-15,33
2014-02-16 - 2014-02-22,43
2014-02-23 - 2014-03-01,48


Top subregions for q fever
Subregion,q fever
Texas,100
Florida,86
California,86
New York,86
Alaska,0
Alabama,0
Arkansas,0
Arizona,0
Colorado,0
Connecticut,0
District of Columbia,0
Delaware,0
Georgia,0
Hawaii,0
Iowa,0
Idaho,0
Illinois,0
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Massachusetts,0
Maryland,0
Maine,0
Michigan,0
Minnesota,0
Missouri,0
Mississippi,0
Montana,0
North Carolina,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Jersey,0
New Mexico,0
Nevada,0
Ohio,0
Oklahoma,0
Oregon,0
Pennsylvania,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Utah,0
Virginia,0
Vermont,0
Washington,0
Wisconsin,0
West Virginia,0
Wyoming,0




Top cities for q fever
City,q fever
New York,100



Top searches for q fever
q fever symptoms,100






