Web Search interest: typhoid
United States Dec 2010 - Feb 2014

Interest over time
Week,typhoid
2012-01-08 - 2012-01-14,34
2012-01-15 - 2012-01-21,30
2012-01-22 - 2012-01-28,33
2012-01-29 - 2012-02-04,100
2012-02-05 - 2012-02-11,39
2012-02-12 - 2012-02-18,31
2012-02-19 - 2012-02-25,35
2012-02-26 - 2012-03-03,33
2012-03-04 - 2012-03-10,36
2012-03-11 - 2012-03-17,33
2012-03-18 - 2012-03-24,33
2012-03-25 - 2012-03-31,35
2012-04-01 - 2012-04-07,32
2012-04-08 - 2012-04-14,33
2012-04-15 - 2012-04-21,33
2012-04-22 - 2012-04-28,41
2012-04-29 - 2012-05-05,40
2012-05-06 - 2012-05-12,37
2012-05-13 - 2012-05-19,39
2012-05-20 - 2012-05-26,38
2012-05-27 - 2012-06-02,46
2012-06-03 - 2012-06-09,36
2012-06-10 - 2012-06-16,31
2012-06-17 - 2012-06-23,31
2012-06-24 - 2012-06-30,28
2012-07-01 - 2012-07-07,27
2012-07-08 - 2012-07-14,28
2012-07-15 - 2012-07-21,29
2012-07-22 - 2012-07-28,28
2012-07-29 - 2012-08-04,24
2012-08-05 - 2012-08-11,24
2012-08-12 - 2012-08-18,26
2012-08-19 - 2012-08-25,36
2012-08-26 - 2012-09-01,28
2012-09-02 - 2012-09-08,28
2012-09-09 - 2012-09-15,31
2012-09-16 - 2012-09-22,29
2012-09-23 - 2012-09-29,30
2012-09-30 - 2012-10-06,31
2012-10-07 - 2012-10-13,33
2012-10-14 - 2012-10-20,43
2012-10-21 - 2012-10-27,35
2012-10-28 - 2012-11-03,33
2012-11-04 - 2012-11-10,34
2012-11-11 - 2012-11-17,33
2012-11-18 - 2012-11-24,26
2012-11-25 - 2012-12-01,31
2012-12-02 - 2012-12-08,35
2012-12-09 - 2012-12-15,36
2012-12-16 - 2012-12-22,30
2012-12-23 - 2012-12-29,40
2012-12-30 - 2013-01-05,31
2013-01-06 - 2013-01-12,37
2013-01-13 - 2013-01-19,36
2013-01-20 - 2013-01-26,33
2013-01-27 - 2013-02-02,35
2013-02-03 - 2013-02-09,62
2013-02-10 - 2013-02-16,34
2013-02-17 - 2013-02-23,35
2013-02-24 - 2013-03-02,35
2013-03-03 - 2013-03-09,35
2013-03-10 - 2013-03-16,33
2013-03-17 - 2013-03-23,37
2013-03-24 - 2013-03-30,34
2013-03-31 - 2013-04-06,32
2013-04-07 - 2013-04-13,35
2013-04-14 - 2013-04-20,33
2013-04-21 - 2013-04-27,38
2013-04-28 - 2013-05-04,58
2013-05-05 - 2013-05-11,44
2013-05-12 - 2013-05-18,37
2013-05-19 - 2013-05-25,34
2013-05-26 - 2013-06-01,32
2013-06-02 - 2013-06-08,37
2013-06-09 - 2013-06-15,37
2013-06-16 - 2013-06-22,34
2013-06-23 - 2013-06-29,38
2013-06-30 - 2013-07-06,38
2013-07-07 - 2013-07-13,35
2013-07-14 - 2013-07-20,37
2013-07-21 - 2013-07-27,33
2013-07-28 - 2013-08-03,35
2013-08-04 - 2013-08-10,29
2013-08-11 - 2013-08-17,46
2013-08-18 - 2013-08-24,36
2013-08-25 - 2013-08-31,39
2013-09-01 - 2013-09-07,32
2013-09-08 - 2013-09-14,31
2013-09-15 - 2013-09-21,36
2013-09-22 - 2013-09-28,43
2013-09-29 - 2013-10-05,43
2013-10-06 - 2013-10-12,40
2013-10-13 - 2013-10-19,40
2013-10-20 - 2013-10-26,37
2013-10-27 - 2013-11-02,37
2013-11-03 - 2013-11-09,43
2013-11-10 - 2013-11-16,43
2013-11-17 - 2013-11-23,43
2013-11-24 - 2013-11-30,32
2013-12-01 - 2013-12-07,39
2013-12-08 - 2013-12-14,38
2013-12-15 - 2013-12-21,32
2013-12-22 - 2013-12-28,31
2013-12-29 - 2014-01-04,28
2014-01-05 - 2014-01-11,34
2014-01-12 - 2014-01-18,35
2014-01-19 - 2014-01-25,58
2014-01-26 - 2014-02-01,46
2014-02-02 - 2014-02-08,47
2014-02-09 - 2014-02-15,37
2014-02-16 - 2014-02-22,34
2014-02-23 - 2014-03-01,42


Top subregions for typhoid
Subregion,typhoid
Indiana,100
New Hampshire,92
Maine,90
Connecticut,90
Idaho,87
District of Columbia,86
Rhode Island,85
Washington,84
Arkansas,82
Maryland,81
Utah,81
Kansas,79
Virginia,78
North Carolina,78
Colorado,77
Iowa,76
Wisconsin,75
Oregon,75
Massachusetts,74
Oklahoma,74
Minnesota,74
Tennessee,73
Pennsylvania,73
California,73
Missouri,73
Arizona,72
New Mexico,72
Illinois,71
New York,71
Louisiana,71
Kentucky,71
Nebraska,70
Nevada,69
Hawaii,69
South Carolina,69
New Jersey,68
Alabama,66
Michigan,66
Ohio,66
Georgia,66
Mississippi,65
Texas,64
Florida,55
Alaska,0
Delaware,0
Montana,0
North Dakota,0
South Dakota,0
Vermont,0
West Virginia,0
Wyoming,0


Top metros for typhoid
Metro,typhoid
San Francisco-Oakland-San Jose CA,100
Seattle-Tacoma WA,94
Washington DC (Hagerstown MD),92
Boston MA-Manchester NH,82
Minneapolis-St. Paul MN,81
Philadelphia PA,80
Chicago IL,78
New York NY,76
Atlanta GA,74
Los Angeles CA,69
Dallas-Ft. Worth TX,68
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Detroit MI,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Cleveland-Akron (Canton) OH,0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charlotte NC,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Miami-Ft. Lauderdale FL,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Orlando-Daytona Beach-Melbourne FL,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Tampa-St. Petersburg (Sarasota) FL,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Raleigh-Durham (Fayetteville) NC,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
St. Louis MO,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Kansas City MO,0
Milwaukee WI,0
Houston TX,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Denver CO,0
Colorado Springs-Pueblo CO,0
Phoenix AZ,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Portland OR,0
Bend OR,0
San Diego CA,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Sacramento-Stockton-Modesto CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for typhoid
City,typhoid
San Francisco,100
Indianapolis,99
San Jose,97
Portland,96
Seattle,95
Washington,94
San Diego,89
Boston,85
Austin,85
Minneapolis,82
Denver,80
Philadelphia,79
New York,78
St. Louis,77
Phoenix,74



Top searches for typhoid
typhoid fever,100
typhoid mary,80
typhoid vaccine,55
typhoid symptoms,20
what is typhoid,20
typhoid fever is,15
typhoid fever symptoms,10
typhoid fever vaccine,10
typhoid shot,10
typhoid disease,10
yellow fever,10
typhus,5
cdc typhoid,5
cholera,5
typhoid vaccination,5
symptoms of typhoid,5
salmonella typhoid,5
typhoid treatment,5
typhoid pills,5
typhoid causes,5
yellow fever vaccine,5
hepatitis a vaccine,5
typhoid immunization,5
cdc typhoid vaccine,5
typhoid shots,5
typhoid definition,5
typhoid bacteria,5
typhus fever,5
typhoid fever causes,5
typhoid fever treatment,5
diphtheria,5
typhoid fever history,5
malaria vaccine,5
typhoid vaccine cost,5
vivotif,0
causes of typhoid,0
typhoid wiki,0
what causes typhoid,0
cdc travel,0
mary mallon,0
hep a vaccine,0
salmonella typhi,0
typhoid mary mallon,0
treatment for typhoid,0
typhoid fever cause,0
typhoid pill,0
treatment of typhoid,0
typhoid contagious,0



Rising searches for typhoid
typhoid definition,+100%
what is typhoid,+60%
typhoid mary,+50%
typhoid pill,+50%
typhoid pills,+50%
what causes typhoid,+50%
hep a vaccine,+40%
typhoid contagious,+40%
typhoid fever is,+40%
typhoid vaccine cost,+40%



