Web Search interest: hepatitis a symptoms
United States Dec 2010 - Feb 2014

Interest over time
Week,hepatitis a symptoms
City,hepatitis a symptoms
Los Angeles,100
Chicago,91
New York,78



Top searches for hepatitis a symptoms
symptoms of hepatitis,100
hepatitis c symptoms,70
hepatitis b,65
hepatitis b symptoms,65
what is hepatitis,30
hepatitis a vaccine,20
hep a symptoms,15
hep c symptoms,5



Rising searches for hepatitis a symptoms
hep a symptoms,+150%
hep c symptoms,+60%
what is hepatitis,+60%
hepatitis a vaccine,+50%
hepatitis b,+40%
hepatitis b symptoms,+40%
hepatitis c symptoms,+40%



