Web Search interest: symptoms of hepatitis a
United States Dec 2010 - Feb 2014

Interest over time
Week,symptoms of hepatitis a
2012-09-09 - 2012-09-15,19
2012-09-16 - 2012-09-22,19
2012-09-23 - 2012-09-29,21
2012-09-30 - 2012-10-06,25
2012-10-07 - 2012-10-13,19
2012-10-14 - 2012-10-20,19
2012-10-21 - 2012-10-27,19
2012-10-28 - 2012-11-03,23
2012-11-04 - 2012-11-10,18
2012-11-11 - 2012-11-17,22
2012-11-18 - 2012-11-24,22
2012-11-25 - 2012-12-01,22
2012-12-02 - 2012-12-08,22
2012-12-09 - 2012-12-15,19
2012-12-16 - 2012-12-22,17
2012-12-23 - 2012-12-29,17
2012-12-30 - 2013-01-05,17
2013-01-06 - 2013-01-12,18
2013-01-13 - 2013-01-19,18
2013-01-20 - 2013-01-26,17
2013-01-27 - 2013-02-02,19
2013-02-03 - 2013-02-09,19
2013-02-10 - 2013-02-16,18
2013-02-17 - 2013-02-23,18
2013-02-24 - 2013-03-02,20
2013-03-03 - 2013-03-09,19
2013-03-10 - 2013-03-16,21
2013-03-17 - 2013-03-23,19
2013-03-24 - 2013-03-30,21
2013-03-31 - 2013-04-06,20
2013-04-07 - 2013-04-13,21
2013-04-14 - 2013-04-20,23
2013-04-21 - 2013-04-27,21
2013-04-28 - 2013-05-04,22
2013-05-05 - 2013-05-11,23
2013-05-12 - 2013-05-18,20
2013-05-19 - 2013-05-25,21
2013-05-26 - 2013-06-01,38
2013-06-02 - 2013-06-08,100
2013-06-09 - 2013-06-15,37
2013-06-16 - 2013-06-22,21
2013-06-23 - 2013-06-29,22
2013-06-30 - 2013-07-06,23
2013-07-07 - 2013-07-13,18
2013-07-14 - 2013-07-20,20
2013-07-21 - 2013-07-27,23
2013-07-28 - 2013-08-03,20
2013-08-04 - 2013-08-10,19
2013-08-11 - 2013-08-17,20
2013-08-18 - 2013-08-24,24
2013-08-25 - 2013-08-31,22
2013-09-01 - 2013-09-07,22
2013-09-08 - 2013-09-14,19
2013-09-15 - 2013-09-21,26
2013-09-22 - 2013-09-28,25
2013-09-29 - 2013-10-05,21
2013-10-06 - 2013-10-12,18
2013-10-13 - 2013-10-19,18
2013-10-20 - 2013-10-26,21
2013-10-27 - 2013-11-02,18
2013-11-03 - 2013-11-09,20
2013-11-10 - 2013-11-16,23
2013-11-17 - 2013-11-23,22
2013-11-24 - 2013-11-30,16
2013-12-01 - 2013-12-07,24
2013-12-08 - 2013-12-14,19
2013-12-15 - 2013-12-21,18
2013-12-22 - 2013-12-28,18
2013-12-29 - 2014-01-04,18
2014-01-05 - 2014-01-11,19
2014-01-12 - 2014-01-18,25
2014-01-19 - 2014-01-25,16
2014-01-26 - 2014-02-01,17
2014-02-02 - 2014-02-08,19
2014-02-09 - 2014-02-15,20
2014-02-16 - 2014-02-22,21
2014-02-23 - 2014-03-01,23


Top subregions for symptoms of hepatitis a
Subregion,symptoms of hepatitis a
Florida,100
Texas,84
California,79
New York,73
Alaska,0
Alabama,0
Arkansas,0
Arizona,0
Colorado,0
Connecticut,0
District of Columbia,0
Delaware,0
Georgia,0
Hawaii,0
Iowa,0
Idaho,0
Illinois,0
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Massachusetts,0
Maryland,0
Maine,0
Michigan,0
Minnesota,0
Missouri,0
Mississippi,0
Montana,0
North Carolina,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Jersey,0
New Mexico,0
Nevada,0
Ohio,0
Oklahoma,0
Oregon,0
Pennsylvania,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Utah,0
Virginia,0
Vermont,0
Washington,0
Wisconsin,0
West Virginia,0
Wyoming,0







Top searches for symptoms of hepatitis a
hepatitis c symptoms,100
hepatitis b symptoms,90
what is hepatitis,80
hepatitis a vaccine,20



Rising searches for symptoms of hepatitis a
what is hepatitis,+50%
hepatitis c symptoms,+40%



