"date","Typhoid_fever","Gastrointestinal_bleeding","Encephalitis","Oral_rehydration_therapy","Abdominal_pain","Fever","Salmonella_enterica_subsp._enterica","Typhoid_vaccine","Bradycardia","Malaise"
"2010-01-24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-01-25","2964.0","186.0","1560.0","488.0","1581.0","3895.0","0.0","59.0","1300.0","2240.0"
"2010-01-26","2958.0","215.0","1382.0","538.0","1459.0","3664.0","0.0","76.0","1396.0","2267.0"
"2010-01-27","2985.0","238.0","1392.0","501.0","1410.0","3643.0","0.0","66.0","1348.0","2203.0"
"2010-01-28","2667.0","217.0","1472.0","502.0","1388.0","3849.0","0.0","85.0","1251.0","2247.0"
"2010-01-29","2276.0","181.0","1417.0","469.0","1353.0","3349.0","0.0","64.0","1167.0","1990.0"
"2010-01-30","2122.0","106.0","1136.0","575.0","1294.0","2988.0","0.0","72.0","957.0","1684.0"
"2010-01-31","2369.0","137.0","1348.0","983.0","1306.0","3247.0","0.0","34.0","1117.0","1738.0"
"2010-02-01","3168.0","205.0","1534.0","1102.0","1449.0","3728.0","0.0","70.0","1388.0","2258.0"
"2010-02-02","2924.0","251.0","1540.0","2119.0","1568.0","3948.0","0.0","60.0","1406.0","2238.0"
"2010-02-03","3037.0","208.0","1615.0","2781.0","1348.0","3954.0","0.0","80.0","1488.0","2372.0"
"2010-02-04","3089.0","200.0","1643.0","2954.0","1535.0","4200.0","0.0","76.0","1573.0","2442.0"
"2010-02-05","2598.0","226.0","1456.0","3138.0","1571.0","3957.0","0.0","73.0","1340.0","1948.0"
"2010-02-06","2017.0","189.0","1162.0","3164.0","1339.0","3057.0","0.0","64.0","1143.0","1657.0"
"2010-02-07","2364.0","190.0","1202.0","3097.0","1230.0","3429.0","0.0","56.0","1130.0","1700.0"
"2010-02-08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-02-09","3071.0","222.0","1415.0","2983.0","1528.0","4164.0","0.0","90.0","1587.0","2207.0"
"2010-02-10","2958.0","208.0","1529.0","2980.0","1413.0","4068.0","0.0","80.0","1556.0","2006.0"
"2010-02-11","2619.0","203.0","1404.0","2964.0","1472.0","3868.0","0.0","67.0","1435.0","2059.0"
"2010-02-12","2510.0","192.0","1303.0","3034.0","1244.0","3373.0","0.0","55.0","1350.0","1812.0"
"2010-02-13","1962.0","101.0","1212.0","3052.0","1080.0","2857.0","0.0","36.0","933.0","1454.0"
"2010-02-14","2009.0","121.0","1155.0","3014.0","1098.0","2928.0","0.0","30.0","1065.0","1592.0"
"2010-02-15","2728.0","175.0","1378.0","3106.0","1397.0","3702.0","0.0","45.0","1442.0","1878.0"
"2010-02-16","2448.0","214.0","1447.0","2873.0","1445.0","3984.0","0.0","38.0","1470.0","2061.0"
"2010-02-17","2676.0","249.0","1494.0","2901.0","1355.0","4046.0","0.0","46.0","1370.0","2095.0"
"2010-02-18","2773.0","243.0","1621.0","3066.0","1281.0","4206.0","0.0","52.0","1448.0","2188.0"
"2010-02-19","2380.0","148.0","1392.0","2834.0","1198.0","3217.0","0.0","53.0","1208.0","1822.0"
"2010-02-20","2104.0","132.0","1175.0","3093.0","1119.0","3144.0","0.0","37.0","1085.0","1628.0"
"2010-02-21","2414.0","180.0","1606.0","3199.0","1317.0","3670.0","0.0","50.0","1159.0","1762.0"
"2010-02-22","3178.0","201.0","1877.0","3186.0","1654.0","4443.0","0.0","77.0","1567.0","2376.0"
"2010-02-23","0.0","205.0","1712.0","0.0","1500.0","4329.0","0.0","0.0","1527.0","0.0"
"2010-02-24","2672.0","227.0","1546.0","2825.0","1276.0","4010.0","0.0","58.0","1463.0","2254.0"
"2010-02-25","2480.0","206.0","1348.0","2564.0","1246.0","3397.0","0.0","56.0","1325.0","1845.0"
"2010-02-26","2366.0","170.0","1354.0","2722.0","1147.0","3547.0","0.0","56.0","1134.0","1703.0"
"2010-02-27","1937.0","130.0","1219.0","3143.0","1106.0","3217.0","0.0","52.0","1039.0","1547.0"
"2010-02-28","2093.0","392.0","1119.0","2894.0","1178.0","3334.0","0.0","25.0","1009.0","1576.0"
"2010-03-01","2433.0","268.0","1610.0","2770.0","1311.0","3846.0","0.0","67.0","1288.0","1894.0"
"2010-03-02","2891.0","236.0","1667.0","2853.0","1300.0","4035.0","0.0","56.0","1429.0","2019.0"
"2010-03-03","3005.0","221.0","1673.0","2892.0","1284.0","3935.0","0.0","48.0","1440.0","2179.0"
"2010-03-04","2993.0","213.0","1870.0","3060.0","1337.0","4155.0","0.0","45.0","1552.0","2146.0"
"2010-03-05","2843.0","222.0","1615.0","3044.0","1310.0","3836.0","0.0","53.0","1363.0","1988.0"
"2010-03-06","2085.0","168.0","1273.0","3071.0","1087.0","3297.0","0.0","45.0","1043.0","1494.0"
"2010-03-07","2280.0","165.0","1281.0","2881.0","1045.0","3401.0","0.0","34.0","1002.0","1591.0"
"2010-03-08","2935.0","234.0","1581.0","2944.0","1403.0","4158.0","0.0","55.0","1342.0","2000.0"
"2010-03-09","2958.0","249.0","1546.0","2893.0","1403.0","4107.0","0.0","72.0","1471.0","2172.0"
"2010-03-10","2821.0","207.0","1532.0","2772.0","1301.0","3996.0","0.0","53.0","1397.0","2024.0"
"2010-03-11","3003.0","226.0","1491.0","2772.0","1215.0","3801.0","0.0","66.0","1269.0","1996.0"
"2010-03-12","2863.0","211.0","1489.0","2836.0","1253.0","3794.0","0.0","71.0","1346.0","2021.0"
"2010-03-13","2488.0","168.0","1233.0","3089.0","1184.0","3368.0","0.0","51.0","1157.0","1609.0"
"2010-03-14","3171.0","142.0","1357.0","2808.0","1073.0","3091.0","0.0","58.0","1058.0","1578.0"
"2010-03-15","2901.0","219.0","1530.0","2875.0","1470.0","3884.0","0.0","55.0","1371.0","1990.0"
"2010-03-16","2918.0","254.0","1560.0","2859.0","1473.0","3955.0","0.0","71.0","1349.0","2016.0"
"2010-03-17","2990.0","233.0","1508.0","2851.0","1358.0","3943.0","0.0","60.0","1519.0","2024.0"
"2010-03-18","3028.0","218.0","1514.0","2900.0","1469.0","3889.0","0.0","57.0","1404.0","2095.0"
"2010-03-19","2642.0","207.0","1460.0","2909.0","1315.0","3512.0","0.0","69.0","1201.0","1865.0"
"2010-03-20","2192.0","180.0","1150.0","2916.0","1097.0","3118.0","0.0","52.0","953.0","1455.0"
"2010-03-21","2266.0","179.0","1217.0","2868.0","1279.0","3409.0","0.0","49.0","1090.0","1489.0"
"2010-03-22","2737.0","235.0","1579.0","2675.0","1429.0","3800.0","0.0","58.0","1343.0","1961.0"
"2010-03-23","2575.0","234.0","1588.0","2600.0","1362.0","3860.0","0.0","67.0","1581.0","2065.0"
"2010-03-24","2757.0","264.0","1537.0","2930.0","1443.0","3707.0","0.0","64.0","1512.0","1989.0"
"2010-03-25","2603.0","230.0","1539.0","2733.0","1362.0","3803.0","0.0","55.0","1412.0","1918.0"
"2010-03-26","2508.0","205.0","1447.0","2863.0","1297.0","3252.0","0.0","55.0","1170.0","1721.0"
"2010-03-27","2619.0","190.0","1184.0","3058.0","1202.0","3148.0","0.0","51.0","966.0","1472.0"
"2010-03-28","2149.0","143.0","1185.0","2812.0","1100.0","3114.0","0.0","41.0","1004.0","1526.0"
"2010-03-29","2664.0","243.0","1434.0","2745.0","1366.0","3766.0","0.0","55.0","1312.0","1955.0"
"2010-03-30","2491.0","247.0","1409.0","2689.0","1413.0","3712.0","0.0","63.0","1453.0","2063.0"
"2010-03-31","2482.0","245.0","1464.0","2834.0","1236.0","3641.0","0.0","68.0","1348.0","1951.0"
"2010-04-01","2146.0","263.0","1620.0","2896.0","1235.0","3356.0","0.0","73.0","1272.0","1761.0"
"2010-04-02","2062.0","199.0","1261.0","2882.0","1204.0","3198.0","0.0","51.0","1027.0","1516.0"
"2010-04-03","1878.0","170.0","1252.0","2955.0","1180.0","2881.0","0.0","48.0","944.0","1430.0"
"2010-04-04","1907.0","184.0","1085.0","3074.0","1124.0","3032.0","0.0","44.0","927.0","1514.0"
"2010-04-05","2284.0","193.0","1416.0","2802.0","1317.0","3391.0","0.0","46.0","1279.0","1839.0"
"2010-04-06","2456.0","242.0","1389.0","2597.0","1490.0","3588.0","0.0","62.0","1309.0","1809.0"
"2010-04-07","2307.0","309.0","1434.0","2632.0","1311.0","3581.0","0.0","63.0","1311.0","2002.0"
"2010-04-08","2465.0","223.0","1519.0","2750.0","1365.0","3558.0","0.0","67.0","1317.0","1860.0"
"2010-04-09","2202.0","201.0","1455.0","2829.0","1207.0","3371.0","0.0","62.0","1247.0","1860.0"
"2010-04-10","1819.0","140.0","1106.0","2805.0","1056.0","2752.0","0.0","64.0","907.0","1409.0"
"2010-04-11","1841.0","157.0","1199.0","2913.0","1162.0","3148.0","0.0","46.0","1027.0","1572.0"
"2010-04-12","2504.0","223.0","1381.0","2659.0","1304.0","3523.0","0.0","81.0","1286.0","1903.0"
"2010-04-13","2818.0","232.0","1586.0","2782.0","1357.0","3814.0","0.0","64.0","1455.0","2195.0"
"2010-04-14","2717.0","225.0","1680.0","2707.0","1226.0","3471.0","0.0","94.0","1418.0","2065.0"
"2010-04-15","2706.0","252.0","1666.0","2838.0","1281.0","3611.0","0.0","92.0","1403.0","2021.0"
"2010-04-16","2703.0","230.0","1634.0","2926.0","1375.0","3646.0","0.0","77.0","1367.0","2036.0"
"2010-04-17","5925.0","165.0","1372.0","3030.0","1194.0","3101.0","0.0","67.0","1122.0","1571.0"
"2010-04-18","2110.0","130.0","1226.0","2371.0","1100.0","3188.0","0.0","42.0","1014.0","1546.0"
"2010-04-19","2871.0","215.0","1512.0","532.0","1308.0","3618.0","0.0","82.0","1369.0","2053.0"
"2010-04-20","2827.0","238.0","1513.0","499.0","1256.0","3997.0","0.0","101.0","1554.0","2166.0"
"2010-04-21","2987.0","252.0","1624.0","717.0","1350.0","3973.0","0.0","92.0","1496.0","2122.0"
"2010-04-22","2887.0","251.0","1483.0","2703.0","1301.0","3746.0","0.0","86.0","1305.0","1992.0"
"2010-04-23","2743.0","222.0","1569.0","3018.0","1266.0","3866.0","0.0","68.0","1342.0","2024.0"
"2010-04-24","2505.0","165.0","1227.0","2997.0","1101.0","3389.0","0.0","71.0","1030.0","1538.0"
"2010-04-25","2753.0","208.0","1376.0","2888.0","1229.0","3659.0","0.0","62.0","1163.0","1707.0"
"2010-04-26","3290.0","265.0","1714.0","2773.0","1475.0","4697.0","0.0","84.0","1543.0","2319.0"
"2010-04-27","3095.0","249.0","1751.0","2823.0","1436.0","4560.0","0.0","116.0","1607.0","2484.0"
"2010-04-28","3165.0","252.0","1717.0","2784.0","1376.0","4455.0","0.0","86.0","1524.0","2370.0"
"2010-04-29","2882.0","196.0","1663.0","2738.0","1285.0","4041.0","0.0","95.0","1409.0","2175.0"
"2010-04-30","2717.0","253.0","1357.0","2931.0","1305.0","3770.0","0.0","106.0","1251.0","1929.0"
"2010-05-01","2209.0","150.0","1139.0","3007.0","1062.0","3140.0","0.0","59.0","932.0","1491.0"
"2010-05-02","2545.0","161.0","1489.0","3005.0","1195.0","3502.0","0.0","58.0","1096.0","1814.0"
"2010-05-03","3289.0","212.0","1700.0","3064.0","1213.0","4214.0","0.0","83.0","1350.0","2128.0"
"2010-05-04","3190.0","214.0","1683.0","2769.0","1494.0","4018.0","0.0","88.0","1507.0","2227.0"
"2010-05-05","3045.0","225.0","1548.0","1391.0","1328.0","3649.0","0.0","105.0","1415.0","2074.0"
"2010-05-06","3013.0","217.0","1565.0","2095.0","1304.0","3645.0","0.0","95.0","1409.0","2036.0"
"2010-05-07","3232.0","203.0","1489.0","2963.0","1273.0","3633.0","0.0","122.0","1288.0","1959.0"
"2010-05-08","2491.0","169.0","1079.0","2877.0","1131.0","3029.0","0.0","62.0","989.0","1423.0"
"2010-05-09","2487.0","157.0","1201.0","1143.0","1066.0","2813.0","0.0","60.0","1018.0","1476.0"
"2010-05-10","3394.0","237.0","1658.0","806.0","1394.0","3767.0","0.0","86.0","1381.0","2170.0"
"2010-05-11","3039.0","228.0","1573.0","681.0","1303.0","3493.0","0.0","86.0","1415.0","1950.0"
"2010-05-12","2884.0","236.0","1745.0","519.0","1208.0","3438.0","0.0","108.0","1403.0","2000.0"
"2010-05-13","2438.0","175.0","1218.0","381.0","1080.0","2970.0","0.0","71.0","1144.0","1662.0"
"2010-05-14","2341.0","201.0","1343.0","373.0","1110.0","2935.0","0.0","72.0","1094.0","1634.0"
"2010-05-15","2585.0","172.0","1177.0","412.0","1063.0","2845.0","0.0","58.0","916.0","1483.0"
"2010-05-16","2319.0","145.0","1268.0","396.0","1073.0","2952.0","0.0","62.0","956.0","1512.0"
"2010-05-17","3010.0","179.0","1471.0","456.0","1256.0","3407.0","0.0","89.0","1278.0","1829.0"
"2010-05-18","2464.0","197.0","1360.0","362.0","1086.0","2821.0","0.0","86.0","1038.0","1565.0"
"2010-05-19","2241.0","169.0","1241.0","354.0","1013.0","2749.0","0.0","85.0","1118.0","1566.0"
"2010-05-20","2745.0","210.0","1517.0","405.0","1174.0","3403.0","0.0","75.0","1287.0","1805.0"
"2010-05-21","2596.0","184.0","1363.0","438.0","1158.0","3153.0","0.0","77.0","1234.0","1724.0"
"2010-05-22","2295.0","169.0","1216.0","393.0","928.0","2963.0","0.0","63.0","986.0","1472.0"
"2010-05-23","2369.0","168.0","1241.0","402.0","1121.0","3228.0","0.0","52.0","964.0","1556.0"
"2010-05-24","2838.0","205.0","1473.0","515.0","1255.0","3425.0","0.0","89.0","1179.0","1802.0"
"2010-05-25","2882.0","213.0","1541.0","484.0","1280.0","3508.0","0.0","105.0","1408.0","1935.0"
"2010-05-26","3359.0","206.0","1555.0","511.0","1349.0","3501.0","0.0","89.0","1359.0","1961.0"
"2010-05-27","2635.0","199.0","1414.0","433.0","1094.0","2994.0","0.0","66.0","1280.0","1665.0"
"2010-05-28","2277.0","159.0","1133.0","327.0","945.0","2546.0","0.0","71.0","914.0","1420.0"
"2010-05-29","2297.0","166.0","1161.0","412.0","978.0","3001.0","0.0","89.0","927.0","1399.0"
"2010-05-30","2049.0","153.0","1174.0","335.0","1073.0","2762.0","0.0","62.0","855.0","1459.0"
"2010-05-31","2627.0","188.0","1302.0","442.0","1268.0","3137.0","0.0","57.0","976.0","1805.0"
"2010-06-01","2575.0","203.0","1519.0","412.0","1251.0","3341.0","0.0","88.0","1137.0","2042.0"
"2010-06-02","2672.0","218.0","1626.0","471.0","1187.0","3571.0","0.0","92.0","1328.0","2163.0"
"2010-06-03","2625.0","221.0","1403.0","467.0","1168.0","3288.0","0.0","92.0","1293.0","1994.0"
"2010-06-04","2563.0","208.0","1501.0","464.0","1108.0","3141.0","0.0","89.0","1208.0","1940.0"
"2010-06-05","2441.0","201.0","1264.0","466.0","932.0","2940.0","0.0","65.0","971.0","1596.0"
"2010-06-06","2374.0","189.0","1208.0","428.0","1051.0","3087.0","0.0","93.0","1120.0","1657.0"
"2010-06-07","2820.0","220.0","1540.0","467.0","1290.0","3624.0","0.0","85.0","1248.0","2109.0"
"2010-06-08","2504.0","167.0","1462.0","415.0","1152.0","3108.0","0.0","78.0","1246.0","1947.0"
"2010-06-09","2726.0","186.0","1420.0","409.0","1064.0","2950.0","0.0","95.0","1276.0","1817.0"
"2010-06-10","2602.0","195.0","1408.0","400.0","1039.0","2946.0","0.0","94.0","1209.0","1641.0"
"2010-06-11","1465.0","107.0","882.0","219.0","634.0","1924.0","0.0","56.0","749.0","1023.0"
"2010-06-12","411.0","32.0","213.0","72.0","191.0","571.0","0.0","16.0","237.0","307.0"
"2010-06-13","356.0","32.0","186.0","55.0","188.0","475.0","0.0","9.0","182.0","234.0"
"2010-06-14","520.0","38.0","228.0","81.0","228.0","594.0","0.0","11.0","223.0","348.0"
"2010-06-15","1116.0","105.0","648.0","198.0","532.0","1390.0","0.0","49.0","570.0","814.0"
"2010-06-16","1632.0","149.0","991.0","287.0","742.0","2198.0","0.0","69.0","827.0","1230.0"
"2010-06-17","2355.0","185.0","1624.0","383.0","1101.0","3033.0","0.0","90.0","1197.0","1807.0"
"2010-06-18","2364.0","187.0","1250.0","410.0","1064.0","2790.0","0.0","68.0","1100.0","1637.0"
"2010-06-19","2278.0","168.0","1183.0","409.0","987.0","2730.0","0.0","53.0","912.0","1424.0"
"2010-06-20","2271.0","157.0","1190.0","377.0","930.0","2711.0","0.0","63.0","929.0","1425.0"
"2010-06-21","2830.0","165.0","1450.0","502.0","1295.0","3380.0","0.0","82.0","1236.0","1937.0"
"2010-06-22","2701.0","228.0","1338.0","388.0","1156.0","3071.0","0.0","66.0","1146.0","1857.0"
"2010-06-23","2579.0","197.0","1306.0","477.0","1158.0","3308.0","0.0","81.0","1056.0","1788.0"
"2010-06-24","2155.0","159.0","1292.0","326.0","949.0","2641.0","0.0","71.0","964.0","1601.0"
"2010-06-25","1946.0","165.0","1200.0","337.0","877.0","2634.0","0.0","86.0","949.0","1325.0"
"2010-06-26","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-06-27","734.0","54.0","387.0","118.0","330.0","1036.0","0.0","19.0","312.0","565.0"
"2010-06-28","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-06-29","2389.0","200.0","1349.0","414.0","1156.0","3250.0","0.0","67.0","1203.0","1992.0"
"2010-06-30","2335.0","218.0","1349.0","357.0","1069.0","2965.0","0.0","85.0","1085.0","1847.0"
"2010-07-01","2317.0","173.0","1328.0","399.0","1065.0","2862.0","0.0","57.0","1099.0","1663.0"
"2010-07-02","2233.0","164.0","1281.0","385.0","1039.0","2845.0","0.0","65.0","1007.0","1507.0"
"2010-07-03","1810.0","128.0","1067.0","301.0","795.0","2348.0","0.0","43.0","717.0","1110.0"
"2010-07-04","1793.0","113.0","925.0","311.0","819.0","2253.0","0.0","44.0","671.0","1055.0"
"2010-07-05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-07-06","2473.0","188.0","1294.0","378.0","965.0","2935.0","0.0","68.0","980.0","1512.0"
"2010-07-07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-07-08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-07-09","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-07-10","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-07-11","1875.0","152.0","987.0","366.0","827.0","2390.0","0.0","31.0","767.0","1189.0"
"2010-07-12","2161.0","150.0","1085.0","348.0","1009.0","2683.0","0.0","60.0","880.0","1431.0"
"2010-07-13","2248.0","183.0","1237.0","394.0","1106.0","2997.0","0.0","67.0","1020.0","1615.0"
"2010-07-14","2060.0","190.0","1245.0","325.0","1037.0","2809.0","0.0","63.0","1033.0","1636.0"
"2010-07-15","2232.0","172.0","1262.0","358.0","1078.0","2627.0","0.0","65.0","993.0","1925.0"
"2010-07-16","2055.0","164.0","1320.0","334.0","1038.0","2558.0","0.0","72.0","934.0","1650.0"
"2010-07-17","2093.0","126.0","1037.0","283.0","913.0","2410.0","0.0","62.0","770.0","1402.0"
"2010-07-18","2167.0","131.0","1001.0","345.0","1009.0","2556.0","0.0","42.0","819.0","3145.0"
"2010-07-19","2399.0","182.0","1217.0","346.0","1176.0","2940.0","0.0","63.0","1052.0","1681.0"
"2010-07-20","2479.0","189.0","1299.0","386.0","1118.0","2826.0","0.0","63.0","1109.0","1703.0"
"2010-07-21","2430.0","201.0","1312.0","365.0","1100.0","2860.0","0.0","50.0","1058.0","1547.0"
"2010-07-22","2884.0","225.0","1567.0","452.0","1208.0","3369.0","0.0","70.0","1432.0","1932.0"
"2010-07-23","3049.0","255.0","1592.0","531.0","1295.0","3544.0","0.0","90.0","1504.0","2099.0"
"2010-07-24","2501.0","181.0","1282.0","404.0","1005.0","3156.0","0.0","59.0","1010.0","1656.0"
"2010-07-25","2763.0","185.0","1408.0","494.0","1157.0","3291.0","0.0","55.0","1179.0","1627.0"
"2010-07-26","3858.0","280.0","1958.0","595.0","1622.0","4511.0","0.0","121.0","1652.0","2550.0"
"2010-07-27","3498.0","265.0","1967.0","532.0","1476.0","4504.0","0.0","131.0","1589.0","2302.0"
"2010-07-28","3404.0","280.0","1842.0","613.0","1516.0","4081.0","0.0","95.0","1594.0","2282.0"
"2010-07-29","3424.0","325.0","1916.0","540.0","1398.0","4266.0","0.0","134.0","1609.0","2342.0"
"2010-07-30","2972.0","226.0","1804.0","462.0","1206.0","3537.0","0.0","86.0","1289.0","2008.0"
"2010-07-31","2545.0","186.0","1632.0","385.0","1166.0","3175.0","0.0","67.0","997.0","1580.0"
"2010-08-01","2679.0","184.0","1406.0","450.0","1114.0","3199.0","0.0","82.0","1022.0","1568.0"
"2010-08-02","3899.0","260.0","2086.0","587.0","1659.0","4405.0","0.0","123.0","1548.0","2401.0"
"2010-08-03","3914.0","270.0","2061.0","579.0","1611.0","4420.0","0.0","124.0","1658.0","2573.0"
"2010-08-04","3786.0","250.0","4010.0","558.0","1637.0","4482.0","0.0","137.0","1650.0","2490.0"
"2010-08-05","3626.0","278.0","2387.0","534.0","1448.0","4205.0","0.0","105.0","1579.0","2407.0"
"2010-08-06","3381.0","283.0","2004.0","496.0","1320.0","3885.0","0.0","90.0","1494.0","2167.0"
"2010-08-07","2662.0","189.0","1713.0","379.0","1107.0","3153.0","0.0","64.0","992.0","1512.0"
"2010-08-08","2924.0","183.0","1807.0","439.0","1134.0","3365.0","0.0","57.0","998.0","1697.0"
"2010-08-09","3860.0","288.0","2239.0","531.0","1540.0","4298.0","0.0","87.0","1510.0","2359.0"
"2010-08-10","3862.0","301.0","2291.0","534.0","1500.0","4360.0","0.0","104.0","1621.0","2290.0"
"2010-08-11","3515.0","270.0","2193.0","558.0","1542.0","4221.0","0.0","121.0","1535.0","2284.0"
"2010-08-12","3565.0","234.0","1900.0","580.0","1511.0","3951.0","0.0","82.0","1541.0","2257.0"
"2010-08-13","5523.0","231.0","1916.0","498.0","1348.0","3798.0","0.0","99.0","1465.0","2104.0"
"2010-08-14","3569.0","147.0","1472.0","543.0","1094.0","3073.0","0.0","67.0","1072.0","1786.0"
"2010-08-15","3459.0","154.0","1587.0","498.0","1311.0","3678.0","0.0","67.0","1152.0","1826.0"
"2010-08-16","4271.0","237.0","2222.0","595.0","1638.0","4808.0","0.0","128.0","1566.0","2427.0"
"2010-08-17","4147.0","280.0","2151.0","566.0","1714.0","4695.0","0.0","118.0","1618.0","2622.0"
"2010-08-18","4217.0","270.0","2224.0","513.0","1551.0","4530.0","0.0","129.0","1641.0","2414.0"
"2010-08-19","4137.0","221.0","2031.0","527.0","1420.0","4130.0","0.0","143.0","1483.0","2363.0"
"2010-08-20","3804.0","235.0","1716.0","456.0","1285.0","3732.0","0.0","93.0","1389.0","2727.0"
"2010-08-21","3618.0","199.0","1420.0","383.0","1138.0","3519.0","0.0","61.0","1168.0","1672.0"
"2010-08-22","4316.0","176.0","1609.0","432.0","1218.0","3709.0","0.0","55.0","1091.0","1848.0"
"2010-08-23","4648.0","261.0","2131.0","505.0","1449.0","4346.0","0.0","97.0","1575.0","2368.0"
"2010-08-24","4528.0","281.0","2242.0","867.0","1590.0","4644.0","0.0","103.0","1730.0","2589.0"
"2010-08-25","4401.0","254.0","2060.0","646.0","1375.0","4334.0","0.0","125.0","1569.0","2516.0"
"2010-08-26","4448.0","277.0","1855.0","696.0","1519.0","4458.0","0.0","124.0","1628.0","3034.0"
"2010-08-27","7139.0","236.0","1840.0","541.0","1237.0","4244.0","0.0","83.0","1491.0","2098.0"
"2010-08-28","5318.0","145.0","2786.0","449.0","1050.0","3304.0","0.0","71.0","1034.0","1724.0"
"2010-08-29","4396.0","170.0","1880.0","428.0","1082.0","3421.0","0.0","64.0","1125.0","1724.0"
"2010-08-30","4515.0","287.0","2227.0","566.0","1484.0","4659.0","0.0","106.0","1730.0","2469.0"
"2010-08-31","4638.0","333.0","2149.0","539.0","1372.0","4699.0","0.0","104.0","1690.0","2409.0"
"2010-09-01","4151.0","266.0","1906.0","532.0","1381.0","4710.0","0.0","119.0","1606.0","2530.0"
"2010-09-02","4063.0","221.0","1886.0","507.0","1437.0","4512.0","0.0","101.0","1638.0","2455.0"
"2010-09-03","3479.0","277.0","1991.0","506.0","1271.0","3958.0","0.0","77.0","1442.0","2102.0"
"2010-09-04","2813.0","201.0","1417.0","384.0","1075.0","3534.0","0.0","64.0","1019.0","1631.0"
"2010-09-05","3206.0","159.0","1376.0","415.0","1171.0","3445.0","0.0","65.0","1082.0","1659.0"
"2010-09-06","4147.0","266.0","1767.0","544.0","1396.0","4278.0","0.0","100.0","1454.0","2226.0"
"2010-09-07","4553.0","281.0","1974.0","532.0","1454.0","4684.0","0.0","96.0","1552.0","2458.0"
"2010-09-08","4454.0","308.0","2030.0","491.0","1504.0","5690.0","0.0","108.0","1735.0","2551.0"
