Web Search interest: hepatitis c symptoms
United States Dec 2010 - Feb 2014

Interest over time
Week,hepatitis c symptoms
2013-06-30 - 2013-07-06,31
2013-07-07 - 2013-07-13,35
2013-07-14 - 2013-07-20,35
2013-07-21 - 2013-07-27,31
2013-07-28 - 2013-08-03,27
2013-08-04 - 2013-08-10,32
2013-08-11 - 2013-08-17,34
2013-08-18 - 2013-08-24,29
2013-08-25 - 2013-08-31,29
2013-09-01 - 2013-09-07,28
2013-09-08 - 2013-09-14,29
2013-09-15 - 2013-09-21,28
2013-09-22 - 2013-09-28,27
2013-09-29 - 2013-10-05,29
2013-10-06 - 2013-10-12,26
2013-10-13 - 2013-10-19,28
2013-10-20 - 2013-10-26,29
2013-10-27 - 2013-11-02,25
2013-11-03 - 2013-11-09,30
2013-11-10 - 2013-11-16,29
2013-11-17 - 2013-11-23,27
2013-11-24 - 2013-11-30,23
2013-12-01 - 2013-12-07,30
2013-12-08 - 2013-12-14,26
2013-12-15 - 2013-12-21,28
2013-12-22 - 2013-12-28,21
2013-12-29 - 2014-01-04,29
2014-01-05 - 2014-01-11,28
2014-01-12 - 2014-01-18,28
2014-01-19 - 2014-01-25,25
2014-01-26 - 2014-02-01,28
2014-02-02 - 2014-02-08,25
2014-02-09 - 2014-02-15,24
2014-02-16 - 2014-02-22,27
2014-02-23 - 2014-03-01,54


Top subregions for hepatitis c symptoms
Subregion,hepatitis c symptoms
Kentucky,100
Alabama,94
Louisiana,82
Tennessee,78
Florida,75
Pennsylvania,69
Missouri,68
Ohio,67
Arizona,66
Georgia,65
Maryland,65
Indiana,65
North Carolina,63
Michigan,59
Texas,58
Massachusetts,57
New Jersey,56
Virginia,56
Wisconsin,55
Colorado,55
Washington,54
Illinois,53
New York,53
Oregon,53
California,49
Minnesota,48
Alaska,0
Arkansas,0
Connecticut,0
District of Columbia,0
Delaware,0
Hawaii,0
Iowa,0
Idaho,0
Kansas,0
Maine,0
Mississippi,0
Montana,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Mexico,0
Nevada,0
Oklahoma,0
Rhode Island,0
South Carolina,0
South Dakota,0
Utah,0
Vermont,0
West Virginia,0
Wyoming,0


Top metros for hepatitis c symptoms
Metro,hepatitis c symptoms
New York NY,100
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Philadelphia PA,0
Detroit MI,0
Boston MA-Manchester NH,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Cleveland-Akron (Canton) OH,0
Washington DC (Hagerstown MD),0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charlotte NC,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Atlanta GA,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Miami-Ft. Lauderdale FL,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Orlando-Daytona Beach-Melbourne FL,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Tampa-St. Petersburg (Sarasota) FL,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Raleigh-Durham (Fayetteville) NC,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Chicago IL,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
St. Louis MO,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Minneapolis-St. Paul MN,0
Kansas City MO,0
Milwaukee WI,0
Houston TX,0
Springfield MO,0
New Orleans LA,0
Dallas-Ft. Worth TX,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Denver CO,0
Colorado Springs-Pueblo CO,0
Phoenix AZ,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Los Angeles CA,0
Palm Springs CA,0
San Francisco-Oakland-San Jose CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Seattle-Tacoma WA,0
Portland OR,0
Bend OR,0
San Diego CA,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Sacramento-Stockton-Modesto CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for hepatitis c symptoms
City,hepatitis c symptoms
Philadelphia,100
San Antonio,98
Atlanta,97
Denver,84
Dallas,83
Chicago,81
Washington,78
Houston,78
Los Angeles,73
New York,70
San Francisco,69



Top searches for hepatitis c symptoms
symptoms of hepatitis,100
hepatitis b symptoms,45
hepatitis b,45
hepatitis a,40
hepatitis a symptoms,40
hep c symptoms,15
hepatitis c treatment,15
what is hepatitis,15
signs of hepatitis,10
hepatitis c transmission,5
hepatitis c vaccine,5
hepatitis c cure,5
hepatitis c virus,5
cirrhosis symptoms,5
hepatitis d,5
symptoms of cirrhosis,5



Rising searches for hepatitis c symptoms
hep c symptoms,+120%
hepatitis c vaccine,+90%
what is hepatitis,+70%
hepatitis b,+60%
hepatitis b symptoms,+60%
hepatitis c treatment,+60%
hepatitis a,+50%
hepatitis a symptoms,+50%
hepatitis c cure,+50%
signs of hepatitis,+40%



