Web Search interest: hepatitis c
United States Dec 2010 - Feb 2014

Interest over time
Week,hepatitis c
2013-10-27 - 2013-11-02,43
2013-11-03 - 2013-11-09,45
2013-11-10 - 2013-11-16,43
2013-11-17 - 2013-11-23,41
2013-11-24 - 2013-11-30,35
2013-12-01 - 2013-12-07,48
2013-12-08 - 2013-12-14,41
2013-12-15 - 2013-12-21,39
2013-12-22 - 2013-12-28,34
2013-12-29 - 2014-01-04,41
2014-01-05 - 2014-01-11,43
2014-01-12 - 2014-01-18,42
2014-01-19 - 2014-01-25,40
2014-01-26 - 2014-02-01,42
2014-02-02 - 2014-02-08,39
2014-02-09 - 2014-02-15,39
2014-02-16 - 2014-02-22,40
2014-02-23 - 2014-03-01,75


Top subregions for hepatitis c
Subregion,hepatitis c
West Virginia,100
New Hampshire,85
Kentucky,82
New Mexico,76
Tennessee,75
Mississippi,75
Oklahoma,70
North Dakota,69
Maine,68
Louisiana,67
Montana,67
Alaska,66
South Dakota,66
Pennsylvania,66
Arkansas,65
Florida,65
Kansas,65
Missouri,64
Alabama,64
District of Columbia,63
Delaware,62
Ohio,62
Maryland,61
Massachusetts,61
Indiana,60
Georgia,59
North Carolina,58
Arizona,58
Michigan,57
South Carolina,57
New Jersey,56
Nevada,55
Texas,55
Connecticut,55
New York,55
Vermont,54
Idaho,53
Virginia,53
Rhode Island,53
Colorado,52
Nebraska,52
Washington,52
Iowa,51
Illinois,51
Minnesota,50
Wisconsin,49
California,49
Oregon,46
Hawaii,44
Utah,44
Wyoming,0


Top metros for hepatitis c
Metro,hepatitis c
New Orleans LA,100
Nashville TN,84
Pittsburgh PA,81
Baltimore MD,81
West Palm Beach-Ft. Pierce FL,78
Tampa-St. Petersburg (Sarasota) FL,77
Orlando-Daytona Beach-Melbourne FL,76
St. Louis MO,74
Columbus OH,74
Philadelphia PA,74
Hartford & New Haven CT,73
Indianapolis IN,73
San Antonio TX,73
Cleveland-Akron (Canton) OH,73
Miami-Ft. Lauderdale FL,72
Atlanta GA,72
Boston MA-Manchester NH,71
Kansas City MO,70
Detroit MI,69
Phoenix AZ,67
Charlotte NC,64
Washington DC (Hagerstown MD),64
New York NY,63
Raleigh-Durham (Fayetteville) NC,63
Dallas-Ft. Worth TX,62
Houston TX,61
Chicago IL,61
Seattle-Tacoma WA,61
Sacramento-Stockton-Modesto CA,60
Austin TX,60
Denver CO,59
Minneapolis-St. Paul MN,58
Los Angeles CA,56
San Francisco-Oakland-San Jose CA,53
Salt Lake City UT,52
San Diego CA,51
Portland OR,50
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Milwaukee WI,0
Springfield MO,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for hepatitis c
City,hepatitis c
Albuquerque,100
Pittsburgh,95
Nashville,94
Philadelphia,94
New Orleans,93
Boston,91
Indianapolis,86
Orlando,86
St. Louis,85
Columbus,82
Atlanta,82
Hialeah,80
San Antonio,79
Dallas,76
Phoenix,76



Top searches for hepatitis c
hepatitis b,100
hepatitis a,90
hepatitis symptoms,80
symptoms hepatitis c,80
hepatitis c treatment,50
what is hepatitis,45
hep,35
hep c,35
symptoms of hepatitis,30
hepatitis c test,20
hepatitis c vaccine,20
hepatitis vaccine,20
hepatitis c transmission,20
hepatitis c virus,15
hepatitis c cure,15
hepatitis c contagious,15
hepatitis b symptoms,15
hepatitis c causes,10
hepatitis a symptoms,10
is hepatitis contagious,10
chronic hepatitis c,10
hepatitis c cirrhosis,10
cirrhosis,10
hcv,10
hepatitis b vaccine,10
hepatitis c drug,10
hepatitis c testing,10
interferon,10
viral hepatitis c,10
cdc hepatitis c,10
signs of hepatitis,10
hepatitis c genotype,5
hepatitis a vaccine,5
hepatitis c antibody,5
hep b,5
hepatitis d,5
hepatitis c drugs,5
what causes hepatitis,5
hep c treatment,5
acute hepatitis c,5
hepatitis c news,5
hep c symptoms,5
hepatitis c guidelines,5
hepatitus c,5
hepatits c,5
hepatitis c screening,5
hepatitis c treatments,5
hepatitis c rna,5
hepititis c,5
hepatitis c pictures,5



Rising searches for hepatitis c
is hepatitis contagious,+110%
signs of hepatitis,+80%
what is hepatitis,+70%
hep,+60%
hepatitis c contagious,+60%
hepatitis c cure,+60%
hep c,+50%
hepatitis b symptoms,+50%
hepatitis b vaccine,+50%
hepatitis a symptoms,+40%



