Web Search interest: symptoms of hepatitis c
United States Dec 2010 - Feb 2014

Interest over time
Week,symptoms of hepatitis c
2012-09-09 - 2012-09-15,30
2012-09-16 - 2012-09-22,32
2012-09-23 - 2012-09-29,33
2012-09-30 - 2012-10-06,34
2012-10-07 - 2012-10-13,25
2012-10-14 - 2012-10-20,30
2012-10-21 - 2012-10-27,35
2012-10-28 - 2012-11-03,32
2012-11-04 - 2012-11-10,26
2012-11-11 - 2012-11-17,27
2012-11-18 - 2012-11-24,26
2012-11-25 - 2012-12-01,30
2012-12-02 - 2012-12-08,30
2012-12-09 - 2012-12-15,29
2012-12-16 - 2012-12-22,35
2012-12-23 - 2012-12-29,38
2012-12-30 - 2013-01-05,29
2013-01-06 - 2013-01-12,24
2013-01-13 - 2013-01-19,40
2013-01-20 - 2013-01-26,34
2013-01-27 - 2013-02-02,33
2013-02-03 - 2013-02-09,33
2013-02-10 - 2013-02-16,28
2013-02-17 - 2013-02-23,31
2013-02-24 - 2013-03-02,26
2013-03-03 - 2013-03-09,25
2013-03-10 - 2013-03-16,32
2013-03-17 - 2013-03-23,29
2013-03-24 - 2013-03-30,36
2013-03-31 - 2013-04-06,28
2013-04-07 - 2013-04-13,26
2013-04-14 - 2013-04-20,37
2013-04-21 - 2013-04-27,39
2013-04-28 - 2013-05-04,37
2013-05-05 - 2013-05-11,40
2013-05-12 - 2013-05-18,34
2013-05-19 - 2013-05-25,40
2013-05-26 - 2013-06-01,33
2013-06-02 - 2013-06-08,49
2013-06-09 - 2013-06-15,39
2013-06-16 - 2013-06-22,33
2013-06-23 - 2013-06-29,49
2013-06-30 - 2013-07-06,27
2013-07-07 - 2013-07-13,33
2013-07-14 - 2013-07-20,35
2013-07-21 - 2013-07-27,28
2013-07-28 - 2013-08-03,40
2013-08-04 - 2013-08-10,32
2013-08-11 - 2013-08-17,35
2013-08-18 - 2013-08-24,34
2013-08-25 - 2013-08-31,38
2013-09-01 - 2013-09-07,36
2013-09-08 - 2013-09-14,31
2013-09-15 - 2013-09-21,30
2013-09-22 - 2013-09-28,31
2013-09-29 - 2013-10-05,33
2013-10-06 - 2013-10-12,26
2013-10-13 - 2013-10-19,33
2013-10-20 - 2013-10-26,41
2013-10-27 - 2013-11-02,30
2013-11-03 - 2013-11-09,38
2013-11-10 - 2013-11-16,30
2013-11-17 - 2013-11-23,39
2013-11-24 - 2013-11-30,28
2013-12-01 - 2013-12-07,37
2013-12-08 - 2013-12-14,30
2013-12-15 - 2013-12-21,33
2013-12-22 - 2013-12-28,30
2013-12-29 - 2014-01-04,35
2014-01-05 - 2014-01-11,32
2014-01-12 - 2014-01-18,35
2014-01-19 - 2014-01-25,33
2014-01-26 - 2014-02-01,31
2014-02-02 - 2014-02-08,31
2014-02-09 - 2014-02-15,27
2014-02-16 - 2014-02-22,34
2014-02-23 - 2014-03-01,64


Top subregions for symptoms of hepatitis c
Subregion,symptoms of hepatitis c
Pennsylvania,100
Ohio,99
Florida,93
Georgia,88
Texas,85
Illinois,74
New York,69
California,64
Alaska,0
Alabama,0
Arkansas,0
Arizona,0
Colorado,0
Connecticut,0
District of Columbia,0
Delaware,0
Hawaii,0
Iowa,0
Idaho,0
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Massachusetts,0
Maryland,0
Maine,0
Michigan,0
Minnesota,0
Missouri,0
Mississippi,0
Montana,0
North Carolina,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Jersey,0
New Mexico,0
Nevada,0
Oklahoma,0
Oregon,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Utah,0
Virginia,0
Vermont,0
Washington,0
Wisconsin,0
West Virginia,0
Wyoming,0




Top cities for symptoms of hepatitis c
City,symptoms of hepatitis c
Chicago,100
New York,85



Top searches for symptoms of hepatitis c
hepatitis b symptoms,100
what is hepatitis,60
signs of hepatitis,55
hep c symptoms,45
hepatitis c treatment,30
symptoms of cirrhosis,20



Rising searches for symptoms of hepatitis c
hep c symptoms,+90%
signs of hepatitis,+50%



