Web Search interest: hepatitis
United States Dec 2010 - Feb 2014

Interest over time
Week,hepatitis
Orlando-Daytona Beach-Melbourne FL,55
Jacksonville FL,55
Boston MA-Manchester NH,55
Richmond-Petersburg VA,54
Hartford & New Haven CT,54
Madison WI,54
New York NY,54
San Antonio TX,53
Des Moines-Ames IA,53
Columbus OH,53
Atlanta GA,52
Omaha NE,52
Memphis TN,52
Harrisburg-Lancaster-Lebanon-York PA,52
Waco-Temple-Bryan TX,52
Raleigh-Durham (Fayetteville) NC,52
Greenville-Spartanburg SC-Asheville NC-Anderson SC,52
Washington DC (Hagerstown MD),51
Buffalo NY,51
Cleveland-Akron (Canton) OH,51
Charlotte NC,51
Houston TX,51
Portland OR,50
Milwaukee WI,50
Detroit MI,50
Phoenix AZ,49
San Diego CA,49
San Francisco-Oakland-San Jose CA,49
Sacramento-Stockton-Modesto CA,49
Kansas City MO,49
Los Angeles CA,48
Dallas-Ft. Worth TX,48
Albany-Schenectady-Troy NY,48
Norfolk-Portsmouth-Newport News VA,48
Seattle-Tacoma WA,48
Denver CO,47
Minneapolis-St. Paul MN,47
Chicago IL,47
Las Vegas NV,47
Providence RI-New Bedford MA,47
Fresno-Visalia CA,47
Grand Rapids-Kalamazoo-Battle Creek MI,47
Austin TX,46
Salt Lake City UT,45
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0


Top cities for hepatitis
City,hepatitis
Baltimore,100
Nashville,87
Pittsburgh,84
Philadelphia,83
Boston,79
Indianapolis,77
Orlando,76
St. Louis,76
Columbus,73
Miami,72
Atlanta,72
Phoenix,69
Washington,68
Hialeah,68
New York,67



Top searches for hepatitis
hepatitis c,100
hepatitis b,65
hepatitis a,45
hepatitis symptoms,20
hepatitis vaccine,20
what is hepatitis,15
hepatitis b vaccine,10
liver,10
hepatitis liver,10
symptoms hepatitis c,10
hepatitis treatment,10
symptoms of hepatitis,10
hepatitis a vaccine,10
hep,5
hepatitis c treatment,5
autoimmune hepatitis,5
autoimmune,5
hepatitis b symptoms,5
hep c,5
hepatitis a symptoms,5
viral hepatitis,5
hepatitis transmission,5
chronic hepatitis,5
alcoholic hepatitis,5
hep b,5
acute hepatitis,5
hepatitis c test,5
cirrhosis,0
hepatitis c vaccine,0
hepatitis e,0
is hepatitis contagious,0
hepatitis c transmission,0
signs of hepatitis,0
liver disease,0
hepatitis b virus,0
causes of hepatitis,0
symptoms for hepatitis,0
hepatitis d,0
hepatitis std,0
hepatitis c virus,0
hepatitis b treatment,0
hepatitis b antibody,0
what causes hepatitis,0
hepatitis c cure,0
hepatitis types,0
hepatitis c contagious,0
hepatitis vaccines,0
hepatitis shots,0
hepatitis b vaccination,0
hepatitis definition,0



Rising searches for hepatitis
is hepatitis contagious,+110%
hepatitis c cure,+90%
hep c,+80%
hepatitis c contagious,+80%
signs of hepatitis,+70%
what is hepatitis,+70%
hep,+60%
what causes hepatitis,+60%
hep b,+50%
hepatitis c vaccine,+50%



