Week,fever,typhoid vaccine,typhoid fever,typhoid
2011-11-06 - 2011-11-12,58,45,33,31
2011-11-13 - 2011-11-19,61,47,33,37
2011-11-20 - 2011-11-26,57,42,30,30
2011-11-27 - 2011-12-03,58,42,37,37
2011-12-04 - 2011-12-10,56,50,34,37
2011-12-11 - 2011-12-17,57,44,36,35
2011-12-18 - 2011-12-24,55,43,21,27
2011-12-25 - 2011-12-31,58,37,21,24
2012-01-01 - 2012-01-07,60,52,30,34
2012-01-08 - 2012-01-14,61,52,31,34
2012-01-15 - 2012-01-21,60,45,29,30
2012-01-22 - 2012-01-28,62,50,35,33
2012-01-29 - 2012-02-04,63,59,34,100
2012-02-05 - 2012-02-11,66,52,36,39
2012-02-12 - 2012-02-18,64,50,33,31
2012-02-19 - 2012-02-25,66,52,38,35
2012-02-26 - 2012-03-03,65,52,36,33
2012-03-04 - 2012-03-10,71,49,33,36
2012-03-11 - 2012-03-17,67,45,33,33
2012-03-18 - 2012-03-24,64,53,35,33
2012-03-25 - 2012-03-31,63,50,35,35
2012-04-01 - 2012-04-07,63,43,31,32
2012-04-08 - 2012-04-14,66,50,39,33
2012-04-15 - 2012-04-21,68,49,34,33
2012-04-22 - 2012-04-28,63,54,41,41
2012-04-29 - 2012-05-05,62,59,38,40
2012-05-06 - 2012-05-12,61,73,35,37
2012-05-13 - 2012-05-19,62,69,40,39
2012-05-20 - 2012-05-26,65,76,35,38
2012-05-27 - 2012-06-02,62,90,40,46
2012-06-03 - 2012-06-09,59,73,31,36
2012-06-10 - 2012-06-16,60,74,27,31
2012-06-17 - 2012-06-23,58,59,23,31
2012-06-24 - 2012-06-30,55,62,23,28
2012-07-01 - 2012-07-07,54,54,23,27
2012-07-08 - 2012-07-14,55,52,22,28
2012-07-15 - 2012-07-21,54,55,26,29
2012-07-22 - 2012-07-28,54,46,23,28
2012-07-29 - 2012-08-04,53,45,19,24
2012-08-05 - 2012-08-11,52,43,21,24
2012-08-12 - 2012-08-18,54,46,22,26
2012-08-19 - 2012-08-25,56,37,32,36
2012-08-26 - 2012-09-01,56,32,23,28
2012-09-02 - 2012-09-08,57,40,28,28
2012-09-09 - 2012-09-15,57,45,27,31
2012-09-16 - 2012-09-22,58,36,26,29
2012-09-23 - 2012-09-29,59,32,31,30
2012-09-30 - 2012-10-06,59,52,27,31
2012-10-07 - 2012-10-13,59,48,31,33
2012-10-14 - 2012-10-20,100,53,55,43
2012-10-21 - 2012-10-27,69,46,34,35
2012-10-28 - 2012-11-03,59,37,35,33
2012-11-04 - 2012-11-10,59,57,31,34
2012-11-11 - 2012-11-17,60,42,37,33
2012-11-18 - 2012-11-24,60,46,26,26
2012-11-25 - 2012-12-01,62,49,32,31
2012-12-02 - 2012-12-08,66,68,37,35
2012-12-09 - 2012-12-15,67,57,34,36
2012-12-16 - 2012-12-22,71,50,25,30
2012-12-23 - 2012-12-29,81,47,24,40
2012-12-30 - 2013-01-05,79,52,22,31
2013-01-06 - 2013-01-12,79,71,32,37
2013-01-13 - 2013-01-19,76,50,35,36
2013-01-20 - 2013-01-26,76,61,33,33
2013-01-27 - 2013-02-02,74,55,33,35
2013-02-03 - 2013-02-09,74,55,100,62
2013-02-10 - 2013-02-16,67,55,38,34
2013-02-17 - 2013-02-23,68,49,35,35
2013-02-24 - 2013-03-02,66,61,37,35
2013-03-03 - 2013-03-09,66,63,34,35
2013-03-10 - 2013-03-16,68,57,30,33
2013-03-17 - 2013-03-23,66,52,39,37
2013-03-24 - 2013-03-30,65,42,28,34
2013-03-31 - 2013-04-06,65,60,33,32
2013-04-07 - 2013-04-13,66,53,38,35
2013-04-14 - 2013-04-20,62,59,30,33
2013-04-21 - 2013-04-27,62,67,37,38
2013-04-28 - 2013-05-04,63,68,87,58
2013-05-05 - 2013-05-11,65,78,49,44
2013-05-12 - 2013-05-18,61,78,34,37
2013-05-19 - 2013-05-25,57,86,31,34
2013-05-26 - 2013-06-01,59,71,30,32
2013-06-02 - 2013-06-08,58,100,37,37
2013-06-09 - 2013-06-15,56,93,29,37
2013-06-16 - 2013-06-22,56,86,31,34
2013-06-23 - 2013-06-29,59,76,25,38
2013-06-30 - 2013-07-06,58,67,26,38
2013-07-07 - 2013-07-13,58,74,28,35
2013-07-14 - 2013-07-20,56,75,27,37
2013-07-21 - 2013-07-27,55,64,26,33
2013-07-28 - 2013-08-03,55,69,27,35
2013-08-04 - 2013-08-10,55,64,24,29
2013-08-11 - 2013-08-17,54,61,26,46
2013-08-18 - 2013-08-24,55,59,24,36
2013-08-25 - 2013-08-31,56,60,30,39
2013-09-01 - 2013-09-07,55,47,24,32
2013-09-08 - 2013-09-14,58,53,28,31
2013-09-15 - 2013-09-21,58,59,32,36
2013-09-22 - 2013-09-28,58,59,28,43
2013-09-29 - 2013-10-05,58,66,31,43
2013-10-06 - 2013-10-12,58,63,31,40
2013-10-13 - 2013-10-19,58,66,35,40
2013-10-20 - 2013-10-26,59,55,33,37
2013-10-27 - 2013-11-02,59,51,32,37
2013-11-03 - 2013-11-09,57,70,35,43
2013-11-10 - 2013-11-16,60,65,33,43
2013-11-17 - 2013-11-23,60,66,38,43
2013-11-24 - 2013-11-30,54,47,26,32
2013-12-01 - 2013-12-07,60,67,33,39
2013-12-08 - 2013-12-14,65,68,33,38
2013-12-15 - 2013-12-21,68,70,26,32
2013-12-22 - 2013-12-28,74,60,23,31
2013-12-29 - 2014-01-04,79,53,19,28
2014-01-05 - 2014-01-11,73,72,24,34
2014-01-12 - 2014-01-18,73,65,36,35
2014-01-19 - 2014-01-25,73,69,61,58
2014-01-26 - 2014-02-01,70,66,41,46
2014-02-02 - 2014-02-08,69,64,35,47
2014-02-09 - 2014-02-15,69,63,33,37
2014-02-16 - 2014-02-22,66,65,28,34
2014-02-23 - 2014-03-01,68,70,37,42
