Week,water pollution,malaria,malaria vaccine,fever,influenza
2012-09-02 - 2012-09-08,36,43,13,57,13
2012-09-09 - 2012-09-15,39,45,13,57,15
2012-09-16 - 2012-09-22,50,48,13,57,17
2012-09-23 - 2012-09-29,53,47,19,59,19
2012-09-30 - 2012-10-06,54,48,18,59,18
2012-10-07 - 2012-10-13,57,47,20,59,18
2012-10-14 - 2012-10-20,60,47,18,100,19
2012-10-21 - 2012-10-27,61,47,17,69,18
2012-10-28 - 2012-11-03,59,44,22,59,17
2012-11-04 - 2012-11-10,58,48,20,59,18
2012-11-11 - 2012-11-17,61,53,18,61,21
2012-11-18 - 2012-11-24,40,42,18,60,17
2012-11-25 - 2012-12-01,68,54,20,62,24
2012-12-02 - 2012-12-08,72,52,16,66,33
2012-12-09 - 2012-12-15,68,51,15,67,33
2012-12-16 - 2012-12-22,43,42,15,71,40
2012-12-23 - 2012-12-29,9,28,16,81,43
2012-12-30 - 2013-01-05,25,38,16,79,54
2013-01-06 - 2013-01-12,48,44,18,79,100
2013-01-13 - 2013-01-19,51,44,23,77,81
2013-01-20 - 2013-01-26,45,50,17,76,59
2013-01-27 - 2013-02-02,57,51,15,74,47
2013-02-03 - 2013-02-09,62,51,19,74,38
2013-02-10 - 2013-02-16,60,49,14,67,32
2013-02-17 - 2013-02-23,54,50,17,68,28
2013-02-24 - 2013-03-02,71,53,14,66,27
2013-03-03 - 2013-03-09,67,55,17,66,25
2013-03-10 - 2013-03-16,63,56,16,68,23
2013-03-17 - 2013-03-23,68,56,15,65,20
2013-03-24 - 2013-03-30,61,47,15,65,20
2013-03-31 - 2013-04-06,59,53,16,65,20
2013-04-07 - 2013-04-13,76,56,21,66,18
2013-04-14 - 2013-04-20,87,57,18,62,17
2013-04-21 - 2013-04-27,100,93,27,62,17
2013-04-28 - 2013-05-04,92,71,26,63,15
2013-05-05 - 2013-05-11,87,67,24,65,13
2013-05-12 - 2013-05-18,82,60,20,61,11
2013-05-19 - 2013-05-25,70,58,20,57,10
2013-05-26 - 2013-06-01,57,52,16,59,10
2013-06-02 - 2013-06-08,47,49,15,58,9
2013-06-09 - 2013-06-15,28,46,19,56,9
2013-06-16 - 2013-06-22,22,44,13,56,8
2013-06-23 - 2013-06-29,20,46,16,58,7
2013-06-30 - 2013-07-06,18,40,18,58,7
2013-07-07 - 2013-07-13,19,44,16,58,7
2013-07-14 - 2013-07-20,21,45,15,55,8
2013-07-21 - 2013-07-27,21,43,15,55,7
2013-07-28 - 2013-08-03,19,48,16,55,7
2013-08-04 - 2013-08-10,17,58,77,55,7
2013-08-11 - 2013-08-17,22,45,43,54,8
2013-08-18 - 2013-08-24,24,42,21,54,10
2013-08-25 - 2013-08-31,29,43,18,56,12
2013-09-01 - 2013-09-07,32,45,15,55,14
2013-09-08 - 2013-09-14,39,48,18,58,16
2013-09-15 - 2013-09-21,47,48,17,58,18
2013-09-22 - 2013-09-28,55,50,18,58,20
2013-09-29 - 2013-10-05,52,50,20,58,21
2013-10-06 - 2013-10-12,62,53,50,57,20
2013-10-13 - 2013-10-19,57,51,30,58,22
2013-10-20 - 2013-10-26,66,52,31,58,22
2013-10-27 - 2013-11-02,64,54,29,58,20
2013-11-03 - 2013-11-09,68,54,25,57,20
2013-11-10 - 2013-11-16,73,52,25,60,21
2013-11-17 - 2013-11-23,78,54,27,60,20
2013-11-24 - 2013-11-30,40,40,20,54,15
2013-12-01 - 2013-12-07,71,54,25,60,21
2013-12-08 - 2013-12-14,66,52,20,65,23
2013-12-15 - 2013-12-21,51,44,20,68,28
2013-12-22 - 2013-12-28,10,31,16,74,32
2013-12-29 - 2014-01-04,17,31,18,78,42
2014-01-05 - 2014-01-11,51,41,14,73,50
2014-01-12 - 2014-01-18,66,47,21,73,51
2014-01-19 - 2014-01-25,56,44,21,73,44
2014-01-26 - 2014-02-01,53,48,19,71,39
2014-02-02 - 2014-02-08,61,48,17,69,32
2014-02-09 - 2014-02-15,60,53,21,68,28
2014-02-16 - 2014-02-22,59,50,21,66,25
2014-02-23 - 2014-03-01,70,57,24,67,24
