Web Search interest: myalgia
United States Nov 2010 - Mar 2014

Interest over time
Week,myalgia
2012-05-06 - 2012-05-12,77
2012-05-13 - 2012-05-19,79
2012-05-20 - 2012-05-26,84
2012-05-27 - 2012-06-02,74
2012-06-03 - 2012-06-09,81
2012-06-10 - 2012-06-16,70
2012-06-17 - 2012-06-23,74
2012-06-24 - 2012-06-30,69
2012-07-01 - 2012-07-07,59
2012-07-08 - 2012-07-14,59
2012-07-15 - 2012-07-21,65
2012-07-22 - 2012-07-28,79
2012-07-29 - 2012-08-04,72
2012-08-05 - 2012-08-11,76
2012-08-12 - 2012-08-18,77
2012-08-19 - 2012-08-25,84
2012-08-26 - 2012-09-01,88
2012-09-02 - 2012-09-08,92
2012-09-09 - 2012-09-15,99
2012-09-16 - 2012-09-22,89
2012-09-23 - 2012-09-29,98
2012-09-30 - 2012-10-06,92
2012-10-07 - 2012-10-13,86
2012-10-14 - 2012-10-20,87
2012-10-21 - 2012-10-27,94
2012-10-28 - 2012-11-03,77
2012-11-04 - 2012-11-10,80
2012-11-11 - 2012-11-17,77
2012-11-18 - 2012-11-24,70
2012-11-25 - 2012-12-01,86
2012-12-02 - 2012-12-08,78
2012-12-09 - 2012-12-15,80
2012-12-16 - 2012-12-22,64
2012-12-23 - 2012-12-29,49
2012-12-30 - 2013-01-05,56
2013-01-06 - 2013-01-12,77
2013-01-13 - 2013-01-19,79
2013-01-20 - 2013-01-26,74
2013-01-27 - 2013-02-02,89
2013-02-03 - 2013-02-09,80
2013-02-10 - 2013-02-16,81
2013-02-17 - 2013-02-23,79
2013-02-24 - 2013-03-02,88
2013-03-03 - 2013-03-09,73
2013-03-10 - 2013-03-16,73
2013-03-17 - 2013-03-23,75
2013-03-24 - 2013-03-30,74
2013-03-31 - 2013-04-06,82
2013-04-07 - 2013-04-13,80
2013-04-14 - 2013-04-20,84
2013-04-21 - 2013-04-27,78
2013-04-28 - 2013-05-04,80
2013-05-05 - 2013-05-11,72
2013-05-12 - 2013-05-18,71
2013-05-19 - 2013-05-25,70
2013-05-26 - 2013-06-01,72
2013-06-02 - 2013-06-08,76
2013-06-09 - 2013-06-15,73
2013-06-16 - 2013-06-22,80
2013-06-23 - 2013-06-29,72
2013-06-30 - 2013-07-06,66
2013-07-07 - 2013-07-13,76
2013-07-14 - 2013-07-20,76
2013-07-21 - 2013-07-27,83
2013-07-28 - 2013-08-03,72
2013-08-04 - 2013-08-10,73
2013-08-11 - 2013-08-17,72
2013-08-18 - 2013-08-24,73
2013-08-25 - 2013-08-31,79
2013-09-01 - 2013-09-07,81
2013-09-08 - 2013-09-14,87
2013-09-15 - 2013-09-21,96
2013-09-22 - 2013-09-28,80
2013-09-29 - 2013-10-05,87
2013-10-06 - 2013-10-12,90
2013-10-13 - 2013-10-19,88
2013-10-20 - 2013-10-26,97
2013-10-27 - 2013-11-02,85
2013-11-03 - 2013-11-09,84
2013-11-10 - 2013-11-16,93
2013-11-17 - 2013-11-23,77
2013-11-24 - 2013-11-30,64
2013-12-01 - 2013-12-07,81
2013-12-08 - 2013-12-14,75
2013-12-15 - 2013-12-21,62
2013-12-22 - 2013-12-28,51
2013-12-29 - 2014-01-04,56
2014-01-05 - 2014-01-11,70
2014-01-12 - 2014-01-18,78
2014-01-19 - 2014-01-25,73
2014-01-26 - 2014-02-01,86
2014-02-02 - 2014-02-08,84
2014-02-09 - 2014-02-15,85
2014-02-16 - 2014-02-22,89
2014-02-23 - 2014-03-01,86
2014-03-02 - 2014-03-08,90
2014-03-09 - 2014-03-15,95
2014-03-16 - 2014-03-22,90
2014-03-23 - 2014-03-29,83
2014-03-30 - 2014-04-05,90


Top subregions for myalgia
Subregion,myalgia
Tennessee,100
Alabama,96
Kansas,95
Iowa,95
Minnesota,95
Pennsylvania,94
Indiana,93
Oklahoma,93
Arizona,91
Kentucky,91
Missouri,90
Ohio,89
Wisconsin,89
Connecticut,89
South Carolina,88
Maryland,88
Louisiana,84
Massachusetts,83
Michigan,80
North Carolina,78
Florida,76
Illinois,75
Georgia,73
Washington,73
Virginia,72
Oregon,71
New Jersey,67
Texas,66
New York,66
Colorado,66
District of Columbia,65
California,63
Alaska,0
Arkansas,0
Delaware,0
Hawaii,0
Idaho,0
Maine,0
Mississippi,0
Montana,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Mexico,0
Nevada,0
Rhode Island,0
South Dakota,0
Utah,0
Vermont,0
West Virginia,0
Wyoming,0


Top metros for myalgia
Metro,myalgia
Los Angeles CA,100
New York NY,91
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Philadelphia PA,0
Detroit MI,0
Boston MA-Manchester NH,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Cleveland-Akron (Canton) OH,0
Washington DC (Hagerstown MD),0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charlotte NC,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Atlanta GA,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Miami-Ft. Lauderdale FL,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Orlando-Daytona Beach-Melbourne FL,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Tampa-St. Petersburg (Sarasota) FL,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Raleigh-Durham (Fayetteville) NC,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Chicago IL,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
St. Louis MO,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Minneapolis-St. Paul MN,0
Kansas City MO,0
Milwaukee WI,0
Houston TX,0
Springfield MO,0
New Orleans LA,0
Dallas-Ft. Worth TX,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Denver CO,0
Colorado Springs-Pueblo CO,0
Phoenix AZ,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
San Francisco-Oakland-San Jose CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Seattle-Tacoma WA,0
Portland OR,0
Bend OR,0
San Diego CA,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Sacramento-Stockton-Modesto CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for myalgia
City,myalgia
Philadelphia,100
Portland,94
Boston,90
St. Louis,90
Phoenix,81
Minneapolis,81
Seattle,69
Houston,67
San Diego,67
Austin,66
San Antonio,66
Chicago,64
Washington,61
Atlanta,59
Dallas,57



Top searches for myalgia
myalgia myositis,100
myositis,100
myalgia and myositis,55
arthralgia,55
arthralgia myalgia,50
myalgia syndrome,45
myalgia symptoms,45
what is myalgia,40
muscle myalgia,30
fibro myalgia,30
icd myalgia,30
icd 9 myalgia,30
eosinophilia,30
eosinophilia myalgia,30
eosinophilia myalgia syndrome,25
myalgia definition,25
myalgia treatment,15
myalgia causes,15
fiber myalgia,10
define myalgia,10
myalgia rheumatica,10
statin myalgia,10
myalgebra,10
cervical myalgia,10
chronic myalgia,10
poly myalgia,10
pelvic floor myalgia,10
asthenia,10
what is myositis,5
myalgias,5
viral myalgia,5
729.1,5
cervicalgia,5



Rising searches for myalgia
icd 9 myalgia,+300%
icd myalgia,+250%
eosinophilia myalgia syndrome,+130%
eosinophilia,+100%
eosinophilia myalgia,+100%
myalgia and myositis,+90%
what is myalgia,+90%
myalgia myositis,+70%
myositis,+70%
arthralgia,+50%



