Web Search interest: listeria monocytogenes
United States Nov 2010 - Mar 2014

Interest over time
Week,listeria monocytogenes
2012-10-14 - 2012-10-20,9
2012-10-21 - 2012-10-27,7
2012-10-28 - 2012-11-03,7
2012-11-04 - 2012-11-10,7
2012-11-11 - 2012-11-17,8
2012-11-18 - 2012-11-24,6
2012-11-25 - 2012-12-01,7
2012-12-02 - 2012-12-08,9
2012-12-09 - 2012-12-15,7
2012-12-16 - 2012-12-22,7
2012-12-23 - 2012-12-29,7
2012-12-30 - 2013-01-05,7
2013-01-06 - 2013-01-12,7
2013-01-13 - 2013-01-19,4
2013-01-20 - 2013-01-26,6
2013-01-27 - 2013-02-02,8
2013-02-03 - 2013-02-09,8
2013-02-10 - 2013-02-16,9
2013-02-17 - 2013-02-23,9
2013-02-24 - 2013-03-02,8
2013-03-03 - 2013-03-09,5
2013-03-10 - 2013-03-16,7
2013-03-17 - 2013-03-23,8
2013-03-24 - 2013-03-30,6
2013-03-31 - 2013-04-06,7
2013-04-07 - 2013-04-13,10
2013-04-14 - 2013-04-20,14
2013-04-21 - 2013-04-27,8
2013-04-28 - 2013-05-04,10
2013-05-05 - 2013-05-11,7
2013-05-12 - 2013-05-18,5
2013-05-19 - 2013-05-25,4
2013-05-26 - 2013-06-01,4
2013-06-02 - 2013-06-08,6
2013-06-09 - 2013-06-15,6
2013-06-16 - 2013-06-22,5
2013-06-23 - 2013-06-29,6
2013-06-30 - 2013-07-06,10
2013-07-07 - 2013-07-13,8
2013-07-14 - 2013-07-20,4
2013-07-21 - 2013-07-27,6
2013-07-28 - 2013-08-03,5
2013-08-04 - 2013-08-10,5
2013-08-11 - 2013-08-17,5
2013-08-18 - 2013-08-24,7
2013-08-25 - 2013-08-31,6
2013-09-01 - 2013-09-07,6
2013-09-08 - 2013-09-14,9
2013-09-15 - 2013-09-21,6
2013-09-22 - 2013-09-28,9
2013-09-29 - 2013-10-05,9
2013-10-06 - 2013-10-12,8
2013-10-13 - 2013-10-19,7
2013-10-20 - 2013-10-26,17
2013-10-27 - 2013-11-02,15
2013-11-03 - 2013-11-09,10
2013-11-10 - 2013-11-16,10
2013-11-17 - 2013-11-23,10
2013-11-24 - 2013-11-30,6
2013-12-01 - 2013-12-07,7
2013-12-08 - 2013-12-14,8
2013-12-15 - 2013-12-21,5
2013-12-22 - 2013-12-28,5
2013-12-29 - 2014-01-04,5
2014-01-05 - 2014-01-11,5
2014-01-12 - 2014-01-18,7
2014-01-19 - 2014-01-25,6
2014-01-26 - 2014-02-01,9
2014-02-02 - 2014-02-08,7
2014-02-09 - 2014-02-15,7
2014-02-16 - 2014-02-22,9
2014-02-23 - 2014-03-01,10
2014-03-02 - 2014-03-08,8
2014-03-09 - 2014-03-15,12
2014-03-16 - 2014-03-22,10
2014-03-23 - 2014-03-29,12
2014-03-30 - 2014-04-05,10


Top subregions for listeria monocytogenes
Subregion,listeria monocytogenes
Ohio,100
Michigan,99
Pennsylvania,84
Georgia,79
Texas,66
Illinois,66
California,61
Florida,61
New York,60
Alaska,0
Alabama,0
Arkansas,0
Arizona,0
Colorado,0
Connecticut,0
District of Columbia,0
Delaware,0
Hawaii,0
Iowa,0
Idaho,0
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Massachusetts,0
Maryland,0
Maine,0
Minnesota,0
Missouri,0
Mississippi,0
Montana,0
North Carolina,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Jersey,0
New Mexico,0
Nevada,0
Oklahoma,0
Oregon,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Utah,0
Virginia,0
Vermont,0
Washington,0
Wisconsin,0
West Virginia,0
Wyoming,0




Top cities for listeria monocytogenes
City,listeria monocytogenes
New York,100



Top searches for listeria monocytogenes
listeria monocytogenes symptoms,100
listeria symptoms,95
what is listeria,50
listeria monocytogenes bacteria,50



Rising searches for listeria monocytogenes
listeria monocytogenes symptoms,+120%
what is listeria,+110%
listeria symptoms,+100%



